row_label_raw,row_label_full,Tên Công ty,Nơi thành lập và hoạt động,Tỷ lệ lợi ích,Tỷ lệ biểu quyết,Hoạt động kinh doanh chính,numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ lợi ích,numeric__Tỷ lệ biểu quyết,numeric__Hoạt động kinh doanh chính
- Công ty Cổ phần Phát triển Phú Mỹ,- Công ty Cổ phần Phát triển Phú Mỹ,- Công ty Cổ phần Phát triển Phú Mỹ,Tỉnh Bình Dương,"35,00%","35,00%","Kinh doanh bất động sản, dịch vụ sân golf",,0.35,0.35,
- Công ty TNHH FrieslandCampina Việt Nam,- Công ty TNHH FrieslandCampina Việt Nam,- Công ty TNHH FrieslandCampina Việt Nam,Tỉnh Bình Dương,"30,00%","30,00%",Kinh doanh sữa và nước giải khát,,0.3,0.3,
- Công ty Cổ phần Bệnh viện Đa khoa Quốc tế Hạnh Phúc,- Công ty Cổ phần Bệnh viện Đa khoa Quốc tế Hạnh Phúc,- Công ty Cổ phần Bệnh viện Đa khoa Quốc tế Hạnh Phúc,Tỉnh Bình Dương,"27,52%","24,00%",Dịch vụ y tế,,0.2752,0.24,
- Công ty Cổ phần Hưng Vượng,- Công ty Cổ phần Hưng Vượng,- Công ty Cổ phần Hưng Vượng,Tỉnh Bình Dương,"30,90%","30,90%","Sản xuất kinh doanh sân phẩm từ gỗ, kinh doanh hạ tầng khu công nghiệp",,0.309,0.309,
- Công ty TNHH YCH-PROTRADE,- Công ty TNHH YCH-PROTRADE,- Công ty TNHH YCH-PROTRADE,Tỉnh Bình Dương,"30,00%","30,00%",Kinh doanh dịch vụ logistic,,0.3,0.3,
- Công ty Cổ phần Đầu tư và Phát triển Tân Thành,- Công ty Cổ phần Đầu tư và Phát triển Tân Thành,- Công ty Cổ phần Đầu tư và Phát triển Tân Thành,Tỉnh Bình Dương,"41,74%","30,00%","Kinh doanh bất động sản, dịch vụ sân golf",,0.4174,0.3,
- Công ty Cổ phần May mặc Bình Dương,- Công ty Cổ phần May mặc Bình Dương,- Công ty Cổ phần May mặc Bình Dương,Tỉnh Bình Dương,"47,71%","47,71%",Sản xuất kinh doanh hàng may mặc,,0.4771,0.4771,
Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,,,,
Tên Công ty,Tên Công ty,Tên Công ty,Nơi thành lập và hoạt động,Tỷ lệ lợi ích,Tỷ lệ biểu quyết,Hoạt động kinh doanh chính,,,,
- Công ty Cổ phần Cơ khí Vận tải Cao Su Dầu Tiếng,Tên Công ty > - Công ty Cổ phần Cơ khí Vận tải Cao Su Dầu Tiếng,- Công ty Cổ phần Cơ khí Vận tải Cao Su Dầu Tiếng,Tỉnh Bình Dương,"5,06%","5,06%",Vận chuyển và gia công cơ khí,,0.0506,0.0506,
