row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm,TSCĐ vô hình khác,Cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm,numeric__TSCĐ vô hình khác,numeric__Cộng
,,,VND,VND,VND,VND,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu kỳ,Nguyên giá > Số dư đầu kỳ,Số dư đầu kỳ,713.819.126.361,3.999.853.906,-,717.818.980.267,713819126361.0,3999853906.0,,717818980267.0
- Mua trong kỳ,Nguyên giá > - Mua trong kỳ,- Mua trong kỳ,-,456.726.607,87.000.000,543.726.607,,456726607.0,87000000.0,543726607.0
- Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính,Nguyên giá > - Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính,- Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính,96.800.000,-,-,96.800.000,96800000.0,,,96800000.0
Số dư cuối kỳ,Nguyên giá > Số dư cuối kỳ,Số dư cuối kỳ,713.915.926.361,4.456.580.513,87.000.000,718.459.506.874,713915926361.0,4456580513.0,87000000.0,718459506874.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu kỳ,Giá trị hao mòn lũy kế > Số dư đầu kỳ,Số dư đầu kỳ,103.060.823.241,3.295.008.412,-,106.355.831.653,103060823241.0,3295008412.0,,106355831653.0
- Khấu hao trong kỳ,Giá trị hao mòn lũy kế > - Khấu hao trong kỳ,- Khấu hao trong kỳ,23.551.763.064,414.313.499,13.096.774,23.979.173.337,23551763064.0,414313499.0,13096774.0,23979173337.0
- Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính,Giá trị hao mòn lũy kế > - Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính,- Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính,83.455.201,-,-,83.455.201,83455201.0,,,83455201.0
- Chênh lệch đánh giá lại tài sản thực hiện trong kỳ,Giá trị hao mòn lũy kế > - Chênh lệch đánh giá lại tài sản thực hiện trong kỳ,- Chênh lệch đánh giá lại tài sản thực hiện trong kỳ,2.628.833.440,-,-,2.628.833.440,2628833440.0,,,2628833440.0
Số dư cuối kỳ,Giá trị hao mòn lũy kế > Số dư cuối kỳ,Số dư cuối kỳ,129.324.874.946,3.709.321.911,13.096.774,133.047.293.631,129324874946.0,3709321911.0,13096774.0,133047293631.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày đầu kỳ,Giá trị còn lại > Tại ngày đầu kỳ,Tại ngày đầu kỳ,610.758.303.120,704.845.494,-,611.463.148.614,610758303120.0,704845494.0,,611463148614.0
Tại ngày cuối kỳ,Giá trị còn lại > Tại ngày cuối kỳ,Tại ngày cuối kỳ,584.591.051.415,747.258.602,73.903.226,585.412.213.243,584591051415.0,747258602.0,73903226.0,585412213243.0
