row_label_raw,row_label_full,Theo lĩnh vực kinh doanh,Theo lĩnh vực kinh doanh_1,Theo lĩnh vực kinh doanh_2,Theo lĩnh vực kinh doanh_3,Theo lĩnh vực kinh doanh_4,Theo lĩnh vực kinh doanh_5,Theo lĩnh vực kinh doanh_6,numeric__Theo lĩnh vực kinh doanh_1,numeric__Theo lĩnh vực kinh doanh_2,numeric__Theo lĩnh vực kinh doanh_3,numeric__Theo lĩnh vực kinh doanh_4,numeric__Theo lĩnh vực kinh doanh_5,numeric__Theo lĩnh vực kinh doanh_6
,,,"Sản xuất, kinh doanh thương mại, dịch vụ",Kinh doanh hạ tầng khu công nghiệp,Các hoạt động khác,Tổng cộng các bộ phận,Loại trừ,Tổng cộng toàn doanh nghiệp,,,,,,
,,,VND,VND,VND,VND,VND,VND,,,,,,
Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,1.204.434.073.048,250.318.972.548,150.625.817.650,1.605.378.863.246,-,1.605.378.863.246,1204434073048.0,250318972548.0,150625817650.0,1605378863246.0,,1605378863246.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,293.325.743.029,142.356.029.948,7.029.042.792,442.710.815.769,-,442.710.815.769,293325743029.0,142356029948.0,7029042792.0,442710815769.0,,442710815769.0
Tổng chi phí mua TSCD,Tổng chi phí mua TSCD,Tổng chi phí mua TSCD,43.680.914.292,2.280.564.787,,45.961.479.079,-,45.961.479.079,43680914292.0,2280564787.0,,45961479079.0,,45961479079.0
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,4.415.449.123.847,1.221.970.180.162,100.010.143.953,5.737.429.447.962,-,5.737.429.447.962,4415449123847.0,1221970180162.0,100010143953.0,5737429447962.0,,5737429447962.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,4.415.449.123.847,1.221.970.180.162,100.010.143.953,5.737.429.447.962,-,5.737.429.447.962,4415449123847.0,1221970180162.0,100010143953.0,5737429447962.0,,5737429447962.0
Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,882.751.382.838,487.195.773.165,19.169.112.773,1.389.116.268.776,-,1.389.116.268.776,882751382838.0,487195773165.0,19169112773.0,1389116268776.0,,1389116268776.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,-,-,-,222.070.782.628,-,222.070.782.628,,,,222070782628.0,,222070782628.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,882.751.382.838,487.195.773.165,19.169.112.773,1.611.187.051.404,-,1.611.187.051.404,882751382838.0,487195773165.0,19169112773.0,1611187051404.0,,1611187051404.0
