row_label_raw,row_label_full,col_0,Số phải thu đầu kỳ,Số phải nộp đầu kỳ,Số phải nộp trong kỳ,Số đã thực nộp trong kỳ,Chênh lệch tỷ giá do chuyển đổi BCTC,Số phải thu cuối kỳ,Số phải nộp cuối kỳ,numeric__Số phải thu đầu kỳ,numeric__Số phải nộp đầu kỳ,numeric__Số phải nộp trong kỳ,numeric__Số đã thực nộp trong kỳ,numeric__Chênh lệch tỷ giá do chuyển đổi BCTC,numeric__Số phải thu cuối kỳ,numeric__Số phải nộp cuối kỳ
,,,VND,VND,VND,VND,VND,VND,VND,,,,,,,
- Thuế giá trị gia tăng,- Thuế giá trị gia tăng,- Thuế giá trị gia tăng,-,1.739.442.575,63.152.393.718,62.649.587.349,(1.245.826),-,2.241.003.118,,1739442575.0,63152393718.0,62649587349.0,-1245826.0,,2241003118.0
- Thuế tiêu thụ đặc biệt,- Thuế tiêu thụ đặc biệt,- Thuế tiêu thụ đặc biệt,-,1.939.899.646,26.427.717.532,25.425.197.697,-,-,2.942.419.481,,1939899646.0,26427717532.0,25425197697.0,,,2942419481.0
"- Thuế xuất, nhập khẩu","- Thuế xuất, nhập khẩu","- Thuế xuất, nhập khẩu",-,-,236.618.395,236.618.395,-,-,-,,,236618395.0,236618395.0,,,
- Thuế thu nhập doanh nghiệp,- Thuế thu nhập doanh nghiệp,- Thuế thu nhập doanh nghiệp,17.992.800.219,22.162.642.423,52.530.808.046,31.084.858.305,(367.489.564),18.960.044.169,44.208.346.550,17992800219.0,22162642423.0,52530808046.0,31084858305.0,-367489564.0,18960044169.0,44208346550.0
- Thuế thu nhập cá nhân,- Thuế thu nhập cá nhân,- Thuế thu nhập cá nhân,17.976.795,1.852.909.115,9.033.381.851,10.200.712.217,(16.476.052),243.105.314,894.231.216,17976795.0,1852909115.0,9033381851.0,10200712217.0,-16476052.0,243105314.0,894231216.0
- Thuế tài nguyên,- Thuế tài nguyên,- Thuế tài nguyên,-,19.561.440,418.761.680,425.341.920,-,-,12.981.200,,19561440.0,418761680.0,425341920.0,,,12981200.0
- Thuế nhà đất và tiền thuê đất,- Thuế nhà đất và tiền thuê đất,- Thuế nhà đất và tiền thuê đất,267.727.149,-,5.567.399.753,5.567.399.627,-,267.727.149,126,267727149.0,,5567399753.0,5567399627.0,,267727149.0,126.0
- Các khoản phải nộp khác (*),- Các khoản phải nộp khác (*),- Các khoản phải nộp khác (*),270.977.025.683,337.626.474,1.099.465.799,76.693.074.859,(100.697.085),346.936.149.582,602.444.228,270977025683.0,337626474.0,1099465799.0,76693074859.0,-100697085.0,346936149582.0,602444228.0
,,,289.255.529.846,28.052.081.673,158.466.546.774,212.282.790.369,(485.908.527),366.407.026.214,50.901.425.919,289255529846.0,28052081673.0,158466546774.0,212282790369.0,-485908527.0,366407026214.0,50901425919.0
