row_label_raw,row_label_full,col_0,31/12/2022 > Giá trịVND,31/12/2022 > Dự phòngVND,01/01/2022 > Giá trịVND,01/01/2022 > Dự phòngVND,numeric__31/12/2022 > Giá trịVND,numeric__31/12/2022 > Dự phòngVND,numeric__01/01/2022 > Giá trịVND,numeric__01/01/2022 > Dự phòngVND
a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,,,,
Bên khác,Bên khác,Bên khác,Bên khác,Bên khác,Bên khác,Bên khác,,,,
- Công ty TNHH Box - Pak,Bên khác > - Công ty TNHH Box - Pak,- Công ty TNHH Box - Pak,4.732.303.284,-,16.364.491.770,-,4732303284.0,,16364491770.0,
- Công ty TNHH Đông Tuấn Việt Nam,Bên khác > - Công ty TNHH Đông Tuấn Việt Nam,- Công ty TNHH Đông Tuấn Việt Nam,26.596.054.330,-,23.906.919.284,-,26596054330.0,,23906919284.0,
- Công ty TNHH Công Nghiệp Điện tử thông minh Longood Việt Nam,Bên khác > - Công ty TNHH Công Nghiệp Điện tử thông minh Longood Việt Nam,- Công ty TNHH Công Nghiệp Điện tử thông minh Longood Việt Nam,26.187.148.280,-,66.721.804,-,26187148280.0,,66721804.0,
- Các khách hàng khác,Bên khác > - Các khách hàng khác,- Các khách hàng khác,191.343.500.652,(3.941.431.884),192.464.801.139,(3.165.377.510),191343500652.0,-3941431884.0,192464801139.0,-3165377510.0
,,,248.859.006.546,(3.941.431.884),232.802.933.997,(3.165.377.510),248859006546.0,-3941431884.0,232802933997.0,-3165377510.0
b) Dài hạn,b) Dài hạn,b) Dài hạn,b) Dài hạn,b) Dài hạn,b) Dài hạn,b) Dài hạn,,,,
Bên liên quan,b) Dài hạn > Bên liên quan,Bên liên quan,-,-,204.512.681.143,-,,,204512681143.0,
- Công ty Cổ phần Bắt Động Sản U&I\( ^{(1)} \),b) Dài hạn > - Công ty Cổ phần Bắt Động Sản U&I\( ^{(1)} \),- Công ty Cổ phần Bắt Động Sản U&I\( ^{(1)} \),-,-,204.512.681.143,-,,,204512681143.0,
Bên khác,b) Dài hạn > Bên khác,Bên khác,60.000.000.000,-,60.000.000.000,-,60000000000.0,,60000000000.0,
- Công ty Cổ phần An Bình\( ^{(2)} \),b) Dài hạn > - Công ty Cổ phần An Bình\( ^{(2)} \),- Công ty Cổ phần An Bình\( ^{(2)} \),60.000.000.000,-,60.000.000.000,-,60000000000.0,,60000000000.0,
,,,60.000.000.000,-,264.512.681.143,-,60000000000.0,,264512681143.0,
