row_label_raw,row_label_full,col_0,Từ 1 nămtrở xuống,Trên 1 nấmđến 5 năm,Trên 5 năm,Cộng,numeric__Từ 1 nămtrở xuống,numeric__Trên 1 nấmđến 5 năm,numeric__Trên 5 năm,numeric__Cộng
,,,VND,VND,VND,VND,,,,
Tại ngày 31/12/2022,Tại ngày 31/12/2022,Tại ngày 31/12/2022,Tại ngày 31/12/2022,Tại ngày 31/12/2022,Tại ngày 31/12/2022,Tại ngày 31/12/2022,,,,
Vay và nợ,Tại ngày 31/12/2022 > Vay và nợ,Vay và nợ,84.470.341.770,43.720.501.959,-,128.190.843.729,84470341770.0,43720501959.0,,128190843729.0
"Phải trả người bán, phải trả khác","Tại ngày 31/12/2022 > Phải trả người bán, phải trả khác","Phải trả người bán, phải trả khác",479.111.405.266,74.404.238.480,-,553.515.643.746,479111405266.0,74404238480.0,,553515643746.0
Chi phí phải trả,Tại ngày 31/12/2022 > Chi phí phải trả,Chi phí phải trả,520.520.835.036,-,-,520.520.835.036,520520835036.0,,,520520835036.0
,,,1.084.102.582.072,118.124.740.439,-,1.202.227.322.511,1084102582072.0,118124740439.0,,1202227322511.0
Tại ngày 01/01/2022,Tại ngày 01/01/2022,Tại ngày 01/01/2022,Tại ngày 01/01/2022,Tại ngày 01/01/2022,Tại ngày 01/01/2022,Tại ngày 01/01/2022,,,,
Vay và nợ,Tại ngày 01/01/2022 > Vay và nợ,Vay và nợ,158.286.963.266,131.077.205.743,-,289.364.169.009,158286963266.0,131077205743.0,,289364169009.0
"Phải trả người bán, phải trả khác","Tại ngày 01/01/2022 > Phải trả người bán, phải trả khác","Phải trả người bán, phải trả khác",689.277.850.245,68.727.644.403,-,758.005.494.648,689277850245.0,68727644403.0,,758005494648.0
Chi phí phải trả,Tại ngày 01/01/2022 > Chi phí phải trả,Chi phí phải trả,510.863.953.740,-,-,510.863.953.740,510863953740.0,,,510863953740.0
,,,1.358.428.767.251,199.804.850.146,-,1.558.233.617.397,1358428767251.0,199804850146.0,,1558233617397.0
