row_label_raw,row_label_full,col_0,Môi quan hệ,Năm 2022,Năm 2021,numeric__Môi quan hệ,numeric__Năm 2022,numeric__Năm 2021
,,,Môi quan hệ,VND,VND,,,
Cho vay,Cho vay,Cho vay,,-,109.000.000.000,,,109000000000.0
- Công ty Cổ phần Đầu tư và Phát triển Tân Thành,- Công ty Cổ phần Đầu tư và Phát triển Tân Thành,- Công ty Cổ phần Đầu tư và Phát triển Tân Thành,Công ty liên kết,-,97.000.000.000,,,97000000000.0
- Công ty Cổ phần Hưng Vượng,- Công ty Cổ phần Hưng Vượng,- Công ty Cổ phần Hưng Vượng,Công ty liên kết,-,12.000.000.000,,,12000000000.0
Thu hồi nợ cho vay,Thu hồi nợ cho vay,Thu hồi nợ cho vay,,5.688.591.038,274.573.348.938,,5688591038.0,274573348938.0
- Công ty Cổ phần Đầu tư và Phát triển Tân Thành,- Công ty Cổ phần Đầu tư và Phát triển Tân Thành,- Công ty Cổ phần Đầu tư và Phát triển Tân Thành,Công ty liên kết,5.000.000.000,85.000.000.000,,5000000000.0,85000000000.0
- Công ty TNHH YCH-PROTRADE,- Công ty TNHH YCH-PROTRADE,- Công ty TNHH YCH-PROTRADE,Công ty liên kết,688.591.038,7.573.348.938,,688591038.0,7573348938.0
- Công ty Cổ phần Hưng Vượng,- Công ty Cổ phần Hưng Vượng,- Công ty Cổ phần Hưng Vượng,Công ty liên kết,-,182.000.000.000,,,182000000000.0
"Mua hàng hóa, dịch vụ","Mua hàng hóa, dịch vụ","Mua hàng hóa, dịch vụ",,4.414.195.245,3.175.911.999,,4414195245.0,3175911999.0
- Công ty Cổ phần Phát triển Phú Mỹ,- Công ty Cổ phần Phát triển Phú Mỹ,- Công ty Cổ phần Phát triển Phú Mỹ,Công ty liên kết,469.083.488,163.133.245,,469083488.0,163133245.0
- Công ty Cổ phần Đầu tư và Phát triển Tân Thành,- Công ty Cổ phần Đầu tư và Phát triển Tân Thành,- Công ty Cổ phần Đầu tư và Phát triển Tân Thành,Công ty liên kết,1.713.483.581,781.150.577,,1713483581.0,781150577.0
- Công ty TNHH MTV Đầu tư và Quản lý Dự án Bình Dương,- Công ty TNHH MTV Đầu tư và Quản lý Dự án Bình Dương,- Công ty TNHH MTV Đầu tư và Quản lý Dự án Bình Dương,Đại diện vốn của cổ đông Nhà nước,2.231.628.176,2.231.628.177,,2231628176.0,2231628177.0
"Nhận cổ tức, lợi nhuận được chia","Nhận cổ tức, lợi nhuận được chia","Nhận cổ tức, lợi nhuận được chia",,141.567.047.500,230.866.819.000,,141567047500.0,230866819000.0
- Công ty TNHH FrieslandCampina VN,- Công ty TNHH FrieslandCampina VN,- Công ty TNHH FrieslandCampina VN,Công ty liên kết,126.900.000.000,225.000.000.000,,126900000000.0,225000000000.0
- Công ty Cổ phần May mặc Bình Dương,- Công ty Cổ phần May mặc Bình Dương,- Công ty Cổ phần May mặc Bình Dương,Công ty liên kết,14.667.047.500,5.866.819.000,,14667047500.0,5866819000.0
Doanh thu bán hàng,Doanh thu bán hàng,Doanh thu bán hàng,,4.456.334.782,2.619.303.792,,4456334782.0,2619303792.0
- Công ty Cổ phần Hưng Vượng,- Công ty Cổ phần Hưng Vượng,- Công ty Cổ phần Hưng Vượng,Công ty liên kết,819.351.595,604.310.343,,819351595.0,604310343.0
- Công ty CP May mặc Bình Dương,- Công ty CP May mặc Bình Dương,- Công ty CP May mặc Bình Dương,Công ty liên kết,390.701.087,194.976.637,,390701087.0,194976637.0
- Công ty TNHH FrieslandCampina VN,- Công ty TNHH FrieslandCampina VN,- Công ty TNHH FrieslandCampina VN,Công ty liên kết,2.081.964,127.224.175,,2081964.0,127224175.0
- Công ty Cổ phần Bệnh viện Đa khoa Quốc tế Hạnh Phúc,- Công ty Cổ phần Bệnh viện Đa khoa Quốc tế Hạnh Phúc,- Công ty Cổ phần Bệnh viện Đa khoa Quốc tế Hạnh Phúc,Công ty liên kết,-,5.513.637,,,5513637.0
- Công ty Cổ phần Phát triển Phú Mỹ,- Công ty Cổ phần Phát triển Phú Mỹ,- Công ty Cổ phần Phát triển Phú Mỹ,Công ty liên kết,3.244.200.136,1.687.279.000,,3244200136.0,1687279000.0
Nhận lãi chậm thanh toán,Nhận lãi chậm thanh toán,Nhận lãi chậm thanh toán,,-,163.896.010,,,163896010.0
- Công ty Cổ phần Hưng Vượng,- Công ty Cổ phần Hưng Vượng,- Công ty Cổ phần Hưng Vượng,Công ty liên kết,-,163.896.010,,,163896010.0
Lãi cho vay,Lãi cho vay,Lãi cho vay,,14.339.240.771,20.435.888.715,,14339240771.0,20435888715.0
- Công ty Cổ phần Đầu tư và Phát triển Tân Thành,- Công ty Cổ phần Đầu tư và Phát triển Tân Thành,- Công ty Cổ phần Đầu tư và Phát triển Tân Thành,Công ty liên kết,14.339.240.771,15.434.288.715,,14339240771.0,15434288715.0
- Công ty Cổ phần Hưng Vượng,- Công ty Cổ phần Hưng Vượng,- Công ty Cổ phần Hưng Vượng,Công ty liên kết,-,5.001.600.000,,,5001600000.0
