row_label_raw,row_label_full,col_0,col_1,31/12/2022 > Giá trị,31/12/2022 > Số có khả năng trả nợ,01/01/2022 > Giá trị,01/01/2022 > Số có khả năng trả nợ,numeric__col_1,numeric__31/12/2022 > Giá trị,numeric__31/12/2022 > Số có khả năng trả nợ,numeric__01/01/2022 > Giá trị,numeric__01/01/2022 > Số có khả năng trả nợ
,,,,VND,VND,VND,VND,,,,,
Bên liên quan,Bên liên quan,Bên liên quan,Bên liên quan,401.180.131,401.180.131,304.246.688,304.246.688,,401180131.0,401180131.0,304246688.0,304246688.0
-,-,-,Công ty CP Phát triển Phú Mỹ,15.060.000,15.060.000,19.884.000,19.884.000,,15060000.0,15060000.0,19884000.0,19884000.0
-,-,-,Công ty TNHH MTV Sân Golf Palm Sông Bé,162.734.274,162.734.274,65.794.263,65.794.263,,162734274.0,162734274.0,65794263.0,65794263.0
-,-,-,Công ty CP Thương mại Tổng hợp Thuận An,37.548.200,37.548.200,23.065.710,23.065.710,,37548200.0,37548200.0,23065710.0,23065710.0
-,-,-,Công ty CP Đầu tư và Phát triển Tân Thành,185.837.657,185.837.657,195.502.715,195.502.715,,185837657.0,185837657.0,195502715.0,195502715.0
Bên khác,Bên khác,Bên khác,Bên khác,13.221.690.333,13.221.690.333,37.085.197.221,37.085.197.221,,13221690333.0,13221690333.0,37085197221.0,37085197221.0
-,-,-,Công ty TNHH MTV Cao su Hồ Chí Minh,2.193.417.859,2.193.417.859,-,-,,2193417859.0,2193417859.0,,
-,-,-,Phải trả các đối tượng khác,11.028.272.474,11.028.272.474,37.085.197.221,37.085.197.221,,11028272474.0,11028272474.0,37085197221.0,37085197221.0
,,,,13.622.870.464,13.622.870.464,37.389.443.909,37.389.443.909,,13622870464.0,13622870464.0,37389443909.0,37389443909.0
