row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ sở hữu,Quỹ đầu tư phát triển,Quỹ khác thuộc vốn chủ sở hữu,Lợi nhuận chưa phân phối,Nguồn vốn đầu tư Xây dựng cơ bản,Quỹ hỗ trợ xếp xếp doanh nghiệp,Cộng,numeric__Vốn đầu tư của chủ sở hữu,numeric__Quỹ đầu tư phát triển,numeric__Quỹ khác thuộc vốn chủ sở hữu,numeric__Lợi nhuận chưa phân phối,numeric__Nguồn vốn đầu tư Xây dựng cơ bản,numeric__Quỹ hỗ trợ xếp xếp doanh nghiệp,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,VND,,,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,26.166.499.106.975,4.015.950.433.218,150.330.890.856,2.575.714.715,4.641.659.654.887,980.050.000,34.977.995.850.651,26166499106975.0,4015950433218.0,150330890856.0,2575714715.0,4641659654887.0,980050000.0,34977995850651.0
Tăng vốn trong năm trước,Tăng vốn trong năm trước,Tăng vốn trong năm trước,,-,35.672.738.260,,7.120.576.482,,42.793.314.742,,,35672738260.0,,7120576482.0,,42793314742.0
Lãi trong năm trước,Lãi trong năm trước,Lãi trong năm trước,,-,,284.716.589.635,,,284.716.589.635,,,,284716589635.0,,,284716589635.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,,81.112.786.227,,(81.112.786.227),,,,,81112786227.0,,-81112786227.0,,,
Tăng quỹ từ các đơn vị thành viên,Tăng quỹ từ các đơn vị thành viên,Tăng quỹ từ các đơn vị thành viên,,331.776.339.229,1.122.187.252,,,,332.898.526.481,,331776339229.0,1122187252.0,,,,332898526481.0
Lợi nhuận nộp về Ngân sách,Lợi nhuận nộp về Ngân sách,Lợi nhuận nộp về Ngân sách,,,,(185.498.514.664),,,(185.498.514.664),,,,-185498514664.0,,,-185498514664.0
Chi LN hợp tác kinh doanh dự án 381 Bến Chương Dương,Chi LN hợp tác kinh doanh dự án 381 Bến Chương Dương,Chi LN hợp tác kinh doanh dự án 381 Bến Chương Dương,,,,(15.907.849.113),,,(15.907.849.113),,,,-15907849113.0,,,-15907849113.0
Trích quỹ KTPL từ LN năm nay,Trích quỹ KTPL từ LN năm nay,Trích quỹ KTPL từ LN năm nay,,-,,(3.764.653.200),,,(3.764.653.200),,,,-3764653200.0,,,-3764653200.0
Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,,-,(35.829.562.515),,,,(35.829.562.515),,,-35829562515.0,,,,-35829562515.0
Phân phối quỹ,Phân phối quỹ,Phân phối quỹ,,(8.111.278.623),8.111.278.623,,,,,,-8111278623.0,8111278623.0,,,,
Lãi tiền gửi,Lãi tiền gửi,Lãi tiền gửi,,-,,,,3.462.774,3.462.774,,,,,,3462774.0,3462774.0
Nhận tài sản từ địa phương,Nhận tài sản từ địa phương,Nhận tài sản từ địa phương,,103.759.801,,,,,103.759.801,,103759801.0,,,,,103759801.0
Bản giao tài sản về địa phương,Bản giao tài sản về địa phương,Bản giao tài sản về địa phương,,(244.995.365.702),,,,,(244.995.365.702),,-244995365702.0,,,,,-244995365702.0
Giám khác,Giám khác,Giám khác,,(35.569.278),,,,,(35.569.278),,-35569278.0,,,,,-35569278.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,26.166.499.106.975,4.175.801.104.872,159.407.532.476,1.008.501.146,4.648.780.231.369,983.512.774,35.152.479.989.612,26166499106975.0,4175801104872.0,159407532476.0,1008501146.0,4648780231369.0,983512774.0,35152479989612.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,26.166.499.106.975,4.175.801.104.872,159.407.532.476,1.008.501.146,4.648.780.231.369,983.512.774,35.152.479.989.612,26166499106975.0,4175801104872.0,159407532476.0,1008501146.0,4648780231369.0,983512774.0,35152479989612.0
Lãi trong năm nay,Lãi trong năm nay,Lãi trong năm nay,,-,,789.419.878.373,,,789.419.878.373,,,,789419878373.0,,,789419878373.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,,236.615.443.220,,(236.615.443.220),,,,,236615443220.0,,-236615443220.0,,,
Tăng quỹ từ các đơn vị thành viên,Tăng quỹ từ các đơn vị thành viên,Tăng quỹ từ các đơn vị thành viên,,-,30.607.136.127,,,,30.607.136.127,,,30607136127.0,,,,30607136127.0
Trích quỹ KTPL từ LN năm nay,Trích quỹ KTPL từ LN năm nay,Trích quỹ KTPL từ LN năm nay,,-,,(6.630.000.000),,,(6.630.000.000),,,,-6630000000.0,,,-6630000000.0
Trích quỹ khen thưởng viên chức quản lý,Trích quỹ khen thưởng viên chức quản lý,Trích quỹ khen thưởng viên chức quản lý,,-,,(516.458.333),,,(516.458.333),,,,-516458333.0,,,-516458333.0
Lợi nhuận nộp về Ngân sách,Lợi nhuận nộp về Ngân sách,Lợi nhuận nộp về Ngân sách,,-,,(544.956.242.514),,,(544.956.242.514),,,,-544956242514.0,,,-544956242514.0
Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,,-,(7.759.279.357),,,,(7.759.279.357),,,-7759279357.0,,,,-7759279357.0
Lãi tiền gửi,Lãi tiền gửi,Lãi tiền gửi,,-,,,,438.005.094,438.005.094,,,,,,438005094.0,438005094.0
Trích lập Quỹ nghiên cứu khoa học và Đào tạo tập trung,Trích lập Quỹ nghiên cứu khoa học và Đào tạo tập trung,Trích lập Quỹ nghiên cứu khoa học và Đào tạo tập trung,,(23.661.544.322),23.661.544.322,,,,,,-23661544322.0,23661544322.0,,,,
Xử lý tài chính cổ phần hóa đơn vị thành viên,Xử lý tài chính cổ phần hóa đơn vị thành viên,Xử lý tài chính cổ phần hóa đơn vị thành viên,(25.382.067.964),(16.843.761.981),(1.875.392.479),,,26.559.553.840,(17.541.668.584),-25382067964.0,-16843761981.0,-1875392479.0,,,26559553840.0,-17541668584.0
- Công ty TNHH MTV Cao su Bà Rịa,- Công ty TNHH MTV Cao su Bà Rịa,- Công ty TNHH MTV Cao su Bà Rịa,(24.039.848.428),9.404.518,,,,12.392.640.713,(11.637.803.197),-24039848428.0,9404518.0,,,,12392640713.0,-11637803197.0
- Công ty TNHH MTV Cao su Tân Biên,- Công ty TNHH MTV Cao su Tân Biên,- Công ty TNHH MTV Cao su Tân Biên,(1.342.219.536),(16.853.166.499),(1.875.392.479),,,14.166.913.127,(5.903.865.387),-1342219536.0,-16853166499.0,-1875392479.0,,,14166913127.0,-5903865387.0
Điều chính quỹ từ các đơn vị thành viên theo PPLN năm 2015,Điều chính quỹ từ các đơn vị thành viên theo PPLN năm 2015,Điều chính quỹ từ các đơn vị thành viên theo PPLN năm 2015,,(597.622.726),(111.042.668),,,,(708.665.394),,-597622726.0,-111042668.0,,,,-708665394.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,26.141.117.039.011,4.371.313.619.063,203.930.498.421,1.710.235.452,4.648.780.231.369,27.981.071.708,35.394.832.695.024,26141117039011.0,4371313619063.0,203930498421.0,1710235452.0,4648780231369.0,27981071708.0,35394832695024.0
