row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Năm 2016 VND,Năm 2015 (Đã điều chỉnh) VND,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm 2016 VND,numeric__Năm 2015 (Đã điều chỉnh) VND
01,01,01,1. Doanh thu bán hàng và cung cấp dịch vụ,23,422.233.012.542,897.862.325.468,,23.0,422233012542.0,897862325468.0
02,02,02,2. Các khoản giảm trừ doanh thu,,,,,,,
10,02 > 10,10,3. Doanh thu thuần bán hàng và cung cấp dịch vụ,,422.233.012.542,897.862.325.468,,,422233012542.0,897862325468.0
11,02 > 11,11,4. Giá vốn hàng bán,24,343.784.273.619,762.286.209.155,,24.0,343784273619.0,762286209155.0
20,02 > 20,20,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,,78.448.738.923,135.576.116.313,,,78448738923.0,135576116313.0
21,02 > 21,21,6. Doanh thu hoạt động tài chính,25,759.757.625.615,1.220.743.145.842,,25.0,759757625615.0,1220743145842.0
22,02 > 22,22,7. Chi phí tài chính,26,10.022.715.231,826.417.021.691,,26.0,10022715231.0,826417021691.0
23,02 > 23,23,Trong đó: Chi phí lãi vay,,31.911.090.815,31.103.217.789,,,31911090815.0,31103217789.0
25,02 > 25,25,8. Chi phí bán hàng,27,3.591.360.587,6.255.639.003,,27.0,3591360587.0,6255639003.0
26,02 > 26,26,9. Chi phí quản lý doanh nghiệp,28,153.059.805.226,192.118.558.499,,28.0,153059805226.0,192118558499.0
30,02 > 30,30,10. Lợi nhuận thuần từ hoạt động kinh doanh,,671.532.483.494,331.528.042.962,,,671532483494.0,331528042962.0
31,02 > 31,31,11. Thu nhập khác,29,131.823.834.376,5.507.515.789,,29.0,131823834376.0,5507515789.0
32,02 > 32,32,12. Chi phí khác,30,5.075.868.933,607.993.500,,30.0,5075868933.0,607993500.0
40,02 > 40,40,13. Lợi nhuận khác,,126.747.965.443,4.899.522.289,,,126747965443.0,4899522289.0
50,02 > 50,50,14. Tổng lợi nhuận kế toán trước thuế,,798.280.448.937,336.427.565.251,,,798280448937.0,336427565251.0
51,02 > 51,51,15. Chi phí thuế thu nhập doanh nghiệp hiện hành,31,8.860.570.564,51.710.975.616,,31.0,8860570564.0,51710975616.0
60,02 > 60,60,17. Lợi nhuận sau thuế thu nhập doanh nghiệp,,789.419.878.373,284.716.589.635,,,789419878373.0,284716589635.0
