row_label_raw,row_label_full,Phân phối lợi nhuận,Năm 2016,Năm 2015,numeric__Năm 2016,numeric__Năm 2015
,,,VND,VND,,
Lợi nhuận năm trước còn lại chưa phân phối,Lợi nhuận năm trước còn lại chưa phân phối,Lợi nhuận năm trước còn lại chưa phân phối,1.008.501.146,2.575.714.715,1008501146.0,2575714715.0
Lợi nhuận từ hoạt động kinh doanh trong năm,Lợi nhuận từ hoạt động kinh doanh trong năm,Lợi nhuận từ hoạt động kinh doanh trong năm,789.419.878.373,284.716.589.635,789419878373.0,284716589635.0
Chia lợi nhuận cho bên hợp tác kinh doanh dự án 381 Bến Chương Dương,Chia lợi nhuận cho bên hợp tác kinh doanh dự án 381 Bến Chương Dương,Chia lợi nhuận cho bên hợp tác kinh doanh dự án 381 Bến Chương Dương,-,(15.907.849.113),,-15907849113.0
Lợi nhuận thực hiện phân phối lợi nhuận năm nay,Lợi nhuận thực hiện phân phối lợi nhuận năm nay,Lợi nhuận thực hiện phân phối lợi nhuận năm nay,790.428.379.519,271.384.455.237,790428379519.0,271384455237.0
Trích Quỹ đầu tư phát triển,Trích Quỹ đầu tư phát triển,Trích Quỹ đầu tư phát triển,(236.615.443.220),(81.112.786.227),-236615443220.0,-81112786227.0
"Trích Quỹ khen thưởng, phúc lợi","Trích Quỹ khen thưởng, phúc lợi","Trích Quỹ khen thưởng, phúc lợi",(6.630.000.000),(3.764.653.200),-6630000000.0,-3764653200.0
Trích quỹ khen thưởng viên chức quản lý,Trích quỹ khen thưởng viên chức quản lý,Trích quỹ khen thưởng viên chức quản lý,(516.458.333),-,-516458333.0,
Lợi nhuận nộp vào Ngân sách Nhà nước,Lợi nhuận nộp vào Ngân sách Nhà nước,Lợi nhuận nộp vào Ngân sách Nhà nước,(544.956.242.514),(185.498.514.664),-544956242514.0,-185498514664.0
Lợi nhuận còn lại chưa phân phối,Lợi nhuận còn lại chưa phân phối,Lợi nhuận còn lại chưa phân phối,1.710.235.452,1.008.501.146,1710235452.0,1008501146.0
