row_label_raw,row_label_full,Mã số,Chỉ tiêu,Trình bày lại VND,Đã trình bày trên báo cáo tài chính riêng năm 2015 VND,Chênh lệch VND,numeric__Chỉ tiêu,numeric__Trình bày lại VND,numeric__Đã trình bày trên báo cáo tài chính riêng năm 2015 VND,numeric__Chênh lệch VND
319,319,319,Phải trả ngắn hạn khác,728.837.746.306,733.742.530.996,(4.904.784.690),,728837746306.0,733742530996.0,-4904784690.0
322,322,322,Quỹ khen thưởng phúc lợi,102.740.524.472,102.500.662.860,239.861.612,,102740524472.0,102500662860.0,239861612.0
418,418,418,Quỹ đầu tư phát triển,4.175.801.104.872,4.112.545.091.005,63.256.013.867,,4175801104872.0,4112545091005.0,63256013867.0
420,420,420,Quỹ khác thuộc vốn chủ sở hữu,159.407.532.476,152.379.086.489,7.028.445.987,,159407532476.0,152379086489.0,7028445987.0
,,,b) Báo cáo kết quả hoạt động kinh doanh riêng,b) Báo cáo kết quả hoạt động kinh doanh riêng,b) Báo cáo kết quả hoạt động kinh doanh riêng,b) Báo cáo kết quả hoạt động kinh doanh riêng,,,,
11,11,11,Giá vốn hàng bán,762.286.209.155,763.901.680.055,(1.615.470.900),,762286209155.0,763901680055.0,-1615470900.0
21,21,21,Doanh thu hoạt động tài chính,1.220.743.145.842,1.201.911.797.921,18.831.347.921,,1220743145842.0,1201911797921.0,18831347921.0
22,22,22,Chi phí tài chính,826.417.021.691,959.509.787.407,(133.092.765.716),,826417021691.0,959509787407.0,-133092765716.0
26,26,26,Chi phí quản lý doanh nghiệp,192.118.558.499,235.454.265.115,(43.335.706.616),,192118558499.0,235454265115.0,-43335706616.0
60,60,60,Lợi nhuận sau thuế thu nhập doanh nghiệp,284.716.589.635,87.841.298.482,196.875.291.153,,284716589635.0,87841298482.0,196875291153.0
