row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc","Máy móc, thiết bị","Phương tiện vận tải,truyền dẫn","Thiết bị, dụng cụ quản lý",Cộng,"numeric__Nhà cửa, vật kiến trúc","numeric__Máy móc, thiết bị","numeric__Phương tiện vận tải,truyền dẫn","numeric__Thiết bị, dụng cụ quản lý",numeric__Cộng
,,,VND,VND,VND,VND,VND,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,156.646.013.757,4.588.703.255,23.578.301.357,62.225.446.788,247.038.465.157,156646013757.0,4588703255.0,23578301357.0,62225446788.0,247038465157.0
- Mua trong năm,Nguyên giá > - Mua trong năm,- Mua trong năm,-,-,-,808.115.273,808.115.273,,,,808115273.0,808115273.0
"- Thanh lý, nhượng bán (1)","Nguyên giá > - Thanh lý, nhượng bán (1)","- Thanh lý, nhượng bán (1)",(440.793.000),-,(624.225.500),-,(1.065.018.500),-440793000.0,,-624225500.0,,-1065018500.0
- Giám khác (2),Nguyên giá > - Giám khác (2),- Giám khác (2),-,-,(1.787.440.727),-,(1.787.440.727),,,-1787440727.0,,-1787440727.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,156.205.220.757,4.588.703.255,21.166.635.130,63.033.562.061,244.994.121.203,156205220757.0,4588703255.0,21166635130.0,63033562061.0,244994121203.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,22.535.735.527,3.675.295.243,19.188.750.862,11.381.811.739,56.781.593.371,22535735527.0,3675295243.0,19188750862.0,11381811739.0,56781593371.0
- Khấu hao trong kỳ,Giá trị hao mòn lũy kế > - Khấu hao trong kỳ,- Khấu hao trong kỳ,6.304.358.125,438.839.070,892.625.144,19.934.927.533,27.570.749.872,6304358125.0,438839070.0,892625144.0,19934927533.0,27570749872.0
"- Thanh lý, nhượng bán (1)","Giá trị hao mòn lũy kế > - Thanh lý, nhượng bán (1)","- Thanh lý, nhượng bán (1)",(216.242.255),-,(624.225.500),-,(840.467.755),-216242255.0,,-624225500.0,,-840467755.0
- Giám khác (2),Giá trị hao mòn lũy kế > - Giám khác (2),- Giám khác (2),-,-,(283.058.244),-,(283.058.244),,,-283058244.0,,-283058244.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,28.623.851.397,4.114.134.313,19.174.092.262,31.316.739.272,83.228.817.244,28623851397.0,4114134313.0,19174092262.0,31316739272.0,83228817244.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,134.110.278.230,913.408.012,4.389.550.495,50.843.635.049,190.256.871.786,134110278230.0,913408012.0,4389550495.0,50843635049.0,190256871786.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,127.581.369.360,474.568.942,1.992.542.868,31.716.822.789,161.765.303.959,127581369360.0,474568942.0,1992542868.0,31716822789.0,161765303959.0
