row_label_raw,row_label_full,col_0,Vốn góp củachủ sở hữu,Thặng dư vốncổ phần,Quỹ đầu tưphát triển,Lợi nhuận sau thuếchưa phân phối,Lợi ích cổ đôngkhông kiểm soát,Tổng cộng,numeric__Vốn góp củachủ sở hữu,numeric__Thặng dư vốncổ phần,numeric__Quỹ đầu tưphát triển,numeric__Lợi nhuận sau thuếchưa phân phối,numeric__Lợi ích cổ đôngkhông kiểm soát,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,3.815.899.110.000,70.877.131.506,903.345.539.128,313.196.850.998,9.303.548.895,5.112.622.180.527,3815899110000.0,70877131506.0,903345539128.0,313196850998.0,9303548895.0,5112622180527.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,17.727.945.657,236.946.420,17.964.892.077,,,,17727945657.0,236946420.0,17964892077.0
"Trích lập Quỹ khen thưởng,phúc lợi","Trích lập Quỹ khen thưởng,phúc lợi","Trích lập Quỹ khen thưởng,phúc lợi",-,-,-,(145.039.750.000),-,(145.039.750.000),,,,-145039750000.0,,-145039750000.0
Trích lập Quỹ đầu tư phát triển,Trích lập Quỹ đầu tư phát triển,Trích lập Quỹ đầu tư phát triển,-,-,15.000.000.000,(15.000.000.000),-,-,,,15000000000.0,-15000000000.0,,
Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,-,-,-,(152.635.964.400),-,(152.635.964.400),,,,-152635964400.0,,-152635964400.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,3.815.899.110.000,70.877.131.506,918.345.539.128,18.249.082.255,9.540.495.315,4.832.911.358.204,3815899110000.0,70877131506.0,918345539128.0,18249082255.0,9540495315.0,4832911358204.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,60.146.180.469,216.239.051,60.362.419.520,,,,60146180469.0,216239051.0,60362419520.0
"Trích lập Quỹ khen thưởng,phúc lợi và Quỹ thưởng ngườiquản lý Công ty (i)","Trích lập Quỹ khen thưởng,phúc lợi và Quỹ thưởng ngườiquản lý Công ty (i)","Trích lập Quỹ khen thưởng,phúc lợi và Quỹ thưởng ngườiquản lý Công ty (i)",-,-,-,(17.949.000.000),-,(17.949.000.000),,,,-17949000000.0,,-17949000000.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,3.815.899.110.000,70.877.131.506,918.345.539.128,60.446.262.724,9.756.734.366,4.875.324.777.724,3815899110000.0,70877131506.0,918345539128.0,60446262724.0,9756734366.0,4875324777724.0
