row_label_raw,row_label_full,Số cuối năm,"Kinh doanh xi măng, clinker và hoạt động có liên quan > VND","Hoạt động đầu tư xây dựng, thu phí giao thông theo hình thức B.O.T > VND",Tổng > VND,"numeric__Kinh doanh xi măng, clinker và hoạt động có liên quan > VND","numeric__Hoạt động đầu tư xây dựng, thu phí giao thông theo hình thức B.O.T > VND",numeric__Tổng > VND
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,7.629.860.273.287,593.495.400.861,8.223.355.674.148,7629860273287.0,593495400861.0,8223355674148.0
Tổng tài sản hợp nhất,Tổng tài sản hợp nhất,Tổng tài sản hợp nhất,,,8.223.355.674.148,,,8223355674148.0
Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,3.339.361.858.834,8.669.037.590,3.348.030.896.424,3339361858834.0,8669037590.0,3348030896424.0
Tổng nợ phải trả hợp nhất,Tổng nợ phải trả hợp nhất,Tổng nợ phải trả hợp nhất,,,3.348.030.896.424,,,3348030896424.0
Số đầu năm,Số đầu năm,Số đầu năm,"Kinh doanh xi măng, clinker và hoạt động có liên quan","Hoạt động đầu tư xây dựng, thu phí giao thông theo hình thức B.O.T",Tổng,,,
Số đầu năm,Số đầu năm,Số đầu năm,VND,VND,VND,,,
Tài sản bộ phận,Số đầu năm > Tài sản bộ phận,Tài sản bộ phận,8.035.788.100.244,587.961.877.034,8.623.749.977.278,8035788100244.0,587961877034.0,8623749977278.0
Tổng tài sản hợp nhất,Số đầu năm > Tổng tài sản hợp nhất,Tổng tài sản hợp nhất,,,8.623.749.977.278,,,8623749977278.0
Nợ phải trả bộ phận,Số đầu năm > Nợ phải trả bộ phận,Nợ phải trả bộ phận,3.790.588.254.849,250.364.225,3.790.838.619.074,3790588254849.0,250364225.0,3790838619074.0
Tổng nợ phải trả hợp nhất,Số đầu năm > Tổng nợ phải trả hợp nhất,Tổng nợ phải trả hợp nhất,,,3.790.838.619.074,,,3790838619074.0
