row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,Máy móc và thiết bị,"Phương tiện vận tải, thiết bị truyền dẫn",Thiết bị văn phòng,Tài sản khác,Tổng cộng,numeric__Nhà cửa và vật kiến trúc,numeric__Máy móc và thiết bị,"numeric__Phương tiện vận tải, thiết bị truyền dẫn",numeric__Thiết bị văn phòng,numeric__Tài sản khác,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,3.569.715.672.473,9.235.149.222.275,334.493.077.967,58.760.565.748,697.459.364.166,13.895.577.902.629,3569715672473.0,9235149222275.0,334493077967.0,58760565748.0,697459364166.0,13895577902629.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,-,23.924.967.417,-,944.750.000,-,24.869.717.417,,23924967417.0,,944750000.0,,24869717417.0
Đầu tư xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,59.581.993.476,-,-,-,-,59.581.993.476,59581993476.0,,,,,59581993476.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(21.463.736.040),(33.955.081.520),(18.610.689.015),(757.395.889),-,(74.786.902.464),-21463736040.0,-33955081520.0,-18610689015.0,-757395889.0,,-74786902464.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,3.607.833.929.909,9.225.119.108.172,315.882.388.952,58.947.919.859,697.459.364.166,13.905.242.711.058,3607833929909.0,9225119108172.0,315882388952.0,58947919859.0,697459364166.0,13905242711058.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,1.908.450.186.628,6.348.708.757.348,292.496.856.500,44.956.405.426,403.478.665.427,8.998.090.871.329,1908450186628.0,6348708757348.0,292496856500.0,44956405426.0,403478665427.0,8998090871329.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,112.338.342.343,401.619.768.365,6.581.947.794,3.759.083.613,24.149.621.736,548.448.763.851,112338342343.0,401619768365.0,6581947794.0,3759083613.0,24149621736.0,548448763851.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(20.811.786.073),(33.955.081.520),(18.610.689.015),(757.395.889),-,(74.134.952.497),-20811786073.0,-33955081520.0,-18610689015.0,-757395889.0,,-74134952497.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,1.999.976.742.898,6.716.373.444.193,280.468.115.279,47.958.093.150,427.628.287.163,9.472.404.682.683,1999976742898.0,6716373444193.0,280468115279.0,47958093150.0,427628287163.0,9472404682683.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,1.661.265.485.845,2.886.440.464.927,41.996.221.467,13.804.160.322,293.980.698.739,4.897.487.031.300,1661265485845.0,2886440464927.0,41996221467.0,13804160322.0,293980698739.0,4897487031300.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,1.607.857.187.011,2.508.745.663.979,35.414.273.673,10.989.826.709,269.831.077.003,4.432.838.028.375,1607857187011.0,2508745663979.0,35414273673.0,10989826709.0,269831077003.0,4432838028375.0
