row_label_raw,row_label_full,Họ tên,Chức danh,Ngày bổ nhiệm/miễn nhiệm,Năm nay,Năm trước,numeric__Chức danh,numeric__Ngày bổ nhiệm/miễn nhiệm,numeric__Năm nay,numeric__Năm trước
,,,,,Triệu VND,Triệu VND,,,,
HỘI ĐỒNG QUẢN TRỊ,HỘI ĐỒNG QUẢN TRỊ,HỘI ĐỒNG QUẢN TRỊ,,,15.391,12.587,,,15391.0,12587.0
Ông Trần Minh Bình,Ông Trần Minh Bình,Ông Trần Minh Bình,Chủ tịch,,2.461,2.370,,,2461.0,2370.0
Ông Lê Đức Thọ,Ông Lê Đức Thọ,Ông Lê Đức Thọ,Chủ tịch,Miễn nhiệm ngày 03 tháng 7 năm 2021,-,1.329,,,,1329.0
Ông Nguyễn Đức Thành,Ông Nguyễn Đức Thành,Ông Nguyễn Đức Thành,Thành viên,Bố nhiệm ngày 29 tháng 4 năm 2022,1.987,-,,,1987.0,
Bà Trần Thu Huyền,Bà Trần Thu Huyền,Bà Trần Thu Huyền,Thành viên,,2.124,2.029,,,2124.0,2029.0
Bà Nguyễn Thị Bắc,Bà Nguyễn Thị Bắc,Bà Nguyễn Thị Bắc,Thành viên độc lập,,1.800,1.464,,,1800.0,1464.0
Ông Nguyễn Thế Huân,Ông Nguyễn Thế Huân,Ông Nguyễn Thế Huân,Thành viên,,1.826,1.746,,,1826.0,1746.0
Bà Phạm Thị Thanh Hoài,Bà Phạm Thị Thanh Hoài,Bà Phạm Thị Thanh Hoài,Thành viên,,1.593,1.467,,,1593.0,1467.0
Ông Trần Văn Tần,Ông Trần Văn Tần,Ông Trần Văn Tần,Thành viên,,1.621,1.497,,,1621.0,1497.0
Ông Lê Thanh Tùng,Ông Lê Thanh Tùng,Ông Lê Thanh Tùng,Thành viên,,1.593,300,,,1593.0,300.0
Thành viên do đối tác MUFJ đề cử,Thành viên do đối tác MUFJ đề cử,Thành viên do đối tác MUFJ đề cử,Thành viên,,386,385,,,386.0,385.0
Ông Masahiko Oki,Ông Masahiko Oki,Ông Masahiko Oki,Thành viên,,,,,,,
Ông Masashige Nakazono,Ông Masashige Nakazono,Ông Masashige Nakazono,Thành viên,,,,,,,
BAN KIỂM SOÁT,Ông Masashige Nakazono > BAN KIỂM SOÁT,BAN KIỂM SOÁT,,,3.678,4.232,,,3678.0,4232.0
Bà Lê Anh Hà,Ông Masashige Nakazono > Bà Lê Anh Hà,Bà Lê Anh Hà,Trường ban Kiểm soát,,1.589,1.524,,,1589.0,1524.0
Bà Nguyễn Thị Anh Thư,Ông Masashige Nakazono > Bà Nguyễn Thị Anh Thư,Bà Nguyễn Thị Anh Thư,Thành viên,,1.174,1.082,,,1174.0,1082.0
Bà Phạm Thị Thơm,Ông Masashige Nakazono > Bà Phạm Thị Thơm,Bà Phạm Thị Thơm,Thành viên,,915,623,,,915.0,623.0
Ông Nguyễn Mạnh Toàn,Ông Masashige Nakazono > Ông Nguyễn Mạnh Toàn,Ông Nguyễn Mạnh Toàn,Thành viên,Miễn nhiệm ngày 04 tháng 11 năm 2021,-,1.003,,,,1003.0
