row_label_raw,row_label_full,col_0,Không chịu lãi,Quá hạn,Quá hạn_1,Trong hạn,Trong hạn_1,Trong hạn_2,Trong hạn_3,Trong hạn_4,Trong hạn_5,Tổng,numeric__Không chịu lãi,numeric__Quá hạn,numeric__Quá hạn_1,numeric__Trong hạn,numeric__Trong hạn_1,numeric__Trong hạn_2,numeric__Trong hạn_3,numeric__Trong hạn_4,numeric__Trong hạn_5,numeric__Tổng
,,,Không chịu lãi,Trên 03 tháng,Đến 03 tháng,Đến 01 tháng,Từ 01-03 tháng,Từ 03-06 tháng,Từ 06 -12 tháng,Từ 01-05 năm,Trên 05 năm,Tổng,,,,,,,,,,
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,,
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,,,,,
Tiền mặt,Tài sản > Tiền mặt,Tiền mặt,10.940.803,-,-,-,-,-,-,-,-,10.940.803,10940803.0,,,,,,,,,10940803.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,29.726.607,-,-,,-,-,-,-,-,29.726.607,29726607.0,,,,,,,,,29726607.0
Tiền gửi và cho vay các TCTD khác (*),Tài sản > Tiền gửi và cho vay các TCTD khác (*),Tiền gửi và cho vay các TCTD khác (*),-,-,-,195.467.876,24.146.661,13.952.138,7.822.358,-,-,241.389.033,,,,195467876.0,24146661.0,13952138.0,7822358.0,,,241389033.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,-,-,3.077.852,-,-,-,-,-,3.077.852,,,,3077852.0,,,,,,3077852.0
Cho vay khách hàng (*),Tài sản > Cho vay khách hàng (*),Cho vay khách hàng (*),-,15.709.536,29.747.561,418.855.411,375.518.436,314.958.835,74.637.137,33.890.081,859.646,1.264.176.643,,15709536.0,29747561.0,418855411.0,375518436.0,314958835.0,74637137.0,33890081.0,859646.0,1264176643.0
Chứng khoán đầu tư (*),Tài sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),4.471.720,-,-,470.000,14.269.000,21.280.000,27.536.748,39.401.530,70.428.811,177.857.809,4471720.0,,,470000.0,14269000.0,21280000.0,27536748.0,39401530.0,70428811.0,177857809.0
"Góp vốn, đầu tư dài hạn","Tài sản > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",5.551.782,-,-,-,-,-,-,-,-,5.551.782,5551782.0,,,,,,,,,5551782.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,9.978.145,-,-,-,-,-,-,-,-,9.978.145,9978145.0,,,,,,,,,9978145.0
Tài sản Có khác (*),Tài sản > Tài sản Có khác (*),Tài sản Có khác (*),52.565.632,30.334,-,6.805.928,12.181.396,7.850.982,740.865,-,-,80.175.137,52565632.0,30334.0,,6805928.0,12181396.0,7850982.0,740865.0,,,80175137.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,113.234.689,15.739.870,29.747.561,624.677.067,426.115.493,358.041.955,110.737.108,73.291.611,71.288.457,1.822.873.811,113234689.0,15739870.0,29747561.0,624677067.0,426115493.0,358041955.0,110737108.0,73291611.0,71288457.0,1822873811.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,,,
Các khoản nợ Chính phủ và NHNN,Nợ phải trả > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,-,101.549.631,2.208.989,637.176,383.506,-,-,104.779.302,,,,101549631.0,2208989.0,637176.0,383506.0,,,104779302.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,-,148.287.029,46.631.765,8.047.106,740.865,-,-,203.706.765,,,,148287029.0,46631765.0,8047106.0,740865.0,,,203706765.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,-,546.249.644,194.128.864,198.526.252,261.411.720,46.841.574,4.116,1.247.162.170,,,,546249644.0,194128864.0,198526252.0,261411720.0,46841574.0,4116.0,1247162170.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,-,-,1.574.426,817.775,-,-,-,2.392.201,,,,,1574426.0,817775.0,,,,2392201.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,500.561,16.900.000,23.515.100,46.314.298,1.700.460,2.440.000,91.370.419,,,,500561.0,16900000.0,23515100.0,46314298.0,1700460.0,2440000.0,91370419.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,39.352.882,-,-,-,-,-,-,-,-,39.352.882,39352882.0,,,,,,,,,39352882.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,39.352.882,-,-,796.586.865,261.444.044,231.543.409,308.850.389,48.542.034,2.444.116,1.688.763.739,39352882.0,,,796586865.0,261444044.0,231543409.0,308850389.0,48542034.0,2444116.0,1688763739.0
Mức chênh nhạy cảm với lãi suất nội bảng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội bảng,Mức chênh nhạy cảm với lãi suất nội bảng,73.881.807,15.739.870,29.747.561,(171.909.798),164.671.449,126.498.546,(198.113.281),24.749.577,68.844.341,134.110.072,73881807.0,15739870.0,29747561.0,-171909798.0,164671449.0,126498546.0,-198113281.0,24749577.0,68844341.0,134110072.0
