row_label_raw,row_label_full,col_0,Vốn điều lệ,Thặng dư vốncố phần,Quỹ dự trữ bổ sung vốn điều lệ,Quỹ dự phòngtài chính,Lợi nhuận sauthuế chưaphân phối,Tổng cộng,numeric__Vốn điều lệ,numeric__Thặng dư vốncố phần,numeric__Quỹ dự trữ bổ sung vốn điều lệ,numeric__Quỹ dự phòngtài chính,numeric__Lợi nhuận sauthuế chưaphân phối,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,48.057.506,8.969.827,4.418.716,8.811.247,19.881.060,90.138.356,48057506.0,8969827.0,4418716.0,8811247.0,19881060.0,90138356.0
Lợi nhuận sau thuế trong năm,Lợi nhuận sau thuế trong năm,Lợi nhuận sau thuế trong năm,-,-,-,-,16.379.008,16.379.008,,,,,16379008.0,16379008.0
Điều chỉnh trích lập quỹ của các năm tài chính trước,Điều chỉnh trích lập quỹ của các năm tài chính trước,Điều chỉnh trích lập quỹ của các năm tài chính trước,-,-,1.143,2.286,(3.429),-,,,1143.0,2286.0,-3429.0,
Tạm trích quỹ trong năm,Tạm trích quỹ trong năm,Tạm trích quỹ trong năm,-,-,818.950,1.637.901,(2.456.851),-,,,818950.0,1637901.0,-2456851.0,
Trích quỹ khen thưởng phúc lợi (*),Trích quỹ khen thưởng phúc lợi (*),Trích quỹ khen thưởng phúc lợi (*),-,-,-,-,(1.954.606),(1.954.606),,,,,-1954606.0,-1954606.0
Điều chỉnh khác,Điều chỉnh khác,Điều chỉnh khác,-,-,-,-,(86.146),(86.146),,,,,-86146.0,-86146.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,48.057.506,8.969.827,5.238.809,10.451.434,31.759.036,104.476.612,48057506.0,8969827.0,5238809.0,10451434.0,31759036.0,104476612.0
