row_label_raw,row_label_full,Bên liên quan,Quan hệ,Các giao dịch,Năm nay,Năm trước,numeric__Quan hệ,numeric__Các giao dịch,numeric__Năm nay,numeric__Năm trước
Bên liên quan,Bên liên quan,Bên liên quan,Quan hệ,Các giao dịch,Triệu VND,Triệu VND,,,,
Ngân hàng Nhà nước Việt Nam,Bên liên quan > Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,Chủ sở hữu và Cơ quan quản lý trực tiếp,Tăng/(Giảm) tiền gửi tại NHNN,6.343.666,(34.233.363),,,6343666.0,-34233363.0
Ngân hàng Nhà nước Việt Nam,Bên liên quan > Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,Chủ sở hữu và Cơ quan quản lý trực tiếp,Tăng/(Giảm) tiền vay NHNN,231.355,(464.500),,,231355.0,-464500.0
Ngân hàng Tokyo-Mitsubishi UFJ,Bên liên quan > Ngân hàng Tokyo-Mitsubishi UFJ,Ngân hàng Tokyo-Mitsubishi UFJ,Cổ đông chiến lược,(Giảm)/Tăng tiền gửi của Ngân hàng,(148.639),108.083,,,-148639.0,108083.0
Ngân hàng Tokyo-Mitsubishi UFJ,Bên liên quan > Ngân hàng Tokyo-Mitsubishi UFJ,Ngân hàng Tokyo-Mitsubishi UFJ,Cổ đông chiến lược,(Giảm) tiền gửi tại Ngân hàng,-,(1.100.000),,,,-1100000.0
Ngân hàng Tokyo-Mitsubishi UFJ,Bên liên quan > Ngân hàng Tokyo-Mitsubishi UFJ,Ngân hàng Tokyo-Mitsubishi UFJ,Cổ đông chiến lược,(Giảm)/Tăng tiền Ngân hàng vay,(7.517.189),3.722.981,,,-7517189.0,3722981.0
Ngân hàng Tokyo-Mitsubishi UFJ,Bên liên quan > Ngân hàng Tokyo-Mitsubishi UFJ,Ngân hàng Tokyo-Mitsubishi UFJ,Cổ đông chiến lược,(Giảm)/Tăng lãi dự trả,(13.724),4.943,,,-13724.0,4943.0
Ngân hàng Tokyo-Mitsubishi UFJ,Bên liên quan > Ngân hàng Tokyo-Mitsubishi UFJ,Ngân hàng Tokyo-Mitsubishi UFJ,Cổ đông chiến lược,Chi phí lãi tiền gửi,2.663,1.883,,,2663.0,1883.0
Ngân hàng Tokyo-Mitsubishi UFJ,Bên liên quan > Ngân hàng Tokyo-Mitsubishi UFJ,Ngân hàng Tokyo-Mitsubishi UFJ,Cổ đông chiến lược,Chi phí lãi tiền vay,16.424,47.352,,,16424.0,47352.0
Các công ty con/Ngân hàng con/Ngân hàng liên doanh,Bên liên quan > Các công ty con/Ngân hàng con/Ngân hàng liên doanh,Các công ty con/Ngân hàng con/Ngân hàng liên doanh,Các công ty con/Ngân hàng con/Ngân hàng liên doanh,Tăng/(Giảm) tiền gửi của Ngân hàng,1.630.950,(68.132),,,1630950.0,-68132.0
