row_label_raw,row_label_full,col_0,Chưa quá hạnvà chưa bịgiảm giá,Đã quá hạnvà chưa bịgiảm giá,Đã bị giảm giávà trích lậpđự phòng,Tổng cộng,numeric__Chưa quá hạnvà chưa bịgiảm giá,numeric__Đã quá hạnvà chưa bịgiảm giá,numeric__Đã bị giảm giávà trích lậpđự phòng,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,
Tiền gửi và cấp tín dụng cho các TCTD khác,Tiền gửi và cấp tín dụng cho các TCTD khác,Tiền gửi và cấp tín dụng cho các TCTD khác,241.389.033,-,-,241.389.033,241389033.0,,,241389033.0
- Tiền gửi tại TCTD khác,- Tiền gửi tại TCTD khác,- Tiền gửi tại TCTD khác,223.981.711,-,-,223.981.711,223981711.0,,,223981711.0
- Cấp tín dụng cho các TCTD khác,- Cấp tín dụng cho các TCTD khác,- Cấp tín dụng cho các TCTD khác,17.407.322,-,-,17.407.322,17407322.0,,,17407322.0
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,1.201.840.285,1.255.968,61.080.390,1.264.176.643,1201840285.0,1255968.0,61080390.0,1264176643.0
Chứng khoán đầu tư,Chứng khoán đầu tư,Chứng khoán đầu tư,177.857.779,30,-,177.857.809,177857779.0,30.0,,177857809.0
- Chứng khoán đầu tư sẵn sàng để bán,- Chứng khoán đầu tư sẵn sàng để bán,- Chứng khoán đầu tư sẵn sàng để bán,176.271.031,-,-,176.271.031,176271031.0,,,176271031.0
- Chứng khoán đầu tư giữ đến ngày đáo hạn,- Chứng khoán đầu tư giữ đến ngày đáo hạn,- Chứng khoán đầu tư giữ đến ngày đáo hạn,1.586.748,30,-,1.586.778,1586748.0,30.0,,1586778.0
Tổng cộng,Tổng cộng,Tổng cộng,1.621.087.097,1.255.998,61.080.390,2.102.670.327,1621087097.0,1255998.0,61080390.0,2102670327.0
