row_label_raw,row_label_full,STT,CHỈ TIÊU,Thuyết minh,Số cuối năm,Số đầu năm,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
A.,A.,A.,TÀI SẢN,,,,,,,
I.,A. > I.,I.,Tiền mặt,5,10.940.803,11.196.660,,5.0,10940803.0,11196660.0
II.,A. > II.,II.,"Tiền gửi tại Ngân hàng Nhà nước (""NHNN"")",6,29.726.607,23.382.941,,6.0,29726607.0,23382941.0
III.,A. > III.,III.,Tiền gửi và cho vay các TCTD khác,7,241.389.033,147.331.139,,7.0,241389033.0,147331139.0
1.,A. > 1.,1.,Tiền gửi tại các TCTD khác,,223.981.711,130.825.951,,,223981711.0,130825951.0
2.,A. > 2.,2.,Cho vay các TCTD khác,,17.407.322,16.505.188,,,17407322.0,16505188.0
IV.,A. > IV.,IV.,Chứng khoán kinh doanh,8,-,1.084.670,,8.0,,1084670.0
1.,A. > 1.,1.,Chứng khoán kinh doanh,,-,1.092.554,,,,1092554.0
2.,A. > 2.,2.,Dự phòng rủi ro chứng khoán kinh doanh,,-,(7.884),,,,-7884.0
V.,A. > V.,V.,Các công cụ tài chính phải sinh và các tài sản tài chính khác,9,3.077.852,1.454.790,,9.0,3077852.0,1454790.0
VI.,A. > VI.,VI.,Cho vay khách hàng,,1.234.635.168,1.094.460.294,,,1234635168.0,1094460294.0
1.,A. > 1.,1.,Cho vay khách hàng,10,1.264.176.643,1.120.063.085,,10.0,1264176643.0,1120063085.0
2.,A. > 2.,2.,Dự phòng rủi ro cho vay khách hàng,11,(29.541.475),(25.602.791),,11.0,-29541475.0,-25602791.0
VII.,A. > VII.,VII.,Chứng khoán đầu tư,12,177.796.158,175.660.110,,12.0,177796158.0,175660110.0
1.,A. > 1.,1.,Chứng khoán đầu tư sẵn sàng để bán,12.1,176.271.031,173.192.431,,121.0,176271031.0,173192431.0
2.,A. > 2.,2.,Chứng khoán đầu tư giữ đến ngày đáo hạn,12.2,1.586.778,2.586.832,,122.0,1586778.0,2586832.0
3.,A. > 3.,3.,Dự phòng rủi ro chứng khoán đầu tư,12.4,(61.651),(119.153),,124.0,-61651.0,-119153.0
VIII.,A. > VIII.,VIII.,"Gớp vốn, đầu tư dài hạn",13,5.551.782,5.551.782,,13.0,5551782.0,5551782.0
1.,A. > 1.,1.,Đầu tư vào công ty con,13.1,3.840.032,3.840.032,,131.0,3840032.0,3840032.0
2.,A. > 2.,2.,Vốn góp liên doanh,13.2,1.688.788,1.688.788,,132.0,1688788.0,1688788.0
3.,A. > 3.,3.,Đầu tư dài hạn khác,,22.962,22.962,,,22962.0,22962.0
IX.,A. > IX.,IX.,Tài sản cố định,,9.978.145,10.222.501,,,9978145.0,10222501.0
1.,A. > 1.,1.,Tài sản cố định hữu hình,14,5.901.915,6.017.969,,14.0,5901915.0,6017969.0
a.,A. > a.,a.,Nguyên giá TSCĐ,,15.879.268,15.438.174,,,15879268.0,15438174.0
b.,A. > b.,b.,Hao mòn TSCĐ,,(9.977.353),(9.420.205),,,-9977353.0,-9420205.0
2.,A. > 2.,2.,Tài sản cố định vô hình,15,4.076.230,4.204.532,,15.0,4076230.0,4204532.0
a.,A. > a.,a.,Nguyên giá TSCĐ,,6.642.707,6.478.776,,,6642707.0,6478776.0
b.,A. > b.,b.,Hao mòn TSCĐ,,(2.566.477),(2.274.244),,,-2566477.0,-2274244.0
X.,A. > X.,X.,Tài sản Có khác,16,80.144.803,45.273.501,,16.0,80144803.0,45273501.0
1.,A. > 1.,1.,Các khoản phải thu,16.1,65.208.103,32.811.819,,161.0,65208103.0,32811819.0
2.,A. > 2.,2.,"Các khoản lãi, phí phải thu",,12.129.744,9.566.114,,,12129744.0,9566114.0
3.,A. > 3.,3.,Tài sản Có khác,16.2,2.837.290,2.936.274,,162.0,2837290.0,2936274.0
4.,A. > 4.,4.,Các khoản dự phòng rủi ro cho các tài sản Có nội bằng khác,16.3,(30.334),(40.706),,163.0,-30334.0,-40706.0
TỔNG TÀI SẢN CÓ,A. > TỔNG TÀI SẢN CÓ,TỔNG TÀI SẢN CÓ,TỔNG TÀI SẢN CÓ,,1.793.240.351,1.515.618.388,,,1793240351.0,1515618388.0
