row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phươngtiện vận tải,Thiết bịdụng cụquản lý vàTSCĐ hữuhình khác,Tổng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phươngtiện vận tải,numeric__Thiết bịdụng cụquản lý vàTSCĐ hữuhình khác,numeric__Tổng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,7.926.937,5.486.894,1.652.722,371.621,15.438.174,7926937.0,5486894.0,1652722.0,371621.0,15438174.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,1.180,232.493,115.344,29.063,378.080,1180.0,232493.0,115344.0,29063.0,378080.0
Đầu tư XDCB hoàn thành,Nguyên giá > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,107.829,4.266,11.971,4.551,128.617,107829.0,4266.0,11971.0,4551.0,128617.0
Tăng khác,Nguyên giá > Tăng khác,Tăng khác,47.860,27.060,3.784,6.171,84.875,47860.0,27060.0,3784.0,6171.0,84875.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(4.843),(53.155),(70.679),(5.599),(134.276),-4843.0,-53155.0,-70679.0,-5599.0,-134276.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,(1.011),(5.742),(5.508),(3.941),(16.202),-1011.0,-5742.0,-5508.0,-3941.0,-16202.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,8.077.952,5.691.816,1.707.634,401.866,15.879.268,8077952.0,5691816.0,1707634.0,401866.0,15879268.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,2.776.635,5.087.468,1.231.158,324.944,9.420.205,2776635.0,5087468.0,1231158.0,324944.0,9420205.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,276.456,226.667,143.457,30.371,676.951,276456.0,226667.0,143457.0,30371.0,676951.0
Tăng khác,Giá trị hao mòn lũy kế > Tăng khác,Tăng khác,2.773,10.904,-,-,13.677,2773.0,10904.0,,,13677.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(4.687),(49.658),(69.652),(5.599),(129.596),-4687.0,-49658.0,-69652.0,-5599.0,-129596.0
Giảm khác,Giá trị hao mòn lũy kế > Giảm khác,Giảm khác,-,-,(503),(3.381),(3.884),,,-503.0,-3381.0,-3884.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,3.051.177,5.275.381,1.304.460,346.335,9.977.353,3051177.0,5275381.0,1304460.0,346335.0,9977353.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,5.150.302,399.426,421.564,46.677,6.017.969,5150302.0,399426.0,421564.0,46677.0,6017969.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,5.026.775,416.435,403.174,55.531,5.901.915,5026775.0,416435.0,403174.0,55531.0,5901915.0
