row_label_raw,row_label_full,STT,CHỈ TIÊU,Thuyết minh,Năm nay,Năm trước,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
1.,1.,1.,Thu nhập lãi và các khoản thu nhập tương tự,25,103.386.321,83.606.485,,25.0,103386321.0,83606485.0
2.,2.,2.,Chi phí lãi và các chi phí tương tự,26,(56.536.426),(42.586.939),,26.0,-56536426.0,-42586939.0
I.,I.,I.,Thu nhập lãi thuần,,46.849.895,41.019.546,,,46849895.0,41019546.0
3.,3.,3.,Thu nhập từ hoạt động dịch vụ,,8.381.799,6.981.479,,,8381799.0,6981479.0
4.,4.,4.,Chi phí hoạt động dịch vụ,,(3.359.322),(2.612.680),,,-3359322.0,-2612680.0
II.,II.,II.,Lãi thuần từ hoạt động dịch vụ,27,5.022.477,4.368.799,,27.0,5022477.0,4368799.0
III.,III.,III.,Lãi thuần từ hoạt động kinh doanh ngoại hối,28,3.580.681,1.885.780,,28.0,3580681.0,1885780.0
IV.,IV.,IV.,(Lỗ)/Lãi thuần từ mua bán chứng khoán kinh doanh,29.1,(39.764),187.120,,291.0,-39764.0,187120.0
V.,V.,V.,(Lỗ)/Lãi thuần từ mua bán chứng khoán đầu tư,29.2,(38.103),220.415,,292.0,-38103.0,220415.0
5.,5.,5.,Thu nhập từ hoạt động khác,,7.320.352,4.163.976,,,7320352.0,4163976.0
6.,6.,6.,Chi phí hoạt động khác,,(897.863),(1.025.115),,,-897863.0,-1025115.0
VI.,VI.,VI.,Lãi thuần từ hoạt động khác,30,6.422.489,3.138.861,,30.0,6422489.0,3138861.0
VII.,VII.,VII.,"Thu nhập từ góp vốn, mua cổ phần",31,540.491,750.387,,31.0,540491.0,750387.0
VIII.,VIII.,VIII.,Chi phí hoạt động,32,(17.889.022),(16.372.780),,32.0,-17889022.0,-16372780.0
IX.,IX.,IX.,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,,44.449.144,35.198.128,,,44449144.0,35198128.0
X.,X.,X.,Chi phí dự phòng rủi ro tín dụng,,(24.096.462),(18.337.702),,,-24096462.0,-18337702.0
XI.,XI.,XI.,Tổng lợi nhuận trước thuế,,20.352.682,16.860.426,,,20352682.0,16860426.0
7.,7.,7.,Chi phí thuế TNDN hiện hành,33,(3.973.674),(3.238.080),,33.0,-3973674.0,-3238080.0
XII.,XII.,XII.,Chi phí thuế TNDN,,(3.973.674),(3.238.080),,,-3973674.0,-3238080.0
XIII.,XIII.,XIII.,Lợi nhuận sau thuế TNDN,,16.379.008,13.622.346,,,16379008.0,13622346.0
