row_label_raw,row_label_full,col_0,Tổng dư nợ cho vay,Tổng tiền gửi,Các cam kết tín dụng,Công cụ tài chính phải sinh (Chênh lệch Dư Nợ - Dư Có),Kinh doanh và đầu tư chứng khoán (Chênh lệch dư nợ - dư có),numeric__Tổng dư nợ cho vay,numeric__Tổng tiền gửi,numeric__Các cam kết tín dụng,numeric__Công cụ tài chính phải sinh (Chênh lệch Dư Nợ - Dư Có),numeric__Kinh doanh và đầu tư chứng khoán (Chênh lệch dư nợ - dư có)
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,
Trong nước,Trong nước,Trong nước,1.276.496.600,1.488.188.281,159.560.603,3.077.852,177.857.809,1276496600.0,1488188281.0,159560603.0,3077852.0,177857809.0
Nước ngoài,Nước ngoài,Nước ngoài,5.087.365,793.868,15.292,-,-,5087365.0,793868.0,15292.0,,
,,,1.281.583.965,1.488.982.149,159.575.895,3.077.852,177.857.809,1281583965.0,1488982149.0,159575895.0,3077852.0,177857809.0
