row_label_raw,row_label_full,col_0,Quá hạn,Quá hạn_1,Trong hạn,Trong hạn_1,Trong hạn_2,Trong hạn_3,Trong hạn_4,Tổng,numeric__Quá hạn,numeric__Quá hạn_1,numeric__Trong hạn,numeric__Trong hạn_1,numeric__Trong hạn_2,numeric__Trong hạn_3,numeric__Trong hạn_4,numeric__Tổng
,,,Trên 03 tháng,Đến 03 tháng,Đến 01 tháng,Từ 01-03 tháng,Từ 03-12 tháng,Từ 01-05 năm,Trên 05 năm,Tổng,,,,,,,,
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,
Tiền mặt,Tài sản > Tiền mặt,Tiền mặt,-,-,10.940.803,-,-,-,-,10.940.803,,,10940803.0,,,,,10940803.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,29.726.607,-,-,-,-,29.726.607,,,29726607.0,,,,,29726607.0
Tiền gửi và cho vay các TCTD khác (*),Tài sản > Tiền gửi và cho vay các TCTD khác (*),Tiền gửi và cho vay các TCTD khác (*),-,-,195.467.876,24.146.661,21.774.496,-,-,241.389.033,,,195467876.0,24146661.0,21774496.0,,,241389033.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,-,3.077.852,-,-,-,-,3.077.852,,,3077852.0,,,,,3077852.0
Cho vay khách hàng (*),Tài sản > Cho vay khách hàng (*),Cho vay khách hàng (*),15.709.536,29.747.561,92.392.480,265.178.035,463.394.265,186.468.326,211.286.440,1.264.176.643,15709536.0,29747561.0,92392480.0,265178035.0,463394265.0,186468326.0,211286440.0,1264176643.0
Chứng khoán đầu tư (*),Tài sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),-,-,4.565.105,14.269.000,48.816.748,39.401.530,70.805.426,177.857.809,,,4565105.0,14269000.0,48816748.0,39401530.0,70805426.0,177857809.0
"Góp vốn, đầu tư dài hạn","Tài sản > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",-,-,-,-,-,-,5.551.782,5.551.782,,,,,,,5551782.0,5551782.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,-,-,-,-,-,9.978.145,9.978.145,,,,,,,9978145.0,9978145.0
Tài sản Có khác (*),Tài sản > Tài sản Có khác (*),Tài sản Có khác (*),30.334,-,10.670.811,28.514.636,25.485.466,1.855.893,13.617.997,80.175.137,30334.0,,10670811.0,28514636.0,25485466.0,1855893.0,13617997.0,80175137.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,15.739.870,29.747.561,346.841.534,332.108.332,559.470.975,227.725.749,311.239.790,1.822.873.811,15739870.0,29747561.0,346841534.0,332108332.0,559470975.0,227725749.0,311239790.0,1822873811.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Các khoản nợ Chính phủ và NHNN,Nợ phải trả > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,101.549.631,2.208.989,1.020.682,-,-,104.779.302,,,101549631.0,2208989.0,1020682.0,,,104779302.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,148.287.029,20.969.895,23.754.354,10.665.146,30.341,203.706.765,,,148287029.0,20969895.0,23754354.0,10665146.0,30341.0,203706765.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,184.223.730,197.659.251,605.972.945,259.292.317,13.927,1.247.162.170,,,184223730.0,197659251.0,605972945.0,259292317.0,13927.0,1247162170.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,224.002,38.351,58.617,456.506,1.614.725,2.392.201,,,224002.0,38351.0,58617.0,456506.0,1614725.0,2392201.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,609.189,16.900.000,36.285.000,1.700.000,35.876.230,91.370.419,,,609189.0,16900000.0,36285000.0,1700000.0,35876230.0,91370419.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,17.982.762,10.731.289,7.907.877,2.730.954,-,39.352.882,,,17982762.0,10731289.0,7907877.0,2730954.0,,39352882.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,-,452.876.343,248.507.775,674.999.475,274.844.923,37.535.223,1.688.763.739,,,452876343.0,248507775.0,674999475.0,274844923.0,37535223.0,1688763739.0
Mức chênh thanh khoản ròng,Nợ phải trả > Mức chênh thanh khoản ròng,Mức chênh thanh khoản ròng,15.739.870,29.747.561,(106.034.809),83.600.557,(115.528.500),(47.119.174),273.704.567,134.110.072,15739870.0,29747561.0,-106034809.0,83600557.0,-115528500.0,-47119174.0,273704567.0,134110072.0
