row_label_raw,row_label_full,01.,Mua sắm tài sản cố định,(538.526),(696.926),numeric__Mua sắm tài sản cố định,numeric__(538.526),numeric__(696.926)
02.,02.,02.,"Tiền thu từ thanh lý, nhượng bán tài sản cố định",16.828,7.368,,16828.0,7368.0
03.,03.,03.,"Tiền chi từ thanh lý, nhượng bán tài sản cố định",(2.176),(2.877),,-2176.0,-2877.0
04.,04.,04.,"Tiền thu cố tức và lợi nhuận được chia từ các khoản đầu tư,góp vốn dài hạn",540.491,750.387,,540491.0,750387.0
II.,II.,II.,Lưu chuyển tiền thuần từ hoạt động đầu tư,16.617,57.952,,16617.0,57952.0
LU'U CHUYÊN TIỀN THUẦN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIỀN THUẦN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIỀN THUẦN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIỀN THUẦN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIỀN THUẦN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIỀN THUẦN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,
01.,LU'U CHUYÊN TIỀN THUẦN TỪ HOẠT ĐỘNG TÀI CHÍNH > 01.,01.,"Cố tức trả cho cố đông, lợi nhuận đã chia",(3.844.600),-,,-3844600.0,
III.,LU'U CHUYÊN TIỀN THUẦN TỪ HOẠT ĐỘNG TÀI CHÍNH > III.,III.,Lưu chuyển tiền thuần từ hoạt động tài chính,(3.844.600),-,,-3844600.0,
IV.,LU'U CHUYÊN TIỀN THUẦN TỪ HOẠT ĐỘNG TÀI CHÍNH > IV.,IV.,Lưu chuyển tiền thuần trong năm,80.592.895,4.391.331,,80592895.0,4391331.0
V.,LU'U CHUYÊN TIỀN THUẦN TỪ HOẠT ĐỘNG TÀI CHÍNH > V.,V.,Tiền và các khoản tương đương tiền đầu năm,165.405.551,161.014.220,,165405551.0,161014220.0
VI.,LU'U CHUYÊN TIỀN THUẦN TỪ HOẠT ĐỘNG TÀI CHÍNH > VI.,VI.,Tiền và các khoản tương đương tiền cuối năm(Thuyết minh số 34),245.998.446,165.405.551,,245998446.0,165405551.0
