row_label_raw,row_label_full,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính),Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính)_1,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính)_2,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính)_3,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính)_4,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính)_5,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính)_1,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính)_2,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính)_3,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính)_4,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính)_5
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,,,,
STT,STT,STT,Tên công ty,Hoạt động chính,Trụ sở,Tỷ lệ lợi ích kinh tế tại31/12/2016,1/1/2016,,,,,
Công ty con sở hữu trực tiếp,Công ty con sở hữu trực tiếp,Công ty con sở hữu trực tiếp,Công ty con sở hữu trực tiếp,Công ty con sở hữu trực tiếp,Công ty con sở hữu trực tiếp,Công ty con sở hữu trực tiếp,Công ty con sở hữu trực tiếp,,,,,
1,Công ty con sở hữu trực tiếp > 1,1,Công ty TNHHMasanConsumerHoldings (“MCH”),Tư vấn quản lýđầu tư,"Phòng 802, Tầng 8, Tòa nhà Central Plaza, số17 Lê Duẩn, Phường Bến Nghé, Quận 1,Thành phố Hồ Chí Minh, Việt Nam","85,7%","100,0%",,,,0.857,1.0
2,Công ty con sở hữu trực tiếp > 2,2,Công ty Cổ Phần Tầm Nhìn Masan(“MH”),Tư vấn quản lýđầu tư,"Phòng 802, Tầng 8, Tòa nhà Central Plaza, số17 Lê Duẩn, Phường Bến Nghé, Quận 1,Thành phố Hồ Chí Minh, Việt Nam","99,9%","99,9%",,,,0.9990000000000001,0.9990000000000001
3,Công ty con sở hữu trực tiếp > 3,3,Công ty Cổ phần Masan Nutri-Science (trước đây là Công ty TNHHMasan Nutri-Science) (“MNS”),Tư vấn quản lýđầu tư,"Tầng 10, Tòa nhà Central Plaza, số 17 LêDuẩn, Phường Bến Nghé, Quận 1, Thành phốHồ Chí Minh, Việt Nam","89,4%","99,9%",,,,0.894,0.9990000000000001
Công ty con sở hữu gián tiếp,Công ty con sở hữu gián tiếp,Công ty con sở hữu gián tiếp,Công ty con sở hữu gián tiếp,Công ty con sở hữu gián tiếp,Công ty con sở hữu gián tiếp,Công ty con sở hữu gián tiếp,Công ty con sở hữu gián tiếp,,,,,
1,Công ty con sở hữu gián tiếp > 1,1,Công ty TNHH Masan Brewery(“MB”),(i) Tư vấn quản lýđầu tư,"Phòng 802, Tầng 8, Tòa nhà Central Plaza, số17 Lê Duẩn, Phường Bến Nghé, Quận 1,Thành phố Hồ Chí Minh, Việt Nam","57,1%","100,0%",,,,0.5710000000000001,1.0
2,Công ty con sở hữu gián tiếp > 2,2,Công ty TNHH Masan MasterBrewer (“MMBr”),(i) Kinh doanh biavà nước giải khát,"Tầng 10, Tòa nhà Central Plaza, số 17 LêDuẩn, Phường Bến Nghé, Quận 1, Thành phốHồ Chí Minh, Việt Nam","57,1%","100,0%",,,,0.5710000000000001,1.0
3,Công ty con sở hữu gián tiếp > 3,3,Công ty TNHH Một Thành viênMasan Brewery PY (“MBPY”),(i) Sản xuất bia vànước giải khát,"Khu Công nghiệp Hòa Hiệp, Xã Hòa HiệpBắc, Huyện Đông Hòa, Tinh Phú Yên, ViệtNam","57,1%","100,0%",,,,0.5710000000000001,1.0
