row_label_raw,row_label_full,col_0,Thực phẩm và đồ uống,Thực phẩm và đồ uống_1,Nông nghiệp tiêu dùng,Nông nghiệp tiêu dùng_1,Kinh doanh khác,Kinh doanh khác_1,Tổng,Tổng_1,numeric__Thực phẩm và đồ uống,numeric__Thực phẩm và đồ uống_1,numeric__Nông nghiệp tiêu dùng,numeric__Nông nghiệp tiêu dùng_1,numeric__Kinh doanh khác,numeric__Kinh doanh khác_1,numeric__Tổng,numeric__Tổng_1
,,,31/12/2016Triệu VND,1/1/2016Triệu VND,31/12/2016Triệu VND,1/1/2016Triệu VND,31/12/2016Triệu VND,1/1/2016Triệu VND,31/12/2016Triệu VND,1/1/2016Triệu VND,,,,,,,,
Tài sản của bộ phận,Tài sản của bộ phận,Tài sản của bộ phận,18.198.152,19.431.822,18.168.377,14.766.478,35.231.122,34.546.124,71.597.651,68.744.424,18198152.0,19431822.0,18168377.0,14766478.0,35231122.0,34546124.0,71597651.0,68744424.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,,,,,,1.441.387,3.105.276,,,,,,,1441387.0,3105276.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,,,,,,,73.039.038,71.849.700,,,,,,,73039038.0,71849700.0
Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,5.703.114,5.368.413,12.581.924,7.804.983,13.451.049,13.454.736,31.736.087,26.628.132,5703114.0,5368413.0,12581924.0,7804983.0,13451049.0,13454736.0,31736087.0,26628132.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,,,,20.990.326,18.112.522,,,,,,,20990326.0,18112522.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,,,,,,,52.726.413,44.740.654,,,,,,,52726413.0,44740654.0
,,,2016Triệu VND,2015Triệu VND,2016Triệu VND,2015Triệu VND,2016Triệu VND,2015Triệu VND,2016Triệu VND,2015Triệu VND,,,,,,,,
Chi tiêu vốn,Chi tiêu vốn,Chi tiêu vốn,989.112,1.865.381,746.033,194.788,1.178.946,1.796.516,2.914.091,3.856.685,989112.0,1865381.0,746033.0,194788.0,1178946.0,1796516.0,2914091.0,3856685.0
Chi tiêu vốn không phân bổ,Chi tiêu vốn không phân bổ,Chi tiêu vốn không phân bổ,,,,,6.492,140,6.492,140,,,,,6492.0,140.0,6492.0,140.0
Chi phí khấu hao,Chi phí khấu hao,Chi phí khấu hao,507.777,380.125,221.434,102.062,937.251,770.150,1.666.462,1.252.337,507777.0,380125.0,221434.0,102062.0,937251.0,770150.0,1666462.0,1252337.0
Chi phí khấu hao không phân bổ,Chi phí khấu hao không phân bổ,Chi phí khấu hao không phân bổ,,,,,2.692,4.883,2.692,4.883,,,,,2692.0,4883.0,2692.0,4883.0
Chi phí phân bổ,Chi phí phân bổ,Chi phí phân bổ,350.871,455.809,401.729,247.772,196.030,115.780,948.630,819.361,350871.0,455809.0,401729.0,247772.0,196030.0,115780.0,948630.0,819361.0
Chi phí phân bổ không phân bổ,Chi phí phân bổ không phân bổ,Chi phí phân bổ không phân bổ,,,,,48.051,4.500,48.051,4.500,,,,,48051.0,4500.0,48051.0,4500.0
