row_label_raw,row_label_full,col_0,Tài sản khai khoáng Triệu VND,Nhà cửa và vật kiến trúc Triệu VND,Nâng cấp tài sản thuê Triệu VND,Thiết bị văn phòng Triệu VND,Máy móc và thiết bị Triệu VND,Phương tiện vận chuyển Triệu VND,Tổng Triệu VND,numeric__Tài sản khai khoáng Triệu VND,numeric__Nhà cửa và vật kiến trúc Triệu VND,numeric__Nâng cấp tài sản thuê Triệu VND,numeric__Thiết bị văn phòng Triệu VND,numeric__Máy móc và thiết bị Triệu VND,numeric__Phương tiện vận chuyển Triệu VND,numeric__Tổng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,5.026.292,3.910.138,25.761,114.168,13.396.141,124.632,22.597.132,5026292.0,3910138.0,25761.0,114168.0,13396141.0,124632.0,22597132.0
Tăng do mua một công ty con(Thuyết minh 5),Nguyên giá > Tăng do mua một công ty con(Thuyết minh 5),Tăng do mua một công ty con(Thuyết minh 5),-,-,-,67,7.432,524,8.023,,,,67.0,7432.0,524.0,8023.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,5.005,-,3.094,24.132,10.428,42.659,,5005.0,,3094.0,24132.0,10428.0,42659.0
Chuyển từ chi phí xây dựng cơ bảnđở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bảnđở dang,Chuyển từ chi phí xây dựng cơ bảnđở dang,-,2.097.913,58.428,16.139,2.783.152,12.114,4.967.746,,2097913.0,58428.0,16139.0,2783152.0,12114.0,4967746.0
Chuyển sang chi phí trả trước ngắn hạn,Nguyên giá > Chuyển sang chi phí trả trước ngắn hạn,Chuyển sang chi phí trả trước ngắn hạn,-,-,-,-,(25),-,(25),,,,,-25.0,,-25.0
Chuyển (sang)/từ chi phí trả trước dài hạn,Nguyên giá > Chuyển (sang)/từ chi phí trả trước dài hạn,Chuyển (sang)/từ chi phí trả trước dài hạn,-,(1.624),-,-,3.133,-,1.509,,-1624.0,,,3133.0,,1509.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(4.923),-,(3.560),(17.416),(19.943),(45.842),,-4923.0,,-3560.0,-17416.0,-19943.0,-45842.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,-,(3.544),56,5,6.398,2.658,5.573,,-3544.0,56.0,5.0,6398.0,2658.0,5573.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,5.026.292,6.002.965,84.245,129.913,16.202.947,130.413,27.576.775,5026292.0,6002965.0,84245.0,129913.0,16202947.0,130413.0,27576775.0
