row_label_raw,row_label_full,col_0,Loại tiền,Lãi suất năm,Nămđáo hạn,31/12/2016Triệu VND,1/1/2016Triệu VND,numeric__Loại tiền,numeric__Lãi suất năm,numeric__Nămđáo hạn,numeric__31/12/2016Triệu VND,numeric__1/1/2016Triệu VND
a. Vay dài hạn,a. Vay dài hạn,a. Vay dài hạn,a. Vay dài hạn,a. Vay dài hạn,a. Vay dài hạn,a. Vay dài hạn,a. Vay dài hạn,,,,,
Khoản vay ngân hàng cóđảm bảo,a. Vay dài hạn > Khoản vay ngân hàng cóđảm bảo,Khoản vay ngân hàng cóđảm bảo,VND,"8,0% - 9,3%",2016-2020,293.512,961.867,,,,293512.0,961867.0
Khoản vay ngân hàngkhông đảm bảo,a. Vay dài hạn > Khoản vay ngân hàngkhông đảm bảo,Khoản vay ngân hàngkhông đảm bảo,USD,0%,2018,798.350,-,,0.0,2018.0,798350.0,
,,,,,,1.091.862,961.867,,,,1091862.0,961867.0
b. Vay chuyển đổi,b. Vay chuyển đổi,b. Vay chuyển đổi,b. Vay chuyển đổi,b. Vay chuyển đổi,b. Vay chuyển đổi,b. Vay chuyển đổi,b. Vay chuyển đổi,,,,,
Credit Suisse Ag,b. Vay chuyển đổi > Credit Suisse Ag,Credit Suisse Ag,USD,"9,6% - 10,8%",2017,567.960,567.960,,,2017.0,567960.0,567960.0
c. Trái phiếu thường(bao gồm chi phí phát hành),b. Vay chuyển đổi > c. Trái phiếu thường(bao gồm chi phí phát hành),c. Trái phiếu thường(bao gồm chi phí phát hành),VND,"7,0% - 10,2%",2020-2024,31.458.105,28.747.968,,,,31458105.0,28747968.0
d. Nợ thuê tài chính,b. Vay chuyển đổi > d. Nợ thuê tài chính,d. Nợ thuê tài chính,VND,"14,0%",2018,25.298,39.452,,0.14,2018.0,25298.0,39452.0
