row_label_raw,row_label_full,col_0,Quyền sử dụng đấtTriệu VND,Phần mềmvi tínhTriệu VND,Thương hiệuTriệu VND,Quan hệkhách hàngTriệu VND,Tài nguyênnước khoángTriệu VND,Quyền khai thác mỏTriệu VND,Công nghệTriệu VND,Quyền khai thác nguồnnước khoángTriệu VND,TổngTriệu VND,numeric__Quyền sử dụng đấtTriệu VND,numeric__Phần mềmvi tínhTriệu VND,numeric__Thương hiệuTriệu VND,numeric__Quan hệkhách hàngTriệu VND,numeric__Tài nguyênnước khoángTriệu VND,numeric__Quyền khai thác mỏTriệu VND,numeric__Công nghệTriệu VND,numeric__Quyền khai thác nguồnnước khoángTriệu VND,numeric__TổngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,307.357,353.793,2.412.583,3.074.214,412.698,588.373,669.433,88.408,7.906.859,307357.0,353793.0,2412583.0,3074214.0,412698.0,588373.0,669433.0,88408.0,7906859.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,3.654,842,-,-,-,-,-,27.597,32.093,3654.0,842.0,,,,,,27597.0,32093.0
Chuyển từ chi phí xây dựng cơ bảnđở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bảnđở dang,Chuyển từ chi phí xây dựng cơ bảnđở dang,-,26.155,876,-,-,-,-,1.795,28.826,,26155.0,876.0,,,,,1795.0,28826.0
Chuyển từ chi phí trả trước dài hạn,Nguyên giá > Chuyển từ chi phí trả trước dài hạn,Chuyển từ chi phí trả trước dài hạn,21.758,-,-,-,-,-,-,-,21.758,21758.0,,,,,,,,21758.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,332.769,380.790,2.413.459,3.074.214,412.698,588.373,669.433,117.800,7.989.536,332769.0,380790.0,2413459.0,3074214.0,412698.0,588373.0,669433.0,117800.0,7989536.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,26.520,58.273,308.526,373.671,7.594,35.919,92.096,2.595,905.194,26520.0,58273.0,308526.0,373671.0,7594.0,35919.0,92096.0,2595.0,905194.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,10.075,44.189,151.363,197.279,21.934,30.550,138.143,5.223,598.756,10075.0,44189.0,151363.0,197279.0,21934.0,30550.0,138143.0,5223.0,598756.0
Chuyển sang chi phí trả trước dài hạn,Giá trị hao mòn lũy kế > Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,(693),-,-,-,-,-,-,-,(693),-693.0,,,,,,,,-693.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,35.902,102.462,459.889,570.950,29.528,66.469,230.239,7.818,1.503.257,35902.0,102462.0,459889.0,570950.0,29528.0,66469.0,230239.0,7818.0,1503257.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,280.837,295.520,2.104.057,2.700.543,405.104,552.454,577.337,85.813,7.001.665,280837.0,295520.0,2104057.0,2700543.0,405104.0,552454.0,577337.0,85813.0,7001665.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,296.867,278.328,1.953.570,2.503.264,383.170,521.904,439.194,109.982,6.486.279,296867.0,278328.0,1953570.0,2503264.0,383170.0,521904.0,439194.0,109982.0,6486279.0
