row_label_raw,row_label_full,col_0,Giá trị ghi sổ trước thời điểm muaTriệu VND,Các điều chỉnh giá trị hợp lýTriệu VND,Giá trị ghi nhận tại thời điểm muaTriệu VND,numeric__Giá trị ghi sổ trước thời điểm muaTriệu VND,numeric__Các điều chỉnh giá trị hợp lýTriệu VND,numeric__Giá trị ghi nhận tại thời điểm muaTriệu VND
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,23.444,-,23.444,23444.0,,23444.0
Phải thu của khách hàng,Phải thu của khách hàng,Phải thu của khách hàng,362,-,362,362.0,,362.0
Trả trước cho người bán,Trả trước cho người bán,Trả trước cho người bán,20.894,-,20.894,20894.0,,20894.0
Phải thu khác,Phải thu khác,Phải thu khác,394,-,394,394.0,,394.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,4.438,-,4.438,4438.0,,4438.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,3.186,-,3.186,3186.0,,3186.0
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,8.023,-,8.023,8023.0,,8023.0
Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,513,-,513,513.0,,513.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,1.203,-,1.203,1203.0,,1203.0
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,29,-,29,29.0,,29.0
Nợ ngắn hạn,Nợ ngắn hạn,Nợ ngắn hạn,(3.281),-,(3.281),-3281.0,,-3281.0
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,(50.000),-,(50.000),-50000.0,,-50000.0
Tài sản thuần có thể xác định được,Tài sản thuần có thể xác định được,Tài sản thuần có thể xác định được,9.205,-,9.205,9205.0,,9205.0
Tổng tài sản thuần mua được,Tổng tài sản thuần mua được,Tổng tài sản thuần mua được,,,7.824,,,7824.0
Lợi thế thương mại phát sinh từ việc mua lại(Thuyết minh 16),Lợi thế thương mại phát sinh từ việc mua lại(Thuyết minh 16),Lợi thế thương mại phát sinh từ việc mua lại(Thuyết minh 16),,,27.176,,,27176.0
Khoản thanh toán cho việc mua lại,Khoản thanh toán cho việc mua lại,Khoản thanh toán cho việc mua lại,,,35.000,,,35000.0
Khoản tiền thu được,Khoản tiền thu được,Khoản tiền thu được,,,(23.444),,,-23444.0
Tiền thuần chi ra,Tiền thuần chi ra,Tiền thuần chi ra,,,11.556,,,11556.0
