row_label_raw,row_label_full,col_0,2016,2016_1,2015,2015_1,numeric__2016,numeric__2016_1,numeric__2015,numeric__2015_1
,,,%,Triệu VND,%,Triệu VND,,,,
Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,"100,0%",4.446.403,"100,0%",3.226.729,1.0,4446403.0,1.0,3226729.0
Thuế tính theo thuế suất của Công ty,Thuế tính theo thuế suất của Công ty,Thuế tính theo thuế suất của Công ty,"20,0%",889.281,"22,0%",709.880,0.2,889281.0,0.22,709880.0
Ảnh hưởng của các mức thuế suất khác nhau áp dụng cho các công ty con,Ảnh hưởng của các mức thuế suất khác nhau áp dụng cho các công ty con,Ảnh hưởng của các mức thuế suất khác nhau áp dụng cho các công ty con,"(12,5%)",(554.964),"(10,5%)",(341.610),,-554964.0,,-341610.0
Ảnh hưởng của các giao dịch hợp nhất,Ảnh hưởng của các giao dịch hợp nhất,Ảnh hưởng của các giao dịch hợp nhất,"0,4%",17.931,"0,1%",4.164,0.004,17931.0,0.001,4164.0
Chi phí không được khấu trừ thuế,Chi phí không được khấu trừ thuế,Chi phí không được khấu trừ thuế,"2,4%",108.066,"4,0%",130.121,0.024,108066.0,0.04,130121.0
Thu nhập không bị tính thuế,Thu nhập không bị tính thuế,Thu nhập không bị tính thuế,"(0,6%)",(28.031),-,-,,-28031.0,,
Ảnh hưởng của lãi từ các công ty liên kết,Ảnh hưởng của lãi từ các công ty liên kết,Ảnh hưởng của lãi từ các công ty liên kết,"(4,4%)",(195.988),"(3,4%)",(109.784),,-195988.0,,-109784.0
Tài sản thuế thu nhập hoãn lại chưa được ghi nhận,Tài sản thuế thu nhập hoãn lại chưa được ghi nhận,Tài sản thuế thu nhập hoãn lại chưa được ghi nhận,"10,3%",455.256,"11,5%",375.282,0.10300000000000001,455256.0,0.115,375282.0
Dự phòng thiếu/(thừa) trong những năm trước,Dự phòng thiếu/(thừa) trong những năm trước,Dự phòng thiếu/(thừa) trong những năm trước,"0,3%",15.484,"(0,4%)",(14.151),0.003,15484.0,,-14151.0
Ảnh hưởng của thay đổi thuế suất,Ảnh hưởng của thay đổi thuế suất,Ảnh hưởng của thay đổi thuế suất,"0,0%",-,"1,0%",32.619,0.0,,0.01,32619.0
Lỗ tính thuế đã sử dụng,Lỗ tính thuế đã sử dụng,Lỗ tính thuế đã sử dụng,"(0,7%)",(33.129),"(2,6%)",(87.042),,-33129.0,,-87042.0
,,,"15,2%",673.906,"21,7%",699.479,0.152,673906.0,0.217,699479.0
