row_label_raw,row_label_full,col_0,Tài sān khai khoáng Triệu VND,Nhà cửa và vật kiến trúc Triệu VND,Nâng cấp tài sản thuê Triệu VND,Thiết bị văn phòng Triệu VND,Máy móc và thiết bị Triệu VND,Phương tiện vận chuyển Triệu VND,Tổng Triệu VND,numeric__Tài sān khai khoáng Triệu VND,numeric__Nhà cửa và vật kiến trúc Triệu VND,numeric__Nâng cấp tài sản thuê Triệu VND,numeric__Thiết bị văn phòng Triệu VND,numeric__Máy móc và thiết bị Triệu VND,numeric__Phương tiện vận chuyển Triệu VND,numeric__Tổng Triệu VND
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,311.133,375.659,23.813,46.448,1.839.939,35.078,2.632.070,311133.0,375659.0,23813.0,46448.0,1839939.0,35078.0,2632070.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,197.289,315.290,11.440,22.679,1.088.527,25.200,1.660.425,197289.0,315290.0,11440.0,22679.0,1088527.0,25200.0,1660425.0
Chuyển sang chi phí trả trước ngắn hạn,Giá trị hao mòn lũy kế > Chuyển sang chi phí trả trước ngắn hạn,Chuyển sang chi phí trả trước ngắn hạn,-,-,-,-,(22),-,(22),,,,,-22.0,,-22.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,(4.465),-,(3.496),(14.770),(15.806),(38.537),,-4465.0,,-3496.0,-14770.0,-15806.0,-38537.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,-,(610),822,1.087,1.498,2.776,5.573,,-610.0,822.0,1087.0,1498.0,2776.0,5573.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,508.422,685.874,36.075,66.718,2.915.172,47.248,4.259.509,508422.0,685874.0,36075.0,66718.0,2915172.0,47248.0,4259509.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,4.715.159,3.534.479,1.948,67.720,11.556.202,89.554,19.965.062,4715159.0,3534479.0,1948.0,67720.0,11556202.0,89554.0,19965062.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,4.517.870,5.317.091,48.170,63.195,13.287.775,83.165,23.317.266,4517870.0,5317091.0,48170.0,63195.0,13287775.0,83165.0,23317266.0
