row_label_raw,row_label_full,STT,Tên công ty,col_2,Hoạt động chính,Tỷ lệ lợi ích kinh tế tại,Tỷ lệ lợi ích kinh tế tại_1,numeric__Tên công ty,numeric__col_2,numeric__Hoạt động chính,numeric__Tỷ lệ lợi ích kinh tế tại,numeric__Tỷ lệ lợi ích kinh tế tại_1
STT,STT,STT,Tên công ty,,Hoạt động chính,31/12/2016,1/1/2016,,,,,
Công ty liên kết sở hữu trực tiếp,Công ty liên kết sở hữu trực tiếp,Công ty liên kết sở hữu trực tiếp,Công ty liên kết sở hữu trực tiếp,Công ty liên kết sở hữu trực tiếp,Công ty liên kết sở hữu trực tiếp,Công ty liên kết sở hữu trực tiếp,Công ty liên kết sở hữu trực tiếp,,,,,
1,1,1,Ngân hàng Thương mại Cổ phần Kỹ thương Việt Nam (“Techcombank”),,Ngân hàng,(*),(*),,,,,
Công ty liên kết sở hữu gián tiếp,Công ty liên kết sở hữu gián tiếp,Công ty liên kết sở hữu gián tiếp,Công ty liên kết sở hữu gián tiếp,Công ty liên kết sở hữu gián tiếp,Công ty liên kết sở hữu gián tiếp,Công ty liên kết sở hữu gián tiếp,Công ty liên kết sở hữu gián tiếp,,,,,
1,Công ty liên kết sở hữu gián tiếp > 1,1,Công ty Cổ phần Thực phẩm Cholimex (“Cholimex”),(iv),Sản xuất và kinh doanh gia vị,"32,8%","32,8%",,,,0.32799999999999996,0.32799999999999996
2,Công ty liên kết sở hữu gián tiếp > 2,2,Công ty Cổ phần Bao bì Thuận Phát (“Thuận Phát”),(v),Sản xuất bao bì,"25,0%","25,0%",,,,0.25,0.25
3,Công ty liên kết sở hữu gián tiếp > 3,3,Công ty Cổ phần Lộc Khang (“Lộc Khang”),(v),Đạm động vật,-,"26,2%",,,,,0.262
4,Công ty liên kết sở hữu gián tiếp > 4,4,Công ty Cổ phần Chế biến Súc sản Long Bình (“Abattoir”),(v),Đạm động vật,"25,0%","25,0%",,,,0.25,0.25
5,Công ty liên kết sở hữu gián tiếp > 5,5,"Công ty Cổ phần Sản xuất, Thương mại và Dịch vụ Đồng Nai (“Donatraco”)",(v),Đạm động vật,"21,3%","21,3%",,,,0.213,0.213
6,Công ty liên kết sở hữu gián tiếp > 6,6,Công ty Cổ phần Việt Nam Kỹ Nghệ Súc Sản (“Vissan”),(v),Sản xuất thực phẩm và bán lẻ,"24,9%",-,,,,0.249,
