row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,2016Triệu VND,2015Triệu VND,numeric__Mã số,numeric__Thuyết minh,numeric__2016Triệu VND,numeric__2015Triệu VND
LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,,
Lợi nhuận kế toán trước thuếĐiều chỉnh cho các khoản,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lợi nhuận kế toán trước thuếĐiều chỉnh cho các khoản,Lợi nhuận kế toán trước thuếĐiều chỉnh cho các khoản,01,,4.446.403,3.226.729,1.0,,4446403.0,3226729.0
Khấu hao và phân bổ,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Khấu hao và phân bổ,Khấu hao và phân bổ,02,,2.379.260,1.814.926,2.0,,2379260.0,1814926.0
Các khoản dự phòng,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Các khoản dự phòng,Các khoản dự phòng,03,,124.986,144.193,3.0,,124986.0,144193.0
Lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,Lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,04,,23.324,17.866,4.0,,23324.0,17866.0
Lãi từ các hoạt động đầu tư,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lãi từ các hoạt động đầu tư,Lãi từ các hoạt động đầu tư,05,,(1.666.453),(1.798.838),5.0,,-1666453.0,-1798838.0
Chi phí lãi vay,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Chi phí lãi vay,Chi phí lãi vay,06,,3.112.480,2.425.305,6.0,,3112480.0,2425305.0
Lợi nhuận từ hoạt động kinh doanh trước những thayđối vốn lưu động,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lợi nhuận từ hoạt động kinh doanh trước những thayđối vốn lưu động,Lợi nhuận từ hoạt động kinh doanh trước những thayđối vốn lưu động,08,,8.420.000,5.830.181,8.0,,8420000.0,5830181.0
Giảm các khoản phải thu và tài sản khác,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Giảm các khoản phải thu và tài sản khác,Giảm các khoản phải thu và tài sản khác,09,,224.311,89.060,9.0,,224311.0,89060.0
(Tăng)/giảm hàng tồn kho,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > (Tăng)/giảm hàng tồn kho,(Tăng)/giảm hàng tồn kho,10,,(1.025.916),283.372,10.0,,-1025916.0,283372.0
Tăng các khoản phải trả và nợ phải trả khác,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Tăng các khoản phải trả và nợ phải trả khác,Tăng các khoản phải trả và nợ phải trả khác,11,,473.569,1.270.210,11.0,,473569.0,1270210.0
Tăng chi phí trả trước,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Tăng chi phí trả trước,Tăng chi phí trả trước,12,,(105.699),(18.263),12.0,,-105699.0,-18263.0
,,,,,7.986.265,7.454.560,,,7986265.0,7454560.0
Tiền lãi vay đã trả,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,,(2.958.543),(2.318.538),14.0,,-2958543.0,-2318538.0
Thuế thu nhập doanh nghiệp đã nộp,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,15,,(895.387),(1.306.820),15.0,,-895387.0,-1306820.0
Tiền chi khác cho hoạt động kinh doanh,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Tiền chi khác cho hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,17,,(13.734),(6.430),17.0,,-13734.0,-6430.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,4.118.601,3.822.772,20.0,,4118601.0,3822772.0
LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,
Tiền chi mua tài sản cố định và tài sản dài hạn khác,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền chi mua tài sản cố định và tài sản dài hạn khác,Tiền chi mua tài sản cố định và tài sản dài hạn khác,21,,(2.920.583),(3.856.825),21.0,,-2920583.0,-3856825.0
Tiền thu từ thanh lý tài sản cố định và tài sản dài hạn khác,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu từ thanh lý tài sản cố định và tài sản dài hạn khác,Tiền thu từ thanh lý tài sản cố định và tài sản dài hạn khác,22,,13.292,6.087,22.0,,13292.0,6087.0
Tiền chi cho vay và tiền gửi ngân hàng có kỳ hạn,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền chi cho vay và tiền gửi ngân hàng có kỳ hạn,Tiền chi cho vay và tiền gửi ngân hàng có kỳ hạn,23,,(94.467.254),(62.229.339),23.0,,-94467254.0,-62229339.0
Tiền thu từ các khoản cho vay và tiền gửi ngân hàng có kỳ hạn,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu từ các khoản cho vay và tiền gửi ngân hàng có kỳ hạn,Tiền thu từ các khoản cho vay và tiền gửi ngân hàng có kỳ hạn,24,,101.946.046,57.373.597,24.0,,101946046.0,57373597.0
Tiền chi đầu tư,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền chi đầu tư,Tiền chi đầu tư,25,,(25.071.491),(3.708.222),25.0,,-25071491.0,-3708222.0
Tiền thu từ thanh lý các khoản đầu tư,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu từ thanh lý các khoản đầu tư,Tiền thu từ thanh lý các khoản đầu tư,26,,218.701,3.536.943,26.0,,218701.0,3536943.0
