row_label_raw,row_label_full,col_0,TechcombankTriệu VND,CholimexTriệu VND,Thuận PhátTriệu VND,Lộc KhangTriệu VND,AbattoirTriệu VND,DonatracoTriệu VND,VissanTriệu VND,TổngTriệu VND,numeric__TechcombankTriệu VND,numeric__CholimexTriệu VND,numeric__Thuận PhátTriệu VND,numeric__Lộc KhangTriệu VND,numeric__AbattoirTriệu VND,numeric__DonatracoTriệu VND,numeric__VissanTriệu VND,numeric__TổngTriệu VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,8.838.067,254.802,8.954,5.016,8.508,8.802,-,9.124.149,8838067.0,254802.0,8954.0,5016.0,8508.0,8802.0,,9124149.0
Tăng đầu tư trong năm,Tăng đầu tư trong năm,Tăng đầu tư trong năm,-,-,-,-,-,-,2.135.490,2.135.490,,,,,,,2135490.0,2135490.0
Phần lãi/(lỗ) phát sinh sau ngày đầu tư được chia từ các công ty liên kết,Phần lãi/(lỗ) phát sinh sau ngày đầu tư được chia từ các công ty liên kết,Phần lãi/(lỗ) phát sinh sau ngày đầu tư được chia từ các công ty liên kết,969.776,6.648,1.571,(534),1.537,940,-,979.938,969776.0,6648.0,1571.0,-534.0,1537.0,940.0,,979938.0
Cổ tức,Cổ tức,Cổ tức,-,(12.058),(1.226),(956),(2.500),(255),-,(16.995),,-12058.0,-1226.0,-956.0,-2500.0,-255.0,,-16995.0
Thanh lý,Thanh lý,Thanh lý,-,-,-,(3.526),-,-,-,(3.526),,,,-3526.0,,,,-3526.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,9.807.843,249.392,9.299,-,7.545,9.487,2.135.490,12.219.056,9807843.0,249392.0,9299.0,,7545.0,9487.0,2135490.0,12219056.0
