row_label_raw,row_label_full,25 . VÔN CHỦ SỞ HỮUa) Băng đối chiếu biến động của vốn chủ sở hữu,25 . VÔN CHỦ SỞ HỮUa) Băng đối chiếu biến động của vốn chủ sở hữu_1,25 . VÔN CHỦ SỞ HỮUa) Băng đối chiếu biến động của vốn chủ sở hữu_2,25 . VÔN CHỦ SỞ HỮUa) Băng đối chiếu biến động của vốn chủ sở hữu_3,25 . VÔN CHỦ SỞ HỮUa) Băng đối chiếu biến động của vốn chủ sở hữu_4,25 . VÔN CHỦ SỞ HỮUa) Băng đối chiếu biến động của vốn chủ sở hữu_5,25 . VÔN CHỦ SỞ HỮUa) Băng đối chiếu biến động của vốn chủ sở hữu_6,25 . VÔN CHỦ SỞ HỮUa) Băng đối chiếu biến động của vốn chủ sở hữu_7,numeric__25 . VÔN CHỦ SỞ HỮUa) Băng đối chiếu biến động của vốn chủ sở hữu_1,numeric__25 . VÔN CHỦ SỞ HỮUa) Băng đối chiếu biến động của vốn chủ sở hữu_2,numeric__25 . VÔN CHỦ SỞ HỮUa) Băng đối chiếu biến động của vốn chủ sở hữu_3,numeric__25 . VÔN CHỦ SỞ HỮUa) Băng đối chiếu biến động của vốn chủ sở hữu_4,numeric__25 . VÔN CHỦ SỞ HỮUa) Băng đối chiếu biến động của vốn chủ sở hữu_5,numeric__25 . VÔN CHỦ SỞ HỮUa) Băng đối chiếu biến động của vốn chủ sở hữu_6,numeric__25 . VÔN CHỦ SỞ HỮUa) Băng đối chiếu biến động của vốn chủ sở hữu_7
,,,Vốn đầu tư của Chủ sở hữu,Chênh lệch đánh giá lại tài sản,Chênh lệch tỷ giá hối đoái,Quỹ đầu tư phát triển,Lợi nhuận chưa phân phối,Lợi ích cổ đông không kiểm soát,Cộng,,,,,,,
,,,VND,VND,VND,VND,VND,VND,VND,,,,,,,
Số dư đầu kỳ này,Số dư đầu kỳ này,Số dư đầu kỳ này,3.000.000.000.000,(96.606.721.889),35.498.681.536,12.232.060.595,71.242.619.014,18.175.966.349,3.040.542.605.605,3000000000000.0,-96606721889.0,35498681536.0,12232060595.0,71242619014.0,18175966349.0,3040542605605.0
Lợi nhuận trong kỳ,Lợi nhuận trong kỳ,Lợi nhuận trong kỳ,-,-,-,-,24.246.287.317,371.385.794,24.617.673.111,,,,,24246287317.0,371385794.0,24617673111.0
"Trích Quỹ khen thưởng, phúc lợi","Trích Quỹ khen thưởng, phúc lợi","Trích Quỹ khen thưởng, phúc lợi",-,-,-,-,(2.218.808.333),-,(2.218.808.333),,,,,-2218808333.0,,-2218808333.0
Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính,Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính,Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính,-,-,(806.451.975),-,-,-,(806.451.975),,,-806451975.0,,,,-806451975.0
Kết chuyển chênh lệch tỷ giá hối đoái trong kỳ,Kết chuyển chênh lệch tỷ giá hối đoái trong kỳ,Kết chuyển chênh lệch tỷ giá hối đoái trong kỳ,-,-,(7.049.643.974),-,-,-,(7.049.643.974),,,-7049643974.0,,,,-7049643974.0
Hợp nhất kinh doanh,Hợp nhất kinh doanh,Hợp nhất kinh doanh,-,-,-,-,(25.993.738.325),-,(25.993.738.325),,,,,-25993738325.0,,-25993738325.0
Số dư cuối kỳ này,Số dư cuối kỳ này,Số dư cuối kỳ này,3.000.000.000.000,(96.606.721.889),27.642.585.587,12.232.060.595,67.276.359.673,18.547.352.143,3.029.091.636.109,3000000000000.0,-96606721889.0,27642585587.0,12232060595.0,67276359673.0,18547352143.0,3029091636109.0
