row_label_raw,row_label_full,col_0,Kinh doanh thương mại,Kinh doanh hạ tầng khu công nghiệp,Các hoạt động khác,Tổng cộng các bộ phận,Loại trừ,Tổng cộng toàn doanh nghiệp,numeric__Kinh doanh thương mại,numeric__Kinh doanh hạ tầng khu công nghiệp,numeric__Các hoạt động khác,numeric__Tổng cộng các bộ phận,numeric__Loại trừ,numeric__Tổng cộng toàn doanh nghiệp
,,,VND,VND,VND,VND,VND,VND,,,,,,
Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,135.135.321.419,16.490.863.251,29.400.917.893,181.027.102.563,-,181.027.102.563,135135321419.0,16490863251.0,29400917893.0,181027102563.0,,181027102563.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,7.763.255.169,4.857.098.055,2.337.841.741,14.958.194.965,-,14.958.194.965,7763255169.0,4857098055.0,2337841741.0,14958194965.0,,14958194965.0
Tổng chỉ phí mua TSCĐ,Tổng chỉ phí mua TSCĐ,Tổng chỉ phí mua TSCĐ,-,-,3.211.883.775,3.211.883.775,-,3.211.883.775,,,3211883775.0,3211883775.0,,3211883775.0
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,3.568.447.990.993,1.108.412.545.861,998.462.802.649,5.675.323.339.503,-,5.675.323.339.503,3568447990993.0,1108412545861.0,998462802649.0,5675323339503.0,,5675323339503.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,3.568.447.990.993,1.108.412.545.861,998.462.802.649,5.675.323.339.503,-,5.675.323.339.503,3568447990993.0,1108412545861.0,998462802649.0,5675323339503.0,,5675323339503.0
Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,2.076.280.437.573,486.189.253.862,47.850.823.173,2.610.320.514.608,-,2.610.320.514.608,2076280437573.0,486189253862.0,47850823173.0,2610320514608.0,,2610320514608.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,-,-,-,35.911.188.786,-,35.911.188.786,,,,35911188786.0,,35911188786.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,2.076.280.437.573,486.189.253.862,47.850.823.173,2.646.231.703.394,-,2.646.231.703.394,2076280437573.0,486189253862.0,47850823173.0,2646231703394.0,,2646231703394.0
