row_label_raw,row_label_full,col_0,Từ 1 nămtrở xuống,Trên 1 nămđến 5 năm,Trên 5 năm,Cộng,numeric__Từ 1 nămtrở xuống,numeric__Trên 1 nămđến 5 năm,numeric__Trên 5 năm,numeric__Cộng
,,,VND,VND,VND,VND,,,,
Tại ngày 31/12/2018,Tại ngày 31/12/2018,Tại ngày 31/12/2018,Tại ngày 31/12/2018,Tại ngày 31/12/2018,Tại ngày 31/12/2018,Tại ngày 31/12/2018,,,,
Vay và nợ,Tại ngày 31/12/2018 > Vay và nợ,Vay và nợ,848.800.000.000,-,-,848.800.000.000,848800000000.0,,,848800000000.0
"Phải trả người bán, phải trả khác","Tại ngày 31/12/2018 > Phải trả người bán, phải trả khác","Phải trả người bán, phải trả khác",1.175.213.631.980,64.415.569.829,-,1.239.629.201.809,1175213631980.0,64415569829.0,,1239629201809.0
Chi phí phải trả,Tại ngày 31/12/2018 > Chi phí phải trả,Chi phí phải trả,213.376.422.326,-,-,213.376.422.326,213376422326.0,,,213376422326.0
,,,2.237.390.054.306,64.415.569.829,-,2.301.805.624.135,2237390054306.0,64415569829.0,,2301805624135.0
Tại ngày 01/11/2018,Tại ngày 01/11/2018,Tại ngày 01/11/2018,Tại ngày 01/11/2018,Tại ngày 01/11/2018,Tại ngày 01/11/2018,Tại ngày 01/11/2018,,,,
Vay và nợ,Tại ngày 01/11/2018 > Vay và nợ,Vay và nợ,636.996.000.000,-,-,636.996.000.000,636996000000.0,,,636996000000.0
"Phải trả người bán, phải trả khác","Tại ngày 01/11/2018 > Phải trả người bán, phải trả khác","Phải trả người bán, phải trả khác",1.168.515.141.161,63.787.202.864,-,1.232.302.344.025,1168515141161.0,63787202864.0,,1232302344025.0
Chi phí phải trả,Tại ngày 01/11/2018 > Chi phí phải trả,Chi phí phải trả,199.280.358.642,-,-,199.280.358.642,199280358642.0,,,199280358642.0
,,,2.004.791.499.803,63.787.202.864,-,2.068.578.702.667,2004791499803.0,63787202864.0,,2068578702667.0
