row_label_raw,row_label_full,col_0,31/12/2018 > Địa chỉ,31/12/2018 > Tỷ lệ lợi ích,31/12/2018 > Tỷ lệ quyền biểu quyết,31/12/2018 > Giá trị ghi sở theo phương pháp Vốn chủ sở hữu,01/11/2018 > Địa chỉ,01/11/2018 > Tỷ lệ lợi ích,01/11/2018 > Tỷ lệ quyền biểu quyết,01/11/2018 > Giá trị ghi sở theo phương pháp Vốn chủ sở hữu,numeric__31/12/2018 > Địa chỉ,numeric__31/12/2018 > Tỷ lệ lợi ích,numeric__31/12/2018 > Tỷ lệ quyền biểu quyết,numeric__31/12/2018 > Giá trị ghi sở theo phương pháp Vốn chủ sở hữu,numeric__01/11/2018 > Địa chỉ,numeric__01/11/2018 > Tỷ lệ lợi ích,numeric__01/11/2018 > Tỷ lệ quyền biểu quyết,numeric__01/11/2018 > Giá trị ghi sở theo phương pháp Vốn chủ sở hữu
,,,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,
- Công ty CP Cao su Dầu Tiếng Việt Lào,- Công ty CP Cao su Dầu Tiếng Việt Lào,- Công ty CP Cao su Dầu Tiếng Việt Lào,Tinh Bình Dương,"43,40%","40,00%",308.329.505.694,Tinh Bình Dương,"43,40%","40,00%",326.849.085.505,,0.434,0.4,308329505694.0,,0.434,0.4,326849085505.0
- Công ty CP Phát triển Phú Mỹ,- Công ty CP Phát triển Phú Mỹ,- Công ty CP Phát triển Phú Mỹ,Tinh Bình Dương,"35,00%","35,00%",131.251.639.729,Tinh Bình Dương,"35,00%","35,00%",143.427.060.646,,0.35,0.35,131251639729.0,,0.35,0.35,143427060646.0
- Công ty TNHH FrieslandCampina Việt Nam,- Công ty TNHH FrieslandCampina Việt Nam,- Công ty TNHH FrieslandCampina Việt Nam,Tinh Bình Dương,"30,00%","30,00%",236.187.917.147,Tinh Bình Dương,"30,00%","30,00%",215.205.058.769,,0.3,0.3,236187917147.0,,0.3,0.3,215205058769.0
- Công ty CP Bệnh viện Đa khoa Quốc tế Hạnh Phúc,- Công ty CP Bệnh viện Đa khoa Quốc tế Hạnh Phúc,- Công ty CP Bệnh viện Đa khoa Quốc tế Hạnh Phúc,Tinh Bình Dương,"27,52%","24,00%",75.092.463.155,Tinh Bình Dương,"27,52%","24,00%",69.792.997.513,,0.2752,0.24,75092463155.0,,0.2752,0.24,69792997513.0
- Công ty CP Hưng Vượng,- Công ty CP Hưng Vượng,- Công ty CP Hưng Vượng,Tinh Bình Dương,"30,90%","30,90%",107.996.263.719,Tinh Bình Dương,"30,90%","30,90%",70.869.470.082,,0.309,0.309,107996263719.0,,0.309,0.309,70869470082.0
- Công ty TNHH YCH-PROTRADE,- Công ty TNHH YCH-PROTRADE,- Công ty TNHH YCH-PROTRADE,Tinh Bình Dương,"30,00%","30,00%",44.382.552.707,Tinh Bình Dương,"30,00%","30,00%",44.532.342.573,,0.3,0.3,44382552707.0,,0.3,0.3,44532342573.0
- Công ty CP Đầu tư và Phát triển Tân Thành (*),- Công ty CP Đầu tư và Phát triển Tân Thành (*),- Công ty CP Đầu tư và Phát triển Tân Thành (*),Tinh Bình Dương,"44,51%","34,00%",387.151.259.460,Tinh Bình Dương,"41,74%","34,00%",197.042.151.343,,0.4451,0.34,387151259460.0,,0.4174,0.34,197042151343.0
- Công ty CP May mặc Bình Dương,- Công ty CP May mặc Bình Dương,- Công ty CP May mặc Bình Dương,Tinh Bình Dương,"48,89%","48,89%",126.796.350.055,Tinh Bình Dương,"48,89%","48,89%",121.761.557.052,,0.4889,0.4889,126796350055.0,,0.4889,0.4889,121761557052.0
,,,,,,1.417.187.951.666,,,,1.189.479.723.483,,,,1417187951666.0,,,,1189479723483.0
