row_label_raw,row_label_full,col_0,Từ ngày 01/11/2018đến ngày 31/12/2018,Từ ngày 01/01/2018đến ngày 31/10/2018,numeric__Từ ngày 01/11/2018đến ngày 31/12/2018,numeric__Từ ngày 01/01/2018đến ngày 31/10/2018
,,,VND,VND,,
"Chi phí nguyên liệu, vật liệu","Chi phí nguyên liệu, vật liệu","Chi phí nguyên liệu, vật liệu",405.755.418,3.078.322.632,405755418.0,3078322632.0
Chi phí nhân công,Chi phí nhân công,Chi phí nhân công,9.676.240.866,43.797.610.045,9676240866.0,43797610045.0
Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,966.655.170,4.217.631.963,966655170.0,4217631963.0
"Thuế, phí, lệ phí","Thuế, phí, lệ phí","Thuế, phí, lệ phí",50.739.600,14.866.171.269,50739600.0,14866171269.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,8.090.054.801,27.403.223.538,8090054801.0,27403223538.0
Chi phí khác bằng tiền,Chi phí khác bằng tiền,Chi phí khác bằng tiền,3.646.730.085,18.685.094.350,3646730085.0,18685094350.0
Dự phòng phải thu khó đòi,Dự phòng phải thu khó đòi,Dự phòng phải thu khó đòi,14.177.880.491,-,14177880491.0,
Lợi thế thương mại phân bổ,Lợi thế thương mại phân bổ,Lợi thế thương mại phân bổ,2.767.879.865,13.839.399.323,2767879865.0,13839399323.0
,,,39.781.936.296,125.887.453.120,39781936296.0,125887453120.0
