row_label_raw,row_label_full,Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác_1,Đầu tư vào đơn vị khác > 31/12/2018 > Giá gốc,Đầu tư vào đơn vị khác > 31/12/2018 > Giá trị ghi số,Đầu tư vào đơn vị khác > 01/11/2018 > Giá gốc,Đầu tư vào đơn vị khác > 01/11/2018 > Giá trị ghi số,numeric__Đầu tư vào đơn vị khác_1,numeric__Đầu tư vào đơn vị khác > 31/12/2018 > Giá gốc,numeric__Đầu tư vào đơn vị khác > 31/12/2018 > Giá trị ghi số,numeric__Đầu tư vào đơn vị khác > 01/11/2018 > Giá gốc,numeric__Đầu tư vào đơn vị khác > 01/11/2018 > Giá trị ghi số
,,,,VND,VND,VND,VND,,,,,
- Công ty CP Cơ khí vận tải Dầu Tiếng,- Công ty CP Cơ khí vận tải Dầu Tiếng,- Công ty CP Cơ khí vận tải Dầu Tiếng,- Công ty CP Cơ khí vận tải Dầu Tiếng,505.000.000,-,505.000.000,-,,505000000.0,,505000000.0,
- Công ty CP Cơ khí vận tải Dầu Tiếng,- Công ty CP Cơ khí vận tải Dầu Tiếng,- Công ty CP Cơ khí vận tải Dầu Tiếng,- Công ty CP Cơ khí vận tải Dầu Tiếng,505.000.000,-,505.000.000,-,,505000000.0,,505000000.0,
"Tổng Công ty chưa xác định giá trị hợp lý của các khoản đầu tư tài chính này do Chuẩn mực Kế toán Việt Nam, Chế độ Kế toán doanh nghiệp Việt Nam chưa có hướng dẫn cụ thể về việc xác định giá trị hợp lý.","Tổng Công ty chưa xác định giá trị hợp lý của các khoản đầu tư tài chính này do Chuẩn mực Kế toán Việt Nam, Chế độ Kế toán doanh nghiệp Việt Nam chưa có hướng dẫn cụ thể về việc xác định giá trị hợp lý.","Tổng Công ty chưa xác định giá trị hợp lý của các khoản đầu tư tài chính này do Chuẩn mực Kế toán Việt Nam, Chế độ Kế toán doanh nghiệp Việt Nam chưa có hướng dẫn cụ thể về việc xác định giá trị hợp lý.","Tổng Công ty chưa xác định giá trị hợp lý của các khoản đầu tư tài chính này do Chuẩn mực Kế toán Việt Nam, Chế độ Kế toán doanh nghiệp Việt Nam chưa có hướng dẫn cụ thể về việc xác định giá trị hợp lý.","Tổng Công ty chưa xác định giá trị hợp lý của các khoản đầu tư tài chính này do Chuẩn mực Kế toán Việt Nam, Chế độ Kế toán doanh nghiệp Việt Nam chưa có hướng dẫn cụ thể về việc xác định giá trị hợp lý.","Tổng Công ty chưa xác định giá trị hợp lý của các khoản đầu tư tài chính này do Chuẩn mực Kế toán Việt Nam, Chế độ Kế toán doanh nghiệp Việt Nam chưa có hướng dẫn cụ thể về việc xác định giá trị hợp lý.","Tổng Công ty chưa xác định giá trị hợp lý của các khoản đầu tư tài chính này do Chuẩn mực Kế toán Việt Nam, Chế độ Kế toán doanh nghiệp Việt Nam chưa có hướng dẫn cụ thể về việc xác định giá trị hợp lý.","Tổng Công ty chưa xác định giá trị hợp lý của các khoản đầu tư tài chính này do Chuẩn mực Kế toán Việt Nam, Chế độ Kế toán doanh nghiệp Việt Nam chưa có hướng dẫn cụ thể về việc xác định giá trị hợp lý.",,,,,
Đầu tư vào Công ty liên kết,Đầu tư vào Công ty liên kết,Đầu tư vào Công ty liên kết,Đầu tư vào Công ty liên kết,Đầu tư vào Công ty liên kết,Đầu tư vào Công ty liên kết,Đầu tư vào Công ty liên kết,Đầu tư vào Công ty liên kết,,,,,
Thông tin chỉ tiết về các công ty liên kết của Tổng Công ty vào ngày 31/12/2018 như sau:,Thông tin chỉ tiết về các công ty liên kết của Tổng Công ty vào ngày 31/12/2018 như sau:,Thông tin chỉ tiết về các công ty liên kết của Tổng Công ty vào ngày 31/12/2018 như sau:,Thông tin chỉ tiết về các công ty liên kết của Tổng Công ty vào ngày 31/12/2018 như sau:,Thông tin chỉ tiết về các công ty liên kết của Tổng Công ty vào ngày 31/12/2018 như sau:,Thông tin chỉ tiết về các công ty liên kết của Tổng Công ty vào ngày 31/12/2018 như sau:,Thông tin chỉ tiết về các công ty liên kết của Tổng Công ty vào ngày 31/12/2018 như sau:,Thông tin chỉ tiết về các công ty liên kết của Tổng Công ty vào ngày 31/12/2018 như sau:,,,,,
Tên Công ty,Tên Công ty,Tên Công ty,Nơi thành lập và hoạt động,Tỷ lệ lợi ích,Tỷ lệ biểu quyết,Hoạt động kinh doanh chính,Hoạt động kinh doanh chính,,,,,
- Công ty CP Cao su Dầu Tiếng Việt Lào,Tên Công ty > - Công ty CP Cao su Dầu Tiếng Việt Lào,- Công ty CP Cao su Dầu Tiếng Việt Lào,Tỉnh Bình Dương,"43,40%","40,00%","Trồng, khai thác, chế biến mù cao su","Trồng, khai thác, chế biến mù cao su",,0.434,0.4,,
- Công ty CP Phát triển Phú Mỹ,Tên Công ty > - Công ty CP Phát triển Phú Mỹ,- Công ty CP Phát triển Phú Mỹ,Tỉnh Bình Dương,"35,00%","35,00%","Kinh doanh bất động sản, dịch vụ sân golf","Kinh doanh bất động sản, dịch vụ sân golf",,0.35,0.35,,
- Công ty TNHH FrieslandCampina Việt Nam,Tên Công ty > - Công ty TNHH FrieslandCampina Việt Nam,- Công ty TNHH FrieslandCampina Việt Nam,Tỉnh Bình Dương,"30,00%","30,00%",Kinh doanh sữa và nước giải khát,Kinh doanh sữa và nước giải khát,,0.3,0.3,,
