row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Từ ngày 01/11/2018 đến ngày 31/12/2018 VND,Từ ngày 01/01/2018 đến ngày 31/10/2018 VND,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Từ ngày 01/11/2018 đến ngày 31/12/2018 VND,numeric__Từ ngày 01/01/2018 đến ngày 31/10/2018 VND
01,01,01,Doanh thu bán hàng và cung cấp dịch vụ,28,181.400.595.431,2.471.513.640.828,,28.0,181400595431.0,2471513640828.0
02,02,02,Các khoản giảm trừ doanh thu,29,373.492.868,1.592.942.084,,29.0,373492868.0,1592942084.0
10,10,10,Doanh thu thuần bán hàng và cung cấp dịch vụ,,181.027.102.563,2.469.920.698.744,,,181027102563.0,2469920698744.0
11,11,11,Giá vốn hàng bán,30,166.068.907.598,1.379.914.580.743,,30.0,166068907598.0,1379914580743.0
20,20,20,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,,14.958.194.965,1.090.006.118.001,,,14958194965.0,1090006118001.0
21,21,21,Doanh thu hoạt động tài chính,31,11.616.672.499,22.965.524.104,,31.0,11616672499.0,22965524104.0
22,22,22,Chi phí tài chính,32,9.289.173.452,46.475.322.325,,32.0,9289173452.0,46475322325.0
23,23,23,Trong đó: Chi phí lãi vay,,8.341.388.461,46.402.141.393,,,8341388461.0,46402141393.0
24,24,24,"Phần lãi hoặc lỗ trong công ty liên doanh, liên kết",,54.395.070.508,272.031.390.977,,,54395070508.0,272031390977.0
25,25,25,Chi phí bán hàng,,6.141.367.155,116.281.182.546,,,6141367155.0,116281182546.0
26,26,26,Chi phí quản lý doanh nghiệp,33,39.781.936.296,125.887.453.120,,33.0,39781936296.0,125887453120.0
30,30,30,Lợi nhuận thuần từ hoạt động kinh doanh,,25.757.461.069,1.096.359.075.091,,,25757461069.0,1096359075091.0
31,31,31,Thu nhập khác,34,766.254.993,14.160.177.556,,34.0,766254993.0,14160177556.0
32,32,32,Chi phí khác,35,525.592.122,3.622.364.560,,35.0,525592122.0,3622364560.0
40,40,40,Lợi nhuận khác,,240.662.871,10.537.812.996,,,240662871.0,10537812996.0
50,50,50,Tổng lợi nhuận kế toán trước thuế,,25.998.123.940,1.106.896.888.087,,,25998123940.0,1106896888087.0
51,51,51,Chi phí thuế thu nhập doanh nghiệp hiện hành,36,731.862.538,133.248.004.380,,36.0,731862538.0,133248004380.0
52,52,52,Chi phí thuế thu nhập doanh nghiệp hoãn lại,37,648.588.291,(1.770.953.802),,37.0,648588291.0,-1770953802.0
60,60,60,Lợi nhuận sau thuế thu nhập doanh nghiệp,,24.617.673.111,975.419.837.509,,,24617673111.0,975419837509.0
61,61,61,Lợi nhuận sau thuế của Công ty mẹ,,24.246.287.317,971.675.384.485,,,24246287317.0,971675384485.0
62,62,62,Lợi nhuận sau thuế của cổ đông không kiểm soát,,371.385.794,3.744.453.024,,,371385794.0,3744453024.0
70,70,70,Lãi cơ bản trên cổ phiếu,38,81,,,38.0,81.0,
