row_label_raw,row_label_full,col_0,Mối quan hệ,Từ ngày 01/11/2018đến ngày 31/12/2018,Từ ngày 01/01/2018đến ngày 31/10/2018,numeric__Mối quan hệ,numeric__Từ ngày 01/11/2018đến ngày 31/12/2018,numeric__Từ ngày 01/01/2018đến ngày 31/10/2018
,,,Mối quan hệ,VND,VND,,,
Góp vốn vào công ty,Góp vốn vào công ty,Góp vốn vào công ty,,203.015.040.000,80.000.000.000,,203015040000.0,80000000000.0
- Công ty CP Cao su Dầu Tiếng Việt Lào,- Công ty CP Cao su Dầu Tiếng Việt Lào,- Công ty CP Cao su Dầu Tiếng Việt Lào,Công ty liên kết,-,80.000.000.000,,,80000000000.0
- Công ty CP Đầu tư và Phát triển Tân Thành,- Công ty CP Đầu tư và Phát triển Tân Thành,- Công ty CP Đầu tư và Phát triển Tân Thành,Công ty liên kết,203.015.040.000,-,,203015040000.0,
Nhận cổ tức,Nhận cổ tức,Nhận cổ tức,,3.708.144.000,361.943.510.000,,3708144000.0,361943510000.0
- Công ty TNHH FrieslandCampina VN,- Công ty TNHH FrieslandCampina VN,- Công ty TNHH FrieslandCampina VN,Công ty liên kết,-,332.400.000.000,,,332400000000.0
- Công ty CP Hưng Vượng,- Công ty CP Hưng Vượng,- Công ty CP Hưng Vượng,Công ty liên kết,3.708.144.000,6.025.734.000,,3708144000.0,6025734000.0
- Công ty CP Cơ khí vận tải Dầu Tiếng,- Công ty CP Cơ khí vận tải Dầu Tiếng,- Công ty CP Cơ khí vận tải Dầu Tiếng,Đơn vị nhận đầu tư,-,50.500.000,,,50500000.0
- Công ty CP May mặc Bình Dương,- Công ty CP May mặc Bình Dương,- Công ty CP May mặc Bình Dương,Công ty liên kết,-,23.467.276.000,,,23467276000.0
Doanh thu bán hàng,Doanh thu bán hàng,Doanh thu bán hàng,,-,1.250.000.000,,,1250000000.0
- Công ty CP Bệnh viện Đa khoa Quốc tế Hạnh Phúc,- Công ty CP Bệnh viện Đa khoa Quốc tế Hạnh Phúc,- Công ty CP Bệnh viện Đa khoa Quốc tế Hạnh Phúc,Công ty liên kết,-,1.250.000.000,,,1250000000.0
Chi phí di vay,Chi phí di vay,Chi phí di vay,,7.550.405.251,12.065.682.292,,7550405251.0,12065682292.0
- Công ty CP May mặc Bình Dương,- Công ty CP May mặc Bình Dương,- Công ty CP May mặc Bình Dương,Công ty liên kết,-,971.527.041,,,971527041.0
- Tinh ủy Bình Dương,- Tinh ủy Bình Dương,- Tinh ủy Bình Dương,Cổ đông Nhà Nước,889.583.333,4.433.333.333,,889583333.0,4433333333.0
Lãi cho vay,Lãi cho vay,Lãi cho vay,,2.404.816.050,7.440.315.319,,2404816050.0,7440315319.0
- Công ty CP Hưng Vượng,- Công ty CP Hưng Vượng,- Công ty CP Hưng Vượng,Công ty liên kết,920.547.945,973.150.685,,920547945.0,973150685.0
- Công ty CP Đầu tư và Phát triển Tân Thành,- Công ty CP Đầu tư và Phát triển Tân Thành,- Công ty CP Đầu tư và Phát triển Tân Thành,Công ty liên kết,1.379.983.173,6.177.718.059,,1379983173.0,6177718059.0
- Công ty CP Cao su Dầu Tiếng Việt Lào,- Công ty CP Cao su Dầu Tiếng Việt Lào,- Công ty CP Cao su Dầu Tiếng Việt Lào,Công ty liên kết,104.284.932,289.446.575,,104284932.0,289446575.0
