row_label_raw,row_label_full,Khoản mục,"Nhà cửa,vật kiến trúcVND","Máy móc, thiết bịVND","Phương tiện vântài, truyền dẫnVND",Thiết bị công cụquản lýVND,TSCĐ hữu hìnhkhácVND,CộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc, thiết bịVND","numeric__Phương tiện vântài, truyền dẫnVND",numeric__Thiết bị công cụquản lýVND,numeric__TSCĐ hữu hìnhkhácVND,numeric__CộngVND
Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,,,,,,,
Tại ngày 01/01/2018,Nguyên giá: > Tại ngày 01/01/2018,Tại ngày 01/01/2018,2.531.773.389.870,1.150.685.526.005,2.571.216.658.148,76.409.882.237,123.998.277.430,6.454.083.733.690,2531773389870.0,1150685526005.0,2571216658148.0,76409882237.0,123998277430.0,6454083733690.0
Đầu tư XDCB hoàn thành,Nguyên giá: > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,327.723.384.053,196.881.708.106,436.162.834.337,1.062.480.800,15.103.752.543,976.934.159.839,327723384053.0,196881708106.0,436162834337.0,1062480800.0,15103752543.0,976934159839.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,328.422.061,22.358.959.174,23.434.221.375,2.003.436.546,442.393.909,48.567.433.065,328422061.0,22358959174.0,23434221375.0,2003436546.0,442393909.0,48567433065.0
"Thanh lý, nhượng bán","Nguyên giá: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(3.261.175.811),(3.036.269.736),(19.792.786.738),(756.845.486),(2.276.810.383),(29.123.888.154),-3261175811.0,-3036269736.0,-19792786738.0,-756845486.0,-2276810383.0,-29123888154.0
Giảm do thoái vốn công ty con,Nguyên giá: > Giảm do thoái vốn công ty con,Giảm do thoái vốn công ty con,(19.973.031.030),-,(154.884.600),(198.932.100),(207.545.800),(20.534.393.530),-19973031030.0,,-154884600.0,-198932100.0,-207545800.0,-20534393530.0
Tại ngày 31/12/2018,Nguyên giá: > Tại ngày 31/12/2018,Tại ngày 31/12/2018,2.836.590.989.143,1.366.889.923.549,3.010.866.042.522,78.520.021.997,137.060.067.699,7.429.927.044.910,2836590989143.0,1366889923549.0,3010866042522.0,78520021997.0,137060067699.0,7429927044910.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,,,,,,,,
Tại ngày 01/01/2018,Giá trị hao mòn lũy kế: > Tại ngày 01/01/2018,Tại ngày 01/01/2018,1.103.662.167.701,509.559.021.178,1.006.296.518.874,48.976.361.594,13.964.834.199,2.682.458.903.546,1103662167701.0,509559021178.0,1006296518874.0,48976361594.0,13964834199.0,2682458903546.0
Khấu hao trong năm,Giá trị hao mòn lũy kế: > Khấu hao trong năm,Khấu hao trong năm,133.764.753.322,78.507.656.247,118.687.363.796,7.576.699.236,5.484.703.099,344.021.175.700,133764753322.0,78507656247.0,118687363796.0,7576699236.0,5484703099.0,344021175700.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(3.149.611.191),(2.075.559.210),(19.746.772.155),(737.705.413),-,(25.709.647.969),-3149611191.0,-2075559210.0,-19746772155.0,-737705413.0,,-25709647969.0
Giảm do thoái vốn công ty con,Giá trị hao mòn lũy kế: > Giảm do thoái vốn công ty con,Giảm do thoái vốn công ty con,(7.061.474.256),-,(154.884.600),(198.932.200),(47.933.229),(7.463.224.285),-7061474256.0,,-154884600.0,-198932200.0,-47933229.0,-7463224285.0
Tại ngày 31/12/2018,Giá trị hao mòn lũy kế: > Tại ngày 31/12/2018,Tại ngày 31/12/2018,1.227.215.835.576,585.991.118.215,1.105.082.225.915,55.616.423.217,19.401.604.069,2.993.307.206.992,1227215835576.0,585991118215.0,1105082225915.0,55616423217.0,19401604069.0,2993307206992.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,,,,,,,
Tại ngày 01/01/2018,Giá trị còn lại: > Tại ngày 01/01/2018,Tại ngày 01/01/2018,1.428.111.222.169,641.126.504.827,1.564.920.139.274,27.433.520.643,110.033.443.231,3.771.624.830.144,1428111222169.0,641126504827.0,1564920139274.0,27433520643.0,110033443231.0,3771624830144.0
Tại ngày 31/12/2018,Giá trị còn lại: > Tại ngày 31/12/2018,Tại ngày 31/12/2018,1.609.375.153.567,780.898.805.334,1.905.783.816.607,22.903.598.780,117.658.463.630,4.436.619.837.918,1609375153567.0,780898805334.0,1905783816607.0,22903598780.0,117658463630.0,4436619837918.0
