row_label_raw,row_label_full,CHỈ TIỀU,Mã số,TM,Năm 2018,Năm 2017,numeric__Mã số,numeric__TM,numeric__Năm 2018,numeric__Năm 2017
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,01,,4.314.604.373.242,3.788.546.436.677,1.0,,4314604373242.0,3788546436677.0
2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,02,,231.475.448,1.128.096.195,2.0,,231475448.0,1128096195.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,10,5.1,4.314.372.897.794,3.787.418.340.482,10.0,51.0,4314372897794.0,3787418340482.0
4. Giá vốn hàng bán,4. Giá vốn hàng bán,4. Giá vốn hàng bán,11,5.2,2.977.672.820.845,2.628.249.985.157,11.0,52.0,2977672820845.0,2628249985157.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,20,,1.336.700.076.949,1.159.168.355.325,20.0,,1336700076949.0,1159168355325.0
6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,21,5.3,214.975.677.908,187.386.621.017,21.0,53.0,214975677908.0,187386621017.0
7. Chi phí tài chính,7. Chi phí tài chính,7. Chi phí tài chính,22,5.4,136.143.865.527,211.981.587.885,22.0,54.0,136143865527.0,211981587885.0
"Trong đó, chi phí lãi vay","Trong đó, chi phí lãi vay","Trong đó, chi phí lãi vay",23,,116.284.022.561,104.092.727.137,23.0,,116284022561.0,104092727137.0
8. Phần lãi hoặc lỗ trong công ty liên kết,8. Phần lãi hoặc lỗ trong công ty liên kết,8. Phần lãi hoặc lỗ trong công ty liên kết,24,,9.925.750.823,14.454.899.541,24.0,,9925750823.0,14454899541.0
9. Chi phí bán hàng,9. Chi phí bán hàng,9. Chi phí bán hàng,25,5.5,127.148.938.343,138.041.890.134,25.0,55.0,127148938343.0,138041890134.0
10. Chi phí quản lý doanh nghiệp,10. Chi phí quản lý doanh nghiệp,10. Chi phí quản lý doanh nghiệp,26,5.6,356.937.788.042,349.261.684.589,26.0,56.0,356937788042.0,349261684589.0
11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Lợi nhuận thuần từ hoạt động kinh doanh,30,,941.370.913.768,661.724.713.275,30.0,,941370913768.0,661724713275.0
12. Thu nhập khác,12. Thu nhập khác,12. Thu nhập khác,31,5.7,20.229.299.237,62.092.741.142,31.0,57.0,20229299237.0,62092741142.0
13. Chi phí khác,13. Chi phí khác,13. Chi phí khác,32,,8.156.986.901,8.658.154.727,32.0,,8156986901.0,8658154727.0
14. Lợi nhuận khác,14. Lợi nhuận khác,14. Lợi nhuận khác,40,,12.072.312.336,53.434.586.415,40.0,,12072312336.0,53434586415.0
15. Tổng lợi nhuận kế toán trước thuế,15. Tổng lợi nhuận kế toán trước thuế,15. Tổng lợi nhuận kế toán trước thuế,50,,953.443.226.104,715.159.299.690,50.0,,953443226104.0,715159299690.0
16. Chi phí thuế TNDN hiện hành,16. Chi phí thuế TNDN hiện hành,16. Chi phí thuế TNDN hiện hành,51,5.9,156.576.029.338,124.266.195.027,51.0,59.0,156576029338.0,124266195027.0
17. Chi phí thuế TNDN hoãn lại,17. Chi phí thuế TNDN hoãn lại,17. Chi phí thuế TNDN hoãn lại,52,,2.438.321.296,4.005.237.564,52.0,,2438321296.0,4005237564.0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Lợi nhuận sau thuế thu nhập doanh nghiệp,60,,794.428.875.470,586.887.867.099,60.0,,794428875470.0,586887867099.0
19. Lợi nhuận sau thuế của công ty mẹ,19. Lợi nhuận sau thuế của công ty mẹ,19. Lợi nhuận sau thuế của công ty mẹ,61,,466.247.114.728,344.049.817.675,61.0,,466247114728.0,344049817675.0
20. Lợi nhuận sau thuế của cổ đông không kiểm soát,20. Lợi nhuận sau thuế của cổ đông không kiểm soát,20. Lợi nhuận sau thuế của cổ đông không kiểm soát,62,,328.181.760.742,242.838.049.424,62.0,,328181760742.0,242838049424.0
21. Lãi cơ bản và lãi suy giảm trên cổ phiếu,21. Lãi cơ bản và lãi suy giảm trên cổ phiếu,21. Lãi cơ bản và lãi suy giảm trên cổ phiếu,70,4.23.2,1.085,779,70.0,4232.0,1085.0,779.0
