row_label_raw,row_label_full,col_0,Tại ngày01/01/2018VND,Tại ngày01/01/2018VND_1,numeric__Tại ngày01/01/2018VND,numeric__Tại ngày01/01/2018VND_1
,,,(Được báo cáo lại),(Đã được báo cáotrước đây),,
Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,756.422.288.304,748.774.244.740,756422288304.0,748774244740.0
Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,67.230.502.550,65.758.672.780,67230502550.0,65758672780.0
Chi phí xây dựng cơ bản đồ dang,Chi phí xây dựng cơ bản đồ dang,Chi phí xây dựng cơ bản đồ dang,2.636.674.433.942,2.652.187.749.619,2636674433942.0,2652187749619.0
Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,715.791.439.858,719.882.546.073,715791439858.0,719882546073.0
Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,2.210.443.717.192,2.212.746.053.320,2210443717192.0,2212746053320.0
,,,Tại ngày01/01/2017VND,Tại ngày01/01/2017VND,,
,,,(Được báo cáo lại),(Đã được báo cáotrước đây),,
Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,653.256.594.313,650.024.873.451,653256594313.0,650024873451.0
Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,39.622.532.160,45.416.838.809,39622532160.0,45416838809.0
Chi phí xây dựng cơ bản đồ dang,Chi phí xây dựng cơ bản đồ dang,Chi phí xây dựng cơ bản đồ dang,2.123.993.678.869,2.124.404.971.374,2123993678869.0,2124404971374.0
Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,575.622.907.793,576.999.501.003,575622907793.0,576999501003.0
Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,1.897.396.322.232,1.898.171.022.305,1897396322232.0,1898171022305.0
