row_label_raw,row_label_full,col_0,Tại ngày31/12/2018VND,Tại ngày01/01/2018VND,numeric__Tại ngày31/12/2018VND,numeric__Tại ngày01/01/2018VND
Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,,
Tiền thuê đất tại Khu Công nghiệp Biên Hòa 1 (*),Ngắn hạn: > Tiền thuê đất tại Khu Công nghiệp Biên Hòa 1 (*),Tiền thuê đất tại Khu Công nghiệp Biên Hòa 1 (*),16.975.373.525,25.389.111.706,16975373525.0,25389111706.0
Công cụ dụng cụ,Ngắn hạn: > Công cụ dụng cụ,Công cụ dụng cụ,682.047.225,1.084.165.050,682047225.0,1084165050.0
Các khoản khác,Ngắn hạn: > Các khoản khác,Các khoản khác,3.663.228.029,5.419.865.085,3663228029.0,5419865085.0
Cộng,Ngắn hạn: > Cộng,Cộng,21.320.648.779,31.893.141.841,21320648779.0,31893141841.0
Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,,
Tiền thuê đất trả trước,Dài hạn: > Tiền thuê đất trả trước,Tiền thuê đất trả trước,280.870.954.115,294.565.626.014,280870954115.0,294565626014.0
Trả trước tiền đến bù giải phóng mặt bằng KCN Thạnh Phú,Dài hạn: > Trả trước tiền đến bù giải phóng mặt bằng KCN Thạnh Phú,Trả trước tiền đến bù giải phóng mặt bằng KCN Thạnh Phú,194.394.474.413,58.336.986.568,194394474413.0,58336986568.0
Chi phí trả trước kinh doanh đất,Dài hạn: > Chi phí trả trước kinh doanh đất,Chi phí trả trước kinh doanh đất,49.660.233.613,48.717.831.963,49660233613.0,48717831963.0
"Công cụ, dụng cụ, chi phí khác chờ phân bổ","Dài hạn: > Công cụ, dụng cụ, chi phí khác chờ phân bổ","Công cụ, dụng cụ, chi phí khác chờ phân bổ",5.584.130.690,8.920.704.132,5584130690.0,8920704132.0
Lợi thể kinh doanh khi xác định giá trị doanh nghiệp,Dài hạn: > Lợi thể kinh doanh khi xác định giá trị doanh nghiệp,Lợi thể kinh doanh khi xác định giá trị doanh nghiệp,108.919.976,7.135.302.875,108919976.0,7135302875.0
Chi phí trả trước dài hạn khác,Dài hạn: > Chi phí trả trước dài hạn khác,Chi phí trả trước dài hạn khác,248.986.800.195,218.018.340.220,248986800195.0,218018340220.0
Cộng,Dài hạn: > Cộng,Cộng,779.605.513.002,635.694.791.772,779605513002.0,635694791772.0
