row_label_raw,row_label_full,Danh sách các bên liên quan,Mối quan hệ,numeric__Mối quan hệ
1. Công ty Cổ phần Sơn Đồng Nai,1. Công ty Cổ phần Sơn Đồng Nai,1. Công ty Cổ phần Sơn Đồng Nai,Công ty liên kết,
2. Công ty Cổ phần Xây dựng Dân dụng Công nghiệp Số 1 Đồng Nai,2. Công ty Cổ phần Xây dựng Dân dụng Công nghiệp Số 1 Đồng Nai,2. Công ty Cổ phần Xây dựng Dân dụng Công nghiệp Số 1 Đồng Nai,Công ty liên kết,
3. Công ty Cổ phần Dịch vụ Cảng Đồng Nai,3. Công ty Cổ phần Dịch vụ Cảng Đồng Nai,3. Công ty Cổ phần Dịch vụ Cảng Đồng Nai,Công ty liên kết,
4. Công ty Cổ phần Cảng Long Thành,4. Công ty Cổ phần Cảng Long Thành,4. Công ty Cổ phần Cảng Long Thành,Công ty liên kết,
5. Công ty Cổ phần Xây dựng Đồng Nai,5. Công ty Cổ phần Xây dựng Đồng Nai,5. Công ty Cổ phần Xây dựng Đồng Nai,Công ty liên kết,
6. Công ty Cổ phần Dịch vụ và Xây dựng Cấp nước Đồng Nai,6. Công ty Cổ phần Dịch vụ và Xây dựng Cấp nước Đồng Nai,6. Công ty Cổ phần Dịch vụ và Xây dựng Cấp nước Đồng Nai,Công ty liên kết,
7. Trường Cao đẳng Công nghệ và Quản trị Sonadezi,7. Trường Cao đẳng Công nghệ và Quản trị Sonadezi,7. Trường Cao đẳng Công nghệ và Quản trị Sonadezi,Công ty liên kết,
8. Công ty Cổ phần Xây lắp Sonacons,8. Công ty Cổ phần Xây lắp Sonacons,8. Công ty Cổ phần Xây lắp Sonacons,Công ty liên kết,
,,,Công ty có cùng nhân sự quản lý chủ chốt,
9. Công ty Cổ phần Tiếp vận số 1 Đồng Nai,9. Công ty Cổ phần Tiếp vận số 1 Đồng Nai,9. Công ty Cổ phần Tiếp vận số 1 Đồng Nai,,
10. Hội đồng quản trị và Ban Tổng Giám đốc Tổng Công ty,10. Hội đồng quản trị và Ban Tổng Giám đốc Tổng Công ty,10. Hội đồng quản trị và Ban Tổng Giám đốc Tổng Công ty,Nhân sự quản lý chủ chốt,
