row_label_raw,row_label_full,col_0,Các khoản mục thuộc vốn chủ sở hữu,Các khoản mục thuộc vốn chủ sở hữu_1,Các khoản mục thuộc vốn chủ sở hữu_2,Các khoản mục thuộc vốn chủ sở hữu_3,Các khoản mục thuộc vốn chủ sở hữu_4,Các khoản mục thuộc vốn chủ sở hữu_5,Các khoản mục thuộc vốn chủ sở hữu_6,Các khoản mục thuộc vốn chủ sở hữu_7,Các khoản mục thuộc vốn chủ sở hữu_8,Các khoản mục thuộc vốn chủ sở hữu_9,Các khoản mục thuộc vốn chủ sở hữu_10,Các khoản mục thuộc vốn chủ sở hữu_11,numeric__Các khoản mục thuộc vốn chủ sở hữu,numeric__Các khoản mục thuộc vốn chủ sở hữu_1,numeric__Các khoản mục thuộc vốn chủ sở hữu_2,numeric__Các khoản mục thuộc vốn chủ sở hữu_3,numeric__Các khoản mục thuộc vốn chủ sở hữu_4,numeric__Các khoản mục thuộc vốn chủ sở hữu_5,numeric__Các khoản mục thuộc vốn chủ sở hữu_6,numeric__Các khoản mục thuộc vốn chủ sở hữu_7,numeric__Các khoản mục thuộc vốn chủ sở hữu_8,numeric__Các khoản mục thuộc vốn chủ sở hữu_9,numeric__Các khoản mục thuộc vốn chủ sở hữu_10,numeric__Các khoản mục thuộc vốn chủ sở hữu_11
,,,Vốn góp của chủ sở hữu,Thặng dư vốn chủ sở hữu,Vốn khác thuộc VCSH,Cổ phiếu quỹ (**),Chênh lệch đánh giá lại tài sản (*),Quỹ đầu tư phát triển,Quỹ khác thuộc vốn chủ sở hữu,Quỹ sắp xếp doanh nghiệp,Lợi nhuận sau thuế chưa phân phối,Nguồn vốn đầu tư XDCB,Lợi ích cổ đông không kiểm soát,Cộng,,,,,,,,,,,,
Tại ngày 01/01/2018,Tại ngày 01/01/2018,Tại ngày 01/01/2018,3.765.000,105.704,88.959,,(633.931),346.929,19.427,-,715.791,3.056,2.210.444,6.621.379,3765000.0,105704.0,88959.0,,-633931.0,346929.0,19427.0,,715791.0,3056.0,2210444.0,6621379.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,-,-,-,466.247,-,328.182,794.429,,,,,,,,,466247.0,,328182.0,794429.0
Trích lập quỹ thuộc nguồn vốn,Trích lập quỹ thuộc nguồn vốn,Trích lập quỹ thuộc nguồn vốn,-,-,-,-,-,58.011,-,-,(58.011),-,-,-,,,,,,58011.0,,,-58011.0,,,
"Trích lập quỹ KTPL, Ban điều hành","Trích lập quỹ KTPL, Ban điều hành","Trích lập quỹ KTPL, Ban điều hành",-,-,-,-,-,-,-,-,(57.849),-,(31.842),(89.691),,,,,,,,,-57849.0,,-31842.0,-89691.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,-,-,-,-,-,(376.492),-,(139.867),(516.359),,,,,,,,,-376492.0,,-139867.0,-516359.0
Tăng từ liên kết,Tăng từ liên kết,Tăng từ liên kết,-,1.435,-,-,-,-,-,-,-,-,-,1.435,,1435.0,,,,,,,,,,1435.0
Tăng/Giảm do mất quyền kiểm soát Công ty con,Tăng/Giảm do mất quyền kiểm soát Công ty con,Tăng/Giảm do mất quyền kiểm soát Công ty con,-,-,-,-,-,-,-,-,-,-,(1.349),(1.349),,,,,,,,,,,-1349.0,-1349.0
Tăng/giảm khác,Tăng/giảm khác,Tăng/giảm khác,-,-,-,(90),-,-,-,-,(1.502),-,(645),(2.237),,,,-90.0,,,,,-1502.0,,-645.0,-2237.0
Tại ngày 31/12/2018,Tại ngày 31/12/2018,Tại ngày 31/12/2018,3.765.000,107.139,88.959,(90),(633.931),404.940,19.427,-,688.184,3.056,2.364.923,6.807.606,3765000.0,107139.0,88959.0,-90.0,-633931.0,404940.0,19427.0,,688184.0,3056.0,2364923.0,6807606.0
