row_label_raw,row_label_full,col_0,Tại ngày 31/12/2018VND > Giá trị,Tại ngày 31/12/2018VND > Số có khả năngtrả nợ,Tại ngày 01/01/2018VND > Giá trị,Tại ngày 01/01/2018VND > Số có khả năngtrả nợ,numeric__Tại ngày 31/12/2018VND > Giá trị,numeric__Tại ngày 31/12/2018VND > Số có khả năngtrả nợ,numeric__Tại ngày 01/01/2018VND > Giá trị,numeric__Tại ngày 01/01/2018VND > Số có khả năngtrả nợ
Phải trả cho các bên liên quan - Xem thêm mục 8,Phải trả cho các bên liên quan - Xem thêm mục 8,Phải trả cho các bên liên quan - Xem thêm mục 8,23.458.819.340,23.458.819.340,35.536.351.276,35.536.351.276,23458819340.0,23458819340.0,35536351276.0,35536351276.0
Phải trả cho người bán:,Phải trả cho người bán:,Phải trả cho người bán:,,,,,,,,
Công ty TNHH Dịch vụ hàng hải HPS Marine,Phải trả cho người bán: > Công ty TNHH Dịch vụ hàng hải HPS Marine,Công ty TNHH Dịch vụ hàng hải HPS Marine,27.706.202.000,27.706.202.000,21.548.569.000,21.548.569.000,27706202000.0,27706202000.0,21548569000.0,21548569000.0
DNTN Duy Khương,Phải trả cho người bán: > DNTN Duy Khương,DNTN Duy Khương,30.965.225.464,30.965.225.464,-,-,30965225464.0,30965225464.0,,
Công ty Cổ phần Đầu tư Phát triển Cường Thuận IDICO,Phải trả cho người bán: > Công ty Cổ phần Đầu tư Phát triển Cường Thuận IDICO,Công ty Cổ phần Đầu tư Phát triển Cường Thuận IDICO,9.452.902.787,9.452.902.787,-,-,9452902787.0,9452902787.0,,
Hội đồng bồi thường Huyện Châu Đức,Phải trả cho người bán: > Hội đồng bồi thường Huyện Châu Đức,Hội đồng bồi thường Huyện Châu Đức,8.914.675.856,8.914.675.856,137.945.755.415,137.945.755.415,8914675856.0,8914675856.0,137945755415.0,137945755415.0
Tổng Công ty Xây Dương Số 1 - Công ty Cổ phần,Phải trả cho người bán: > Tổng Công ty Xây Dương Số 1 - Công ty Cổ phần,Tổng Công ty Xây Dương Số 1 - Công ty Cổ phần,-,-,32.455.000.000,32.455.000.000,,,32455000000.0,32455000000.0
Phải trả cho các đối tượng khác,Phải trả cho người bán: > Phải trả cho các đối tượng khác,Phải trả cho các đối tượng khác,318.796.724.643,318.796.724.643,285.999.599.133,285.999.599.133,318796724643.0,318796724643.0,285999599133.0,285999599133.0
Cộng,Phải trả cho người bán: > Cộng,Cộng,419.294.550.090,419.294.550.090,513.485.274.824,513.485.274.824,419294550090.0,419294550090.0,513485274824.0,513485274824.0
4.15. Người mua trả tiền trước,4.15. Người mua trả tiền trước,4.15. Người mua trả tiền trước,4.15. Người mua trả tiền trước,4.15. Người mua trả tiền trước,4.15. Người mua trả tiền trước,4.15. Người mua trả tiền trước,,,,
,,,,Tại ngày31/12/2018VND,Tại ngày01/01/2018VND,,,,,
Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,,,,,,,,
Khách hàng trả trước tiền mua nhà và đất:,Ngắn hạn: > Khách hàng trả trước tiền mua nhà và đất:,Khách hàng trả trước tiền mua nhà và đất:,776.471.714.837,776.471.714.837,204.724.760.804,,776471714837.0,776471714837.0,204724760804.0,
Khách hàng trả trước tiền chuyển quyền sử dụng đấtKhu dân cư Lộc An,Ngắn hạn: > Khách hàng trả trước tiền chuyển quyền sử dụng đấtKhu dân cư Lộc An,Khách hàng trả trước tiền chuyển quyền sử dụng đấtKhu dân cư Lộc An,324.945.975.157,324.945.975.157,-,,324945975157.0,324945975157.0,,
Khác,Ngắn hạn: > Khác,Khác,451.525.739.680,451.525.739.680,204.724.760.804,,451525739680.0,451525739680.0,204724760804.0,
Đối tượng khác,Ngắn hạn: > Đối tượng khác,Đối tượng khác,166.552.073.821,166.552.073.821,52.183.322.236,,166552073821.0,166552073821.0,52183322236.0,
Cộng,Ngắn hạn: > Cộng,Cộng,943.023.788.658,943.023.788.658,256.908.083.040,,943023788658.0,943023788658.0,256908083040.0,
Dài hạn:,Dài hạn:,Dài hạn:,,,,,,,,
Đối tượng khác,Dài hạn: > Đối tượng khác,Đối tượng khác,4.149.220.218,4.149.220.218,8.026.078.158,,4149220218.0,4149220218.0,8026078158.0,
