row_label_raw,row_label_full,CHỈ TIỀU,Mã số,TM,Năm 2018,Năm 2017,numeric__Mã số,numeric__TM,numeric__Năm 2018,numeric__Năm 2017
III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,
"1. Tiền chỉ trả vốn góp cho các chủ sở hữu,mua lại cổ phiếu của doanh nghiệp đã phát hành","III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 1. Tiền chỉ trả vốn góp cho các chủ sở hữu,mua lại cổ phiếu của doanh nghiệp đã phát hành","1. Tiền chỉ trả vốn góp cho các chủ sở hữu,mua lại cổ phiếu của doanh nghiệp đã phát hành",32,,(90.100.000),-,32.0,,-90100000.0,
2. Tiền thu từ đi vay,III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 2. Tiền thu từ đi vay,2. Tiền thu từ đi vay,33,6.1,1.857.666.853.321,1.706.861.437.200,33.0,61.0,1857666853321.0,1706861437200.0
3. Tiền trả nợ gốc vay,III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 3. Tiền trả nợ gốc vay,3. Tiền trả nợ gốc vay,34,6.2,(1.883.602.554.995),(1.261.180.754.471),34.0,62.0,-1883602554995.0,-1261180754471.0
"4. Cổ tức, lợi nhuận đã trả cho chủ sở hữu","III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 4. Cổ tức, lợi nhuận đã trả cho chủ sở hữu","4. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,,(519.102.673.870),(124.830.380.157),36.0,,-519102673870.0,-124830380157.0
Lưu chuyển tiền thuần từ hoạt động tài chính,III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,,(545.128.475.544),320.850.302.572,40.0,,-545128475544.0,320850302572.0
LƯU CHUYẾN TIỀN THUẦN TRONG NĂM(50 = 20+30+40),III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > LƯU CHUYẾN TIỀN THUẦN TRONG NĂM(50 = 20+30+40),LƯU CHUYẾN TIỀN THUẦN TRONG NĂM(50 = 20+30+40),50,,5.292.274.125,(416.512.627.390),50.0,,5292274125.0,-416512627390.0
Tiền và tương đương tiền đầu năm,III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và tương đương tiền đầu năm,Tiền và tương đương tiền đầu năm,60,,1.021.899.574.185,1.438.386.955.458,60.0,,1021899574185.0,1438386955458.0
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổingoại tệ,III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổingoại tệ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổingoại tệ,61,,98.218.393,25.246.117,61.0,,98218393.0,25246117.0
TIỀN VÀ TƯƠNG ĐƯƠNG TIỀN CUỐI NĂM(70 = 50+60+61),III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > TIỀN VÀ TƯƠNG ĐƯƠNG TIỀN CUỐI NĂM(70 = 50+60+61),TIỀN VÀ TƯƠNG ĐƯƠNG TIỀN CUỐI NĂM(70 = 50+60+61),70,4.1,1.027.290.066.703,1.021.899.574.185,70.0,41.0,1027290066703.0,1021899574185.0
