row_label_raw,row_label_full,col_0,Tại ngày 31/12/2018VND,Tại ngày 31/12/2018VND_1,Tại ngày 01/01/2018VND,Tại ngày 01/01/2018VND_1,numeric__Tại ngày 31/12/2018VND,numeric__Tại ngày 31/12/2018VND_1,numeric__Tại ngày 01/01/2018VND,numeric__Tại ngày 01/01/2018VND_1
,,,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
"Nguyên liệu, vật liệu","Nguyên liệu, vật liệu","Nguyên liệu, vật liệu",46.511.378.527,-,53.667.798.655,-,46511378527.0,,53667798655.0,
"Công cụ, dụng cụ","Công cụ, dụng cụ","Công cụ, dụng cụ",1.937.525.979,-,2.540.662.513,-,1937525979.0,,2540662513.0,
Chi phí sản xuất kinh doanh dở dang:,Chi phí sản xuất kinh doanh dở dang:,Chi phí sản xuất kinh doanh dở dang:,673.611.356.861,-,733.239.935.635,-,673611356861.0,,733239935635.0,
Dự án Khu dân cưđường Võ Thị Sáu - Giai đoạn 2,Dự án Khu dân cưđường Võ Thị Sáu - Giai đoạn 2,Dự án Khu dân cưđường Võ Thị Sáu - Giai đoạn 2,-,-,139.371.131.000,-,,,139371131000.0,
"Dự án Khu dân cư xãLộc An, huyện Long Thành","Dự án Khu dân cư xãLộc An, huyện Long Thành","Dự án Khu dân cư xãLộc An, huyện Long Thành",260.473.776.472,-,242.996.008.337,-,260473776472.0,,242996008337.0,
Dự án KDC Trăng Bom,Dự án KDC Trăng Bom,Dự án KDC Trăng Bom,16.027.774.226,-,21.757.060.896,-,16027774226.0,,21757060896.0,
Các dự án khác,Các dự án khác,Các dự án khác,397.109.806.163,-,329.115.735.402,-,397109806163.0,,329115735402.0,
Thành phẩm,Thành phẩm,Thành phẩm,271.650.752.848,-,40.244.295.535,-,271650752848.0,,40244295535.0,
Hàng hóa,Hàng hóa,Hàng hóa,1.489.057.216,-,1.629.184.472,-,1489057216.0,,1629184472.0,
Cộng,Cộng,Cộng,995.200.071.431,-,831.321.876.810,-,995200071431.0,,831321876810.0,
