row_label_raw,row_label_full,col_0,Tại ngày 01/01/2018,Tại ngày 01/01/2018_1,Trong năm,Trong năm_1,Tại ngày 31/12/2018,Tại ngày 31/12/2018_1,numeric__Tại ngày 01/01/2018,numeric__Tại ngày 01/01/2018_1,numeric__Trong năm,numeric__Trong năm_1,numeric__Tại ngày 31/12/2018,numeric__Tại ngày 31/12/2018_1
,,,VND,VND,VND,VND,VND,VND,,,,,,
,,,Giá trị,Số có khả năng trả nợ,Tăng,Giảm,Giá trị,Số có khả năng trả nợ,,,,,,
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,1.131.856.513.601,1.131.856.513.601,1.342.005.749.068,1.695.370.224.465,778.492.038.204,778.492.038.204,1131856513601.0,1131856513601.0,1342005749068.0,1695370224465.0,778492038204.0,778492038204.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,2.495.748.597.365,2.495.748.597.365,1.116.584.575.204,454.720.514.549,3.157.612.658.020,3.157.612.658.020,2495748597365.0,2495748597365.0,1116584575204.0,454720514549.0,3157612658020.0,3157612658020.0
Cộng,Cộng,Cộng,3.627.605.110.966,3.627.605.110.966,2.458.590.324.272,2.150.090.739.014,3.936.104.696.224,3.936.104.696.224,3627605110966.0,3627605110966.0,2458590324272.0,2150090739014.0,3936104696224.0,3936104696224.0
,,,,,(Xem tiếp trang sau),(Xem tiếp trang sau),,,,,,,,
