row_label_raw,row_label_full,col_0,Tại ngày31/12/2018VND,Tại ngày01/01/2018VND,numeric__Tại ngày31/12/2018VND,numeric__Tại ngày01/01/2018VND
Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,,
Phải thu từ khách hàng:,Phải thu từ khách hàng:,Phải thu từ khách hàng:,,,,
Phòng Quản lý đô thị Biên Hòa,Phải thu từ khách hàng: > Phòng Quản lý đô thị Biên Hòa,Phòng Quản lý đô thị Biên Hòa,149.978.076.795,159.318.145.814,149978076795.0,159318145814.0
Công ty Cổ phần Phân bón Hà Lan AGRO,Phải thu từ khách hàng: > Công ty Cổ phần Phân bón Hà Lan AGRO,Công ty Cổ phần Phân bón Hà Lan AGRO,20.516.585.130,24.537.369.780,20516585130.0,24537369780.0
Sở Giao thông Vận tải Đồng Nai liên quan đến doanh thu xây dựng Cầu Hóa An,Phải thu từ khách hàng: > Sở Giao thông Vận tải Đồng Nai liên quan đến doanh thu xây dựng Cầu Hóa An,Sở Giao thông Vận tải Đồng Nai liên quan đến doanh thu xây dựng Cầu Hóa An,-,35.651.261.000,,35651261000.0
Phải thu các đối tượng khác,Phải thu từ khách hàng: > Phải thu các đối tượng khác,Phải thu các đối tượng khác,447.700.191.615,408.239.790.062,447700191615.0,408239790062.0
Phải thu khách hàng là các bên liên quan - Xem thêm mục 8,Phải thu từ khách hàng: > Phải thu khách hàng là các bên liên quan - Xem thêm mục 8,Phải thu khách hàng là các bên liên quan - Xem thêm mục 8,3.066.218.710,18.452.620.734,3066218710.0,18452620734.0
Cộng,Phải thu từ khách hàng: > Cộng,Cộng,621.261.072.250,646.199.187.390,621261072250.0,646199187390.0
Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,,
Phải thu từ khách hàng:,Phải thu từ khách hàng:,Phải thu từ khách hàng:,,,,
Phải thu từ hoạt động kinh doanh nhà - Khu dân cư An Bình,Phải thu từ khách hàng: > Phải thu từ hoạt động kinh doanh nhà - Khu dân cư An Bình,Phải thu từ hoạt động kinh doanh nhà - Khu dân cư An Bình,-,1.950.700.000,,1950700000.0
Các đối tượng khác,Phải thu từ khách hàng: > Các đối tượng khác,Các đối tượng khác,84.540.000,969.651.920,84540000.0,969651920.0
Cộng,Phải thu từ khách hàng: > Cộng,Cộng,84.540.000,2.920.351.920,84540000.0,2920351920.0
Trà trước cho người bán ngắn hạn,Trà trước cho người bán ngắn hạn,Trà trước cho người bán ngắn hạn,Trà trước cho người bán ngắn hạn,Trà trước cho người bán ngắn hạn,,
,,,Tại ngày31/12/2018VND,Tại ngày01/01/2018VND,,
Trung tâm Phát triển Quỹ đất TP. Biên Hòa tiền đèn bù đất Khu công nghiệp Giang Điền,Trà trước cho người bán ngắn hạn > Trung tâm Phát triển Quỹ đất TP. Biên Hòa tiền đèn bù đất Khu công nghiệp Giang Điền,Trung tâm Phát triển Quỹ đất TP. Biên Hòa tiền đèn bù đất Khu công nghiệp Giang Điền,247.739.300.330,245.920.822.338,247739300330.0,245920822338.0
Trung tâm Phát triển Quỹ đất huyện Trăng Bom,Trà trước cho người bán ngắn hạn > Trung tâm Phát triển Quỹ đất huyện Trăng Bom,Trung tâm Phát triển Quỹ đất huyện Trăng Bom,185.238.695.181,67.842.933.147,185238695181.0,67842933147.0
Nhà thầu Kumho Industrial,Trà trước cho người bán ngắn hạn > Nhà thầu Kumho Industrial,Nhà thầu Kumho Industrial,64.347.260.399,186.536.378.878,64347260399.0,186536378878.0
Trung tâm quỹ đất Huyện Vĩnh Cửu,Trà trước cho người bán ngắn hạn > Trung tâm quỹ đất Huyện Vĩnh Cửu,Trung tâm quỹ đất Huyện Vĩnh Cửu,55.587.431.869,161.553.863.618,55587431869.0,161553863618.0
Các đối tượng khác,Trà trước cho người bán ngắn hạn > Các đối tượng khác,Các đối tượng khác,140.835.354.804,88.560.961.323,140835354804.0,88560961323.0
Trà trước cho người bán là các bên liên quan,Trà trước cho người bán ngắn hạn > Trà trước cho người bán là các bên liên quan,Trà trước cho người bán là các bên liên quan,-,6.007.329.000,,6007329000.0
Cộng,Trà trước cho người bán ngắn hạn > Cộng,Cộng,693.748.042.583,756.422.288.304,693748042583.0,756422288304.0
