row_label_raw,row_label_full,col_0,Các khoản mục thuộc vốn chủ sở hữu,Các khoản mục thuộc vốn chủ sở hữu_1,Các khoản mục thuộc vốn chủ sở hữu_2,Các khoản mục thuộc vốn chủ sở hữu_3,Các khoản mục thuộc vốn chủ sở hữu_4,Các khoản mục thuộc vốn chủ sở hữu_5,Các khoản mục thuộc vốn chủ sở hữu_6,Các khoản mục thuộc vốn chủ sở hữu_7,Các khoản mục thuộc vốn chủ sở hữu_8,Các khoản mục thuộc vốn chủ sở hữu_9,Các khoản mục thuộc vốn chủ sở hữu_10,numeric__Các khoản mục thuộc vốn chủ sở hữu,numeric__Các khoản mục thuộc vốn chủ sở hữu_1,numeric__Các khoản mục thuộc vốn chủ sở hữu_2,numeric__Các khoản mục thuộc vốn chủ sở hữu_3,numeric__Các khoản mục thuộc vốn chủ sở hữu_4,numeric__Các khoản mục thuộc vốn chủ sở hữu_5,numeric__Các khoản mục thuộc vốn chủ sở hữu_6,numeric__Các khoản mục thuộc vốn chủ sở hữu_7,numeric__Các khoản mục thuộc vốn chủ sở hữu_8,numeric__Các khoản mục thuộc vốn chủ sở hữu_9,numeric__Các khoản mục thuộc vốn chủ sở hữu_10
,,,Vốn góp của chủ sở hữu,Thặng dư vốn chủ sở hữu,Vốn khác thuộc VCSH,Cổ phiếu quỹ,Chênh lệch đánh giá lại tài sản (*),Quỹ đầu tư phát triển,Quỹ khác thuộc vốn chủ sở hữu,Quỹ sắp xếp doanh nghiệp,Lợi nhuận sau thuế chưa phân phối,Nguồn vốn đầu tư XDCB,Lợi ích cổ đông không kiểm soát,,,,,,,,,,,
Tại ngày 01/01/2017,Tại ngày 01/01/2017,Tại ngày 01/01/2017,3.083.220,105.704,75.027,-,41.354,332.932,21.034,50.818,575.623,3.056,1.897.397,3083220.0,105704.0,75027.0,,41354.0,332932.0,21034.0,50818.0,575623.0,3056.0,1897397.0
Lãi trong năm trước,Lãi trong năm trước,Lãi trong năm trước,-,-,-,-,-,-,-,-,344.049,-,242.838,,,,,,,,,344049.0,,242838.0
Trích lập quỹ thuộc nguồn vốn,Trích lập quỹ thuộc nguồn vốn,Trích lập quỹ thuộc nguồn vốn,-,-,-,-,-,54.902,-,-,(54.902),-,-,,,,,,54902.0,,,-54902.0,,
"Trích lập quỹ KTPL, Ban điều hành","Trích lập quỹ KTPL, Ban điều hành","Trích lập quỹ KTPL, Ban điều hành",-,-,-,-,-,-,-,-,(50.832),-,(28.899),,,,,,,,,-50832.0,,-28899.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,-,-,-,-,-,-,-,(120.726),,,,,,,,,,,-120726.0
Tăng từ liên kết,Tăng từ liên kết,Tăng từ liên kết,-,-,-,-,-,-,-,-,2.445,-,-,,,,,,,,,2445.0,,
Tăng/Giám do mất quyền kiểm soát Công ty con,Tăng/Giám do mất quyền kiểm soát Công ty con,Tăng/Giám do mất quyền kiểm soát Công ty con,-,-,-,-,5.554,(15.538),-,-,-,-,(26.536),,,,,5554.0,-15538.0,,,,,-26536.0
Tăng vốn trong năm,Tăng vốn trong năm,Tăng vốn trong năm,699.425,-,8.388,-,(680.839),(25.367),-,-,-,-,246.000,699425.0,,8388.0,,-680839.0,-25367.0,,,,,246000.0
Tăng/giám khác,Tăng/giám khác,Tăng/giám khác,-,-,5.544,-,-,-,(1.607),5.929,662,-,370,,,5544.0,,,,-1607.0,5929.0,662.0,,370.0
