row_label_raw,row_label_full,col_0,Tại ngày31/12/2018VND,Tại ngày01/01/2018VND,numeric__Tại ngày31/12/2018VND,numeric__Tại ngày01/01/2018VND
Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,,
Chi phí hạ tầng trích trước hoạt động chuyển quyền sử dụng đất khu dân cư An Bình,Ngắn hạn: > Chi phí hạ tầng trích trước hoạt động chuyển quyền sử dụng đất khu dân cư An Bình,Chi phí hạ tầng trích trước hoạt động chuyển quyền sử dụng đất khu dân cư An Bình,20.240.068.693,18.694.341.109,20240068693.0,18694341109.0
Trích trước tiền thuê đất,Ngắn hạn: > Trích trước tiền thuê đất,Trích trước tiền thuê đất,18.993.101.150,18.993.101.150,18993101150.0,18993101150.0
Trích trước khoản chi phí đến bù và xây dựng hạ tầng khu quy hoạch nhà ở phường Tân Phong,Ngắn hạn: > Trích trước khoản chi phí đến bù và xây dựng hạ tầng khu quy hoạch nhà ở phường Tân Phong,Trích trước khoản chi phí đến bù và xây dựng hạ tầng khu quy hoạch nhà ở phường Tân Phong,16.791.312.142,19.405.255.264,16791312142.0,19405255264.0
Chi phí lãi vay phải trả,Ngắn hạn: > Chi phí lãi vay phải trả,Chi phí lãi vay phải trả,18.417.487.629,11.306.158.152,18417487629.0,11306158152.0
Chi phí phải trả khác,Ngắn hạn: > Chi phí phải trả khác,Chi phí phải trả khác,35.998.116.484,47.890.799.438,35998116484.0,47890799438.0
Cộng,Ngắn hạn: > Cộng,Cộng,110.440.086.098,116.289.655.113,110440086098.0,116289655113.0
Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,,
Chi phí trích trước tạm tính giá vốn kinh doanhKhu công nghiệp,Dài hạn: > Chi phí trích trước tạm tính giá vốn kinh doanhKhu công nghiệp,Chi phí trích trước tạm tính giá vốn kinh doanhKhu công nghiệp,366.233.058.267,271.210.474.819,366233058267.0,271210474819.0
Chi phí phải trả khác,Dài hạn: > Chi phí phải trả khác,Chi phí phải trả khác,9.412.852.538,8.871.825.591,9412852538.0,8871825591.0
Cộng,Dài hạn: > Cộng,Cộng,375.645.910.805,280.082.300.410,375645910805.0,280082300410.0
4.19. Doanh thu chưa thực hiện,4.19. Doanh thu chưa thực hiện,4.19. Doanh thu chưa thực hiện,4.19. Doanh thu chưa thực hiện,4.19. Doanh thu chưa thực hiện,,
,,,Tại ngày31/12/2018VND,Tại ngày01/01/2018VND,,
Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,,
Doanh thu nhận trước cho thuê đất hạ tầng khu công nghiệp,Ngắn hạn: > Doanh thu nhận trước cho thuê đất hạ tầng khu công nghiệp,Doanh thu nhận trước cho thuê đất hạ tầng khu công nghiệp,124.574.935.046,109.088.421.163,124574935046.0,109088421163.0
Các doanh thu chưa thực hiện khác,Ngắn hạn: > Các doanh thu chưa thực hiện khác,Các doanh thu chưa thực hiện khác,5.622.322.447,4.833.002.005,5622322447.0,4833002005.0
Cộng,Ngắn hạn: > Cộng,Cộng,130.197.257.493,113.921.423.168,130197257493.0,113921423168.0
Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,,
Doanh thu nhận trước cho thuê đất hạ tầng khu công nghiệp,Dài hạn: > Doanh thu nhận trước cho thuê đất hạ tầng khu công nghiệp,Doanh thu nhận trước cho thuê đất hạ tầng khu công nghiệp,3.288.767.279.592,2.761.190.771.640,3288767279592.0,2761190771640.0
Doanh thu chưa thực hiện kinh doanh nhà và hạ tầng,Dài hạn: > Doanh thu chưa thực hiện kinh doanh nhà và hạ tầng,Doanh thu chưa thực hiện kinh doanh nhà và hạ tầng,-,389.499.895.969,,389499895969.0
Doanh thu chưa thực hiện từ hoạt động xây dựng,Dài hạn: > Doanh thu chưa thực hiện từ hoạt động xây dựng,Doanh thu chưa thực hiện từ hoạt động xây dựng,-,51.450.811.817,,51450811817.0
Các doanh thu chưa thực hiện khác,Dài hạn: > Các doanh thu chưa thực hiện khác,Các doanh thu chưa thực hiện khác,57.577.438.623,58.899.757.755,57577438623.0,58899757755.0
Cộng,Dài hạn: > Cộng,Cộng,3.346.344.718.215,3.261.041.237.181,3346344718215.0,3261041237181.0
