row_label_raw,row_label_full,THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP THEO),THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP THEO)_1,THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP THEO)_2,THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP THEO)_3,THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP THEO)_4,THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP THEO)_5,THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP THEO)_6,THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP THEO)_7,numeric__THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP THEO)_1,numeric__THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP THEO)_2,numeric__THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP THEO)_3,numeric__THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP THEO)_4,numeric__THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP THEO)_5,numeric__THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP THEO)_6,numeric__THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP THEO)_7
"4.10. Tăng, giảm bất động sản đầu tư","4.10. Tăng, giảm bất động sản đầu tư","4.10. Tăng, giảm bất động sản đầu tư","4.10. Tăng, giảm bất động sản đầu tư","4.10. Tăng, giảm bất động sản đầu tư","4.10. Tăng, giảm bất động sản đầu tư","4.10. Tăng, giảm bất động sản đầu tư","4.10. Tăng, giảm bất động sản đầu tư","4.10. Tăng, giảm bất động sản đầu tư","4.10. Tăng, giảm bất động sản đầu tư",,,,,,,
Khoản mục,Khoản mục,Khoản mục,"Chỉ phí đền bù,giải tỏa",Cơ sở hạ tầng,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị","Phương tiện vântài, truyền dẫn",BĐS đầu tưkhác,Cộng,,,,,,,
Khoản mục,Khoản mục,Khoản mục,VND,VND,VND,VND,VND,VND,VND,,,,,,,
Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,,,,,,,,,
Tại ngày 01/01/2018,Nguyên giá: > Tại ngày 01/01/2018,Tại ngày 01/01/2018,843.015.033.897,776.905.781.253,1.243.947.744.619,3.478.149.217,28.752.399.788,3.595.324.602,2.899.694.433.376,843015033897.0,776905781253.0,1243947744619.0,3478149217.0,28752399788.0,3595324602.0,2899694433376.0
Đầu tư XDCB hoàn thành,Nguyên giá: > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,-,380.280.828.459,167.741.298.953,49.770.540.420,38.045.245.648,-,635.837.913.480,,380280828459.0,167741298953.0,49770540420.0,38045245648.0,,635837913480.0
Giảm do thoái vốn công ty con,Nguyên giá: > Giảm do thoái vốn công ty con,Giảm do thoái vốn công ty con,-,(24.359.352.600),-,-,-,-,(24.359.352.600),,-24359352600.0,,,,,-24359352600.0
Giảm khác,Nguyên giá: > Giảm khác,Giảm khác,-,-,(586.901.736),-,-,-,(586.901.736),,,-586901736.0,,,,-586901736.0
Tại ngày 31/12/2018,Nguyên giá: > Tại ngày 31/12/2018,Tại ngày 31/12/2018,843.015.033.897,1.132.827.257.112,1.411.102.141.836,53.248.689.637,66.797.645.436,3.595.324.602,3.510.586.092.520,843015033897.0,1132827257112.0,1411102141836.0,53248689637.0,66797645436.0,3595324602.0,3510586092520.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,,,,,,,,,,
