row_label_raw,row_label_full,col_0,Bán hàng > Năm 2018,Bán hàng > Năm 2017,Cung cấp dịch vụ > Năm 2018,Cung cấp dịch vụ > Năm 2017,Cho thuê khu công nghiệp > Năm 2018,Cho thuê khu công nghiệp > Năm 2017,Hoạt động khác > Năm 2018,Hoạt động khác > Năm 2017,Đơn vị tính: Triệu đồng Tổng công > Năm 2018,Đơn vị tính: Triệu đồng Tổng công > Năm 2017,numeric__Bán hàng > Năm 2018,numeric__Bán hàng > Năm 2017,numeric__Cung cấp dịch vụ > Năm 2018,numeric__Cung cấp dịch vụ > Năm 2017,numeric__Cho thuê khu công nghiệp > Năm 2018,numeric__Cho thuê khu công nghiệp > Năm 2017,numeric__Hoạt động khác > Năm 2018,numeric__Hoạt động khác > Năm 2017,numeric__Đơn vị tính: Triệu đồng Tổng công > Năm 2018,numeric__Đơn vị tính: Triệu đồng Tổng công > Năm 2017
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,,,,,,,,,,
Kết quả của bộ phận,Kết quả hoạt động kinh doanh > Kết quả của bộ phận,Kết quả của bộ phận,451.149,402.574,377.177,325.432,400.615,335.219,107.759,95.943,1.336.700,1.159.168,451149.0,402574.0,377177.0,325432.0,400615.0,335219.0,107759.0,95943.0,1336700.0,1159168.0
Chi phí không phân bổ,Kết quả hoạt động kinh doanh > Chi phí không phân bổ,Chi phí không phân bổ,,,,,,,,,(484.087),(487.304),,,,,,,,,-484087.0,-487304.0
Phần lãi hoặc lỗ trong công ty liên kết,Kết quả hoạt động kinh doanh > Phần lãi hoặc lỗ trong công ty liên kết,Phần lãi hoặc lỗ trong công ty liên kết,,,,,,,,,9.926,14.455,,,,,,,,,9926.0,14455.0
Thu nhập khác không phân bổ,Kết quả hoạt động kinh doanh > Thu nhập khác không phân bổ,Thu nhập khác không phân bổ,,,,,,,,,12.072,53.435,,,,,,,,,12072.0,53435.0
"Lợi nhuận trước thuế, thu nhập tài chính và chi phí tài chính","Kết quả hoạt động kinh doanh > Lợi nhuận trước thuế, thu nhập tài chính và chi phí tài chính","Lợi nhuận trước thuế, thu nhập tài chính và chi phí tài chính",,,,,,,,,874.611,739.754,,,,,,,,,874611.0,739754.0
Thu nhập tài chính,Kết quả hoạt động kinh doanh > Thu nhập tài chính,Thu nhập tài chính,,,,,,,,,214.976,187.387,,,,,,,,,214976.0,187387.0
Chi phí tài chính,Kết quả hoạt động kinh doanh > Chi phí tài chính,Chi phí tài chính,,,,,,,,,(136.144),(211.982),,,,,,,,,-136144.0,-211982.0
Lợi nhuận trước thuế,Kết quả hoạt động kinh doanh > Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,,,,,,,953.443,715.159,,,,,,,,,953443.0,715159.0
Thuế thu nhập doanh nghiệp,Kết quả hoạt động kinh doanh > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,,,,,,,,,(156.576),(124.266),,,,,,,,,-156576.0,-124266.0
Chi phí thuế TNDN hoãn lại,Kết quả hoạt động kinh doanh > Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,,,,,,,,,(2.438),(4.005),,,,,,,,,-2438.0,-4005.0
Lợi nhuận sau thuế,Kết quả hoạt động kinh doanh > Lợi nhuận sau thuế,Lợi nhuận sau thuế,,,,,,,,,794.429,586.888,,,,,,,,,794429.0,586888.0
