row_label_raw,row_label_full,col_0,Tại ngày 31/12/2018VND > Giá trị,Tại ngày 31/12/2018VND > Dự phòng,Tại ngày 01/01/2018VND > Giá trị,Tại ngày 01/01/2018VND > Dự phòng,numeric__Tại ngày 31/12/2018VND > Giá trị,numeric__Tại ngày 31/12/2018VND > Dự phòng,numeric__Tại ngày 01/01/2018VND > Giá trị,numeric__Tại ngày 01/01/2018VND > Dự phòng
Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,,,,,,,,
Phải thu khác đối với thu nhập từ cổ tức được chia từ phần vốn Nhà nước đầu tư tại doanh nghiệp còn thừa,Ngắn hạn: > Phải thu khác đối với thu nhập từ cổ tức được chia từ phần vốn Nhà nước đầu tư tại doanh nghiệp còn thừa,Phải thu khác đối với thu nhập từ cổ tức được chia từ phần vốn Nhà nước đầu tư tại doanh nghiệp còn thừa,100.000.000.000,-,-,-,100000000000.0,,,
Dự thu lãi tiền gửi,Ngắn hạn: > Dự thu lãi tiền gửi,Dự thu lãi tiền gửi,46.344.069.455,,41.497.096.166,-,46344069455.0,,41497096166.0,
"Khoản tiền bồi thường về việc ""Phê duyệt bồi thường, hỗ trợ thuộc dự án cum công nghiệp Long Phước 1 tại xã Long Phước, Huyện Long Thành""","Ngắn hạn: > Khoản tiền bồi thường về việc ""Phê duyệt bồi thường, hỗ trợ thuộc dự án cum công nghiệp Long Phước 1 tại xã Long Phước, Huyện Long Thành""","Khoản tiền bồi thường về việc ""Phê duyệt bồi thường, hỗ trợ thuộc dự án cum công nghiệp Long Phước 1 tại xã Long Phước, Huyện Long Thành""",10.653.781.316,-,37.351.123.820,-,10653781316.0,,37351123820.0,
Phải thu về hoạt động bán nhà sở hữu Nhà Nước,Ngắn hạn: > Phải thu về hoạt động bán nhà sở hữu Nhà Nước,Phải thu về hoạt động bán nhà sở hữu Nhà Nước,2.570.748.804,-,4.462.884.490,-,2570748804.0,,4462884490.0,
Phải thu khác,Ngắn hạn: > Phải thu khác,Phải thu khác,46.493.313.062,-,32.068.338.982,-,46493313062.0,,32068338982.0,
Cộng,Ngắn hạn: > Cộng,Cộng,206.061.912.637,-,115.379.443.458,-,206061912637.0,,115379443458.0,
Dài hạn:,Dài hạn:,Dài hạn:,,,,,,,,
Đầu tư hợp tác kinh doanh với Công ty ICD Tân Cắng,Dài hạn: > Đầu tư hợp tác kinh doanh với Công ty ICD Tân Cắng,Đầu tư hợp tác kinh doanh với Công ty ICD Tân Cắng,91.470.000.000,-,91.470.000.000,-,91470000000.0,,91470000000.0,
Long Bình (*),Dài hạn: > Long Bình (*),Long Bình (*),7.416.802.292,-,6.072.033.661,-,7416802292.0,,6072033661.0,
"Ký quỹ, ký cược","Dài hạn: > Ký quỹ, ký cược","Ký quỹ, ký cược",19.030.964.233,(6.476.078.400),7.028.655.450,(6.476.078.400),19030964233.0,-6476078400.0,7028655450.0,-6476078400.0
Phải thu khác,Phải thu khác,Phải thu khác,,,,,,,,
Cộng,Phải thu khác > Cộng,Cộng,117.917.766.525,(6.476.078.400),104.570.689.111,(6.476.078.400),117917766525.0,-6476078400.0,104570689111.0,-6476078400.0
