row_label_raw,row_label_full,col_0,Bán hàng > Tại ngày 31/12/2018,Bán hàng > Tại ngày 01/01/2018,Cung cấp dịch vụ > Tại ngày 31/12/2018,Cung cấp dịch vụ > Tại ngày 01/01/2018,Cho thuê khu công nghiệp > Tại ngày 31/12/2018,Cho thuê khu công nghiệp > Tại ngày 01/01/2018,Hoạt động khác > Tại ngày 31/12/2018,Hoạt động khác > Tại ngày 01/01/2018,Đơn vị tính: Triệu đồng Tổng công > Tại ngày 31/12/2018,Đơn vị tính: Triệu đồng Tổng công > Tại ngày 01/01/2018,numeric__Bán hàng > Tại ngày 31/12/2018,numeric__Bán hàng > Tại ngày 01/01/2018,numeric__Cung cấp dịch vụ > Tại ngày 31/12/2018,numeric__Cung cấp dịch vụ > Tại ngày 01/01/2018,numeric__Cho thuê khu công nghiệp > Tại ngày 31/12/2018,numeric__Cho thuê khu công nghiệp > Tại ngày 01/01/2018,numeric__Hoạt động khác > Tại ngày 31/12/2018,numeric__Hoạt động khác > Tại ngày 01/01/2018,numeric__Đơn vị tính: Triệu đồng Tổng công > Tại ngày 31/12/2018,numeric__Đơn vị tính: Triệu đồng Tổng công > Tại ngày 01/01/2018
Tài sản của bộ phận,Tài sản của bộ phận,Tài sản của bộ phận,-,-,-,-,2.367.909,1.952.408,-,-,2.367.909,1.952.408,,,,,2367909.0,1952408.0,,,2367909.0,1952408.0
Tài sản không phân bổ Tổng tài sản,Tài sản không phân bổ Tổng tài sản,Tài sản không phân bổ Tổng tài sản,-,-,-,-,-,-,-,-,14.615.864,13.882.218,,,,,,,,,14615864.0,13882218.0
Tài sản không phân bổ Tổng tài sản,Tài sản không phân bổ Tổng tài sản,Tài sản không phân bổ Tổng tài sản,,,,,,,,,16.983.773,15.834.626,,,,,,,,,16983773.0,15834626.0
,,,Bán hàng,Bán hàng,Cung cấp dịch vụ,Cung cấp dịch vụ,Cho thuê khu công nghiệp,Cho thuê khu công nghiệp,Hoạt động khác,Hoạt động khác,Đơn vị tính: Triệu đồng Tổng công,Đơn vị tính: Triệu đồng Tổng công,,,,,,,,,,
,,,Tại ngày 31/12/2018,Tại ngày 01/01/2018,Tại ngày 31/12/2018,Tại ngày 01/01/2018,Tại ngày 31/12/2018,Tại ngày 01/01/2018,Tại ngày 31/12/2018,Tại ngày 01/01/2018,Tại ngày 31/12/2018,Tại ngày 01/01/2018,,,,,,,,,,
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,-,-,-,-,-,-,-,-,10.083.231,9.118.316,,,,,,,,,10083231.0,9118316.0
,,,Bán hàng,Bán hàng,Cung cấp dịch vụ,Cung cấp dịch vụ,Cho thuê khu công nghiệp,Cho thuê khu công nghiệp,Hoạt động khác,Hoạt động khác,Đơn vị tính: Triệu đồng Tổng công,Đơn vị tính: Triệu đồng Tổng công,,,,,,,,,,
,,,Năm 2018,Năm 2017,Năm 2018,Năm 2017,Năm 2018,Năm 2017,Năm 2018,Năm 2017,Năm 2018,Năm 2017,,,,,,,,,,
Chi phí mua sắm tài sản,Chi phí mua sắm tài sản,Chi phí mua sắm tài sản,-,-,-,-,-,-,-,-,1.412.656,1.107.567,,,,,,,,,1412656.0,1107567.0
Chi phí khấu hao,Chi phí khấu hao,Chi phí khấu hao,-,-,-,-,-,-,-,-,589.570,442.943,,,,,,,,,589570.0,442943.0
