row_label_raw,row_label_full,Đầu tư góp vốn vào đơn vị khác:Công ty Cổ phần đầu khí đầu tư khai thác CảngPhước An,Tại ngày 31/12/2018VND > Giá trị ghi số > 71.446.310.986,Tại ngày 31/12/2018VND > Giá trị hợp lý > (*),Tại ngày 31/12/2018VND > Dự phòng > (1.093.241.670),Tại ngày 01/01/2018VND > Giá trị ghi số > 71.446.310.986,Tại ngày 01/01/2018VND > Giá trị hợp lý > (*),Tại ngày 01/01/2018VND > Dự phòng > (570.422.308),numeric__Tại ngày 31/12/2018VND > Giá trị ghi số > 71.446.310.986,numeric__Tại ngày 31/12/2018VND > Giá trị hợp lý > (*),numeric__Tại ngày 31/12/2018VND > Dự phòng > (1.093.241.670),numeric__Tại ngày 01/01/2018VND > Giá trị ghi số > 71.446.310.986,numeric__Tại ngày 01/01/2018VND > Giá trị hợp lý > (*),numeric__Tại ngày 01/01/2018VND > Dự phòng > (570.422.308)
Công ty Cổ phần Amata,Công ty Cổ phần Amata,Công ty Cổ phần Amata,41.550.395.294,(*),-,41.550.395.294,(*),-,41550395294.0,,,41550395294.0,,
Công ty CP Cấp nước Châu Đức,Công ty CP Cấp nước Châu Đức,Công ty CP Cấp nước Châu Đức,15.000.000.000,(*),-,15.000.000.000,(*),-,15000000000.0,,,15000000000.0,,
Công ty TNHH Xăng dầu Vĩnh Phú,Công ty TNHH Xăng dầu Vĩnh Phú,Công ty TNHH Xăng dầu Vĩnh Phú,-,,-,500.000.000,(*),-,,,,500000000.0,,
Công ty Cổ phần Cấu Kiện Bê Tông Nhơn Trạch 2,Công ty Cổ phần Cấu Kiện Bê Tông Nhơn Trạch 2,Công ty Cổ phần Cấu Kiện Bê Tông Nhơn Trạch 2,11.250.000.000,(*),(1.699.785.761),11.250.000.000,(*),(2.981.611.392),11250000000.0,,-1699785761.0,11250000000.0,,-2981611392.0
Công ty Cổ phần Địa Ôc Thảo Điền,Công ty Cổ phần Địa Ôc Thảo Điền,Công ty Cổ phần Địa Ôc Thảo Điền,10.000.000.000,(*),-,10.000.000.000,(*),-,10000000000.0,,,10000000000.0,,
Công ty Cổ phần Đầu tư và Xây dựng Cầu Đồng Nai(BOT Cầu Đồng Nai),Công ty Cổ phần Đầu tư và Xây dựng Cầu Đồng Nai(BOT Cầu Đồng Nai),Công ty Cổ phần Đầu tư và Xây dựng Cầu Đồng Nai(BOT Cầu Đồng Nai),74.316.189.000,(*),-,73.528.689.000,(*),-,74316189000.0,,,73528689000.0,,
Nền nhà tại Khu Thiên Hà,Nền nhà tại Khu Thiên Hà,Nền nhà tại Khu Thiên Hà,-,,-,1.308.580.000,(*),-,,,,1308580000.0,,
Công ty Cổ phần Cấp Nước Long Khánh,Công ty Cổ phần Cấp Nước Long Khánh,Công ty Cổ phần Cấp Nước Long Khánh,1.054.088.000,(*),-,1.054.088.000,(*),-,1054088000.0,,,1054088000.0,,
Công ty Cổ phần Công trình Giao thông Đồng Nai,Công ty Cổ phần Công trình Giao thông Đồng Nai,Công ty Cổ phần Công trình Giao thông Đồng Nai,1.711.890.000,7.170.090.000,-,1.711.890.000,2.580.240.000,-,1711890000.0,7170090000.0,,1711890000.0,2580240000.0,
Cộng,Cộng,Cộng,226.328.873.280,,(2.793.027.431),227.349.953.280,,(3.552.033.700),226328873280.0,,-2793027431.0,227349953280.0,,-3552033700.0
